trigrams_tweets,frequency,trigrams_reviews,frequency_reviews
"('see', 'error', 'message', 'log')",17.0,"('new', 'update', 'doe', 'not')",54
"('error', 'message', 'log', 'in')",17.0,"('new', 'update', 'new', 'update')",52
"('reach', 'select', 'account', 'login')",15.0,"('since', 'new', 'update', 'not')",48
"('select', 'account', 'login', 'see')",15.0,"('not', 'like', 'new', 'update')",43
"('account', 'login', 'see', 'error')",15.0,"('this', 'new', 'update', 'not')",37
"('login', 'see', 'error', 'message')",15.0,"('picture', 'camera', 'roll', 'eye')",35
"('please', 'reach', 'select', 'account')",14.0,"('ever', 'since', 'new', 'update')",34
"('message', 'log', 'in', 'select')",11.0,"('fix', 'this', 'soon', 'possible')",29
"('log', 'in', 'select', 'yes')",11.0,"('save', 'picture', 'camera', 'roll')",27
"('in', 'select', 'yes', 'submit')",10.0,"('this', 'application', 'this', 'application')",27
"('attempting', 'login', 'please', 'reach')",9.0,"('new', 'update', 'not', 'let')",26
"('login', 'please', 'reach', 'select')",9.0,"('new', 'update', 'suck', 'not')",24
"('select', 'yes', 'submit', 'support')",9.0,"('update', 'doe', 'not', 'let')",22
"('yes', 'submit', 'support', 'ticket')",9.0,"('please', 'fix', 'new', 'update')",22
"('see', 'error', 'message', 'attempting')",8.0,"('please', 'fix', 'this', 'soon')",21
"('error', 'message', 'attempting', 'login')",8.0,"('please', 'fix', 'this', 'problem')",19
"('message', 'attempting', 'login', 'please')",8.0,"('new', 'update', 'not', 'save')",19
"('snapchat', 'memory', 'never', 'fail')",8.0,"('new', 'update', 'not', 'send')",18
"('having', 'trouble', 'adding', 'friend')",7.0,"('front', 'camera', 'zoomed', 'in')",18
"('trouble', 'adding', 'friend', 'make')",7.0,"('not', 'save', 'whole', 'story')",17
"('adding', 'friend', 'make', 'sure')",7.0,"('camera', 'way', 'zoomed', 'in')",16
"('friend', 'make', 'sure', 'strong')",7.0,"('please', 'fix', 'soon', 'possible')",16
"('make', 'sure', 'strong', 'network')",7.0,"('this', 'new', 'update', 'suck')",16
"('sure', 'strong', 'network', 'entering')",7.0,"('camera', 'roll', 'private', 'story')",16
"('strong', 'network', 'entering', 'username')",7.0,"('not', 'save', 'story', 'anymore')",16
"('network', 'entering', 'username', 'correctly')",7.0,"('please', 'fix', 'this', 'issue')",16
"('note', 'snapchat', 'account', 'limited')",7.0,"('update', 'this', 'new', 'update')",16
"('snapchat', 'account', 'limited', 'having')",7.0,"('hate', 'this', 'new', 'update')",15
"('account', 'limited', 'having', 'friend')",7.0,"('update', 'doe', 'not', 'allow')",15
"('limited', 'having', 'friend', 'time')",7.0,"('camera', 'roll', 'into', 'eye')",15
"('having', 'friend', 'time', 'however')",7.0,"('this', 'application', 'doe', 'not')",15
"('friend', 'time', 'however', 'limit')",7.0,"('camera', 'roll', 'eye', 'not')",15
"('time', 'however', 'limit', 'many')",7.0,"('please', 'fix', 'this', 'application')",14
"('however', 'limit', 'many', 'people')",7.0,"('story', 'please', 'fix', 'this')",14
"('limit', 'many', 'people', 'add')",7.0,"('new', 'update', 'not', 'able')",14
"('many', 'people', 'add', 'hope')",7.0,"('save', 'photo', 'camera', 'roll')",14
"('people', 'add', 'hope', 'this')",7.0,"('since', 'last', 'update', 'not')",14
"('add', 'hope', 'this', 'help')",7.0,"('not', 'save', 'picture', 'camera')",14
"('entering', 'username', 'correctly', 'please')",6.0,"('like', 'this', 'new', 'update')",14
"('username', 'correctly', 'please', 'note')",6.0,"('camera', 'roll', 'eye', 'anymore')",13
"('correctly', 'please', 'note', 'snapchat')",6.0,"('this', 'new', 'update', 'this')",13
"('please', 'note', 'snapchat', 'account')",6.0,"('new', 'update', 'this', 'new')",13
"('may', 'problem', 'hardware', 'please')",6.0,"('this', 'new', 'update', 'doe')",13
"('problem', 'hardware', 'please', 'reach')",6.0,"('not', 'even', 'open', 'application')",12
"('hardware', 'please', 'reach', 'apple')",6.0,"('ever', 'since', 'update', 'not')",12
"('please', 'reach', 'apple', 'support')",6.0,"('photo', 'camera', 'roll', 'eye')",12
"('reach', 'apple', 'support', 'assistance')",6.0,"('not', 'save', 'snap', 'story')",12
"('hey', 'having', 'trouble', 'adding')",5.0,"('hate', 'new', 'update', 'not')",12
"('having', 'trouble', 'please', 'reach')",5.0,"('new', 'update', 'not', 'see')",12
,,"('this', 'new', 'update', 'trash')",12
,,"('move', 'picture', 'camera', 'roll')",12
,,"('camera', 'roll', 'eye', 'please')",12
,,"('please', 'fix', 'this', 'bug')",11
,,"('new', 'update', 'not', 'good')",11
,,"('used', 'love', 'this', 'application')",11
,,"('new', 'update', 'trash', 'not')",11
,,"('update', 'suck', 'new', 'update')",11
,,"('update', 'not', 'save', 'story')",11
,,"('update', 'not', 'send', 'snap')",11
,,"('please', 'fix', 'this', 'not')",11
,,"('update', 'new', 'update', 'not')",11
,,"('new', 'update', 'not', 'allow')",11
,,"('see', 'friend', 'private', 'story')",11
,,"('please', 'fix', 'this', 'new')",10
,,"('fix', 'this', 'new', 'update')",10
,,"('ever', 'since', 'last', 'update')",10
,,"('update', 'not', 'let', 'save')",10
,,"('front', 'facing', 'camera', 'zoomed')",10
,,"('new', 'update', 'please', 'fix')",10
,,"('update', 'not', 'able', 'see')",10
,,"('new', 'update', 'keep', 'crashing')",9
,,"('go', 'back', 'old', 'version')",9
,,"('snapshot', 'this', 'new', 'update')",9
,,"('like', 'new', 'update', 'not')",9
,,"('new', 'update', 'suck', 'new')",9
,,"('not', 'able', 'save', 'story')",9
,,"('hate', 'new', 'update', 'new')",9
,,"('new', 'update', 'not', 'even')",9
