trigrams_tweets,frequency,trigrams_reviews,frequency_reviews
"('reason', 'account', 'could', 'locked')",10,"('this', 'application', 'this', 'application')",10.0
"('account', 'could', 'locked', 'learn')",10,"('camera', 'way', 'zoomed', 'in')",8.0
"('could', 'locked', 'learn', 'team')",10,"('front', 'camera', 'zoomed', 'in')",8.0
"('locked', 'learn', 'team', 'snapchat')",10,"('please', 'fix', 'this', 'issue')",7.0
"('learn', 'team', 'snapchat', 'unable')",10,"('please', 'fix', 'soon', 'possible')",7.0
"('team', 'snapchat', 'unable', 'unlock')",10,"('not', 'let', 'log', 'in')",6.0
"('snapchat', 'unable', 'unlock', 'account')",10,"('love', 'this', 'application', 'this')",6.0
"('unable', 'unlock', 'account', 'this')",10,"('camera', 'zoomed', 'in', 'front')",5.0
"('unlock', 'account', 'this', 'time')",10,"('camera', 'extremely', 'zoomed', 'in')",5.0
"('account', 'this', 'time', 'seeing')",10,"('camera', 'super', 'zoomed', 'in')",5.0
"('this', 'time', 'seeing', 'generic')",10,"('ever', 'since', 'new', 'update')",5.0
"('time', 'seeing', 'generic', 'login')",10,,
"('seeing', 'generic', 'login', 'error')",10,,
"('generic', 'login', 'error', 'message')",10,,
"('login', 'error', 'message', 'check')",10,,
"('error', 'message', 'check', 'this')",10,,
"('message', 'check', 'this', 'link')",10,,
"('snapchat', 'not', 'working', 'everything')",10,,
"('not', 'working', 'everything', 'fix')",10,,
"('hey', 'reason', 'account', 'could')",7,,
"('please', 'reach', 'select', 'account')",5,,
"('reach', 'select', 'account', 'login')",5,,
"('select', 'account', 'login', 'see')",5,,
"('account', 'login', 'see', 'error')",5,,
"('login', 'see', 'error', 'message')",5,,
"('see', 'error', 'message', 'log')",5,,
"('error', 'message', 'log', 'in')",5,,
"('working', 'everything', 'fix', 'snapchat')",5,,
"('everything', 'fix', 'snapchat', 'not')",5,,
"('fix', 'snapchat', 'not', 'working')",5,,
