trigrams_tweets,frequency,trigrams_reviews,frequency_reviews
"('see', 'error', 'message')",25.0,"('this', 'new', 'update')",303
"('error', 'message', 'log')",17.0,"('new', 'update', 'not')",229
"('message', 'log', 'in')",17.0,"('please', 'fix', 'this')",217
"('select', 'account', 'login')",16.0,"('since', 'new', 'update')",141
"('reach', 'select', 'account')",15.0,"('new', 'update', 'suck')",117
"('account', 'login', 'see')",15.0,"('doe', 'not', 'work')",90
"('login', 'see', 'error')",15.0,"('hate', 'new', 'update')",89
"('please', 'reach', 'select')",14.0,"('camera', 'roll', 'eye')",84
"('log', 'in', 'select')",11.0,"('update', 'doe', 'not')",79
"('in', 'select', 'yes')",11.0,"('since', 'last', 'update')",78
"('select', 'yes', 'submit')",10.0,"('picture', 'camera', 'roll')",73
"('attempting', 'login', 'please')",9.0,"('update', 'new', 'update')",72
"('login', 'please', 'reach')",9.0,"('like', 'new', 'update')",70
"('yes', 'submit', 'support')",9.0,"('not', 'save', 'story')",69
"('submit', 'support', 'ticket')",9.0,"('new', 'update', 'doe')",69
"('error', 'message', 'attempting')",8.0,"('love', 'this', 'application')",56
"('message', 'attempting', 'login')",8.0,"('new', 'update', 'new')",56
"('snapchat', 'memory', 'never')",8.0,"('camera', 'zoomed', 'in')",52
"('memory', 'never', 'fail')",8.0,"('doe', 'not', 'let')",52
"('bad', 'bunny', 'snapchat')",8.0,"('not', 'like', 'new')",52
"('camera', 'zoomed', 'in')",8.0,"('front', 'facing', 'camera')",51
"('snapchat', 'need', 'fix')",8.0,"('ever', 'since', 'update')",50
"('having', 'trouble', 'adding')",7.0,"('this', 'application', 'not')",48
"('trouble', 'adding', 'friend')",7.0,"('not', 'save', 'picture')",45
"('adding', 'friend', 'make')",7.0,"('since', 'update', 'not')",44
"('friend', 'make', 'sure')",7.0,"('update', 'not', 'let')",44
"('make', 'sure', 'strong')",7.0,"('update', 'not', 'save')",44
"('sure', 'strong', 'network')",7.0,"('application', 'new', 'update')",40
"('strong', 'network', 'entering')",7.0,"('photo', 'camera', 'roll')",40
"('network', 'entering', 'username')",7.0,"('fix', 'new', 'update')",40
"('entering', 'username', 'correctly')",7.0,"('update', 'not', 'able')",37
