trigrams_tweets,frequency,trigrams_reviews,frequency_reviews
"('ad', 'in', 'aps')",9.0,"('please', 'fix', 'this')",52
"('found', 'answer', 'revenue')",5.0,"('doe', 'not', 'work')",34
"('answer', 'revenue', 'problem')",5.0,"('this', 'new', 'update')",30
"('revenue', 'problem', 'stemming')",5.0,"('camera', 'roll', 'eye')",20
"('problem', 'stemming', 'halted')",5.0,"('new', 'update', 'not')",20
"('stemming', 'halted', 'growth')",5.0,"('love', 'this', 'application')",19
"('halted', 'growth', 'show')",5.0,"('camera', 'zoomed', 'in')",17
"('growth', 'show', 'ad')",5.0,"('update', 'doe', 'not')",14
"('show', 'ad', 'in')",5.0,"('since', 'last', 'update')",14
"('in', 'aps', 'launch')",5.0,"('new', 'update', 'doe')",14
"('aps', 'launch', 'snapchat')",5.0,"('new', 'update', 'suck')",14
"('launch', 'snapchat', 'ad')",5.0,"('picture', 'camera', 'roll')",12
"('reason', 'account', 'could')",5.0,"('hate', 'new', 'update')",12
"('account', 'could', 'locked')",5.0,"('not', 'get', 'notification')",11
"('could', 'locked', 'learn')",5.0,"('since', 'new', 'update')",11
"('locked', 'learn', 'team')",5.0,"('front', 'facing', 'camera')",11
"('learn', 'team', 'snapchat')",5.0,"('this', 'application', 'not')",10
"('team', 'snapchat', 'unable')",5.0,"('application', 'doe', 'not')",10
"('snapchat', 'unable', 'unlock')",5.0,"('ever', 'since', 'update')",10
"('unable', 'unlock', 'account')",5.0,"('doe', 'not', 'let')",10
"('unlock', 'account', 'this')",5.0,"('fix', 'this', 'problem')",10
"('account', 'this', 'time')",5.0,"('not', 'save', 'story')",9
"('this', 'time', 'seeing')",5.0,"('fix', 'this', 'issue')",9
"('time', 'seeing', 'generic')",5.0,"('last', 'update', 'not')",9
"('seeing', 'generic', 'login')",5.0,"('update', 'new', 'update')",9
"('generic', 'login', 'error')",5.0,"('application', 'new', 'update')",9
"('login', 'error', 'message')",5.0,"('update', 'suck', 'not')",9
"('error', 'message', 'check')",5.0,"('not', 'let', 'log')",9
"('message', 'check', 'this')",5.0,"('please', 'fix', 'not')",9
"('check', 'this', 'link')",5.0,"('story', 'doe', 'not')",8
,,"('not', 'like', 'new')",8
,,"('new', 'update', 'snapshot')",8
,,"('not', 'getting', 'notification')",8
,,"('not', 'send', 'snap')",8
,,"('front', 'camera', 'zoomed')",8
,,"('filter', 'not', 'work')",8
,,"('new', 'update', 'snap')",8
,,"('say', 'waiting', 'send')",7
,,"('snapshot', 'new', 'update')",7
,,"('new', 'snapshot', 'update')",7
,,"('log', 'back', 'in')",7
,,"('map', 'not', 'working')",7
,,"('still', 'doe', 'not')",7
,,"('doe', 'not', 'show')",7
,,"('this', 'application', 'this')",7
,,"('application', 'this', 'application')",7
,,"('photo', 'camera', 'roll')",7
,,"('not', 'even', 'let')",7
,,"('filter', 'not', 'working')",7
,,"('not', 'open', 'snap')",7
,,"('doe', 'not', 'save')",6
,,"('download', 'this', 'application')",6
,,"('not', 'save', 'picture')",6
,,"('new', 'update', 'terrible')",6
,,"('let', 'log', 'in')",6
,,"('snap', 'camera', 'roll')",6
,,"('even', 'in', 'device')",6
,,"('snapshot', 'doe', 'not')",6
,,"('not', 'let', 'open')",6
,,"('fix', 'soon', 'possible')",6
,,"('fix', 'this', 'not')",6
,,"('not', 'working', 'properly')",6
,,"('not', 'working', 'not')",6
,,"('update', 'not', 'able')",6
,,"('map', 'doe', 'not')",6
,,"('doe', 'not', 'even')",6
,,"('way', 'zoomed', 'in')",6
,,"('since', 'latest', 'update')",6
,,"('save', 'entire', 'story')",5
,,"('this', 'application', 'doe')",5
,,"('camera', 'roll', 'into')",5
,,"('roll', 'into', 'eye')",5
,,"('not', 'download', 'this')",5
,,"('new', 'update', 'horrible')",5
,,"('in', 'camera', 'roll')",5
,,"('phone', 'please', 'fix')",5
,,"('annoying', 'please', 'fix')",5
,,"('snap', 'chat', 'not')",5
,,"('not', 'send', 'video')",5
,,"('worst', 'application', 'ever')",5
,,"('like', 'new', 'update')",5
,,"('application', 'keep', 'crashing')",5
,,"('link', 'snap', 'story')",5
,,"('not', 'even', 'save')",5
,,"('camera', 'roll', 'not')",5
,,"('fix', 'this', 'soon')",5
,,"('new', 'update', 'bad')",5
,,"('save', 'picture', 'video')",5
,,"('doe', 'not', 'send')",5
,,"('camera', 'roll', 'picture')",5
,,"('fix', 'new', 'update')",5
,,"('camera', 'way', 'zoomed')",5
,,"('new', 'update', 'trash')",5
,,"('anything', 'camera', 'roll')",5
,,"('update', 'not', 'send')",5
,,"('ever', 'since', 'new')",5
,,"('discovery', 'page', 'snapshot')",5
