Keywords_tweets,weights_tweets,Keywords_reviews,weights_reviews
"['fix', 'post', 'hang', 'ago', 'reply', 'report', 'guy', 'give', 'kind', 'part']","[0.226, 0.064, 0.06, 0.021, 0.021, 0.021, 0.013, 0.013, 0.013, 0.013]","['video', 'post', 'unload', 'record', 'mess', 'play', 'sound', 'order', 'start', 'part']","[0.323, 0.103, 0.063, 0.035, 0.032, 0.031, 0.028, 0.026, 0.024, 0.022]"
"['camera', 'break', 'application', 'front', 'bug', 'code', 'call', 'iphone', 'single', 'cover']","[0.103, 0.081, 0.077, 0.038, 0.034, 0.03, 0.026, 0.026, 0.013, 0.013]","['application', 'great', 'instal', 'randomly', 'deinstal', 'uninstale', 'give', 'username', 'hope', 'daily']","[0.617, 0.066, 0.06, 0.019, 0.017, 0.017, 0.015, 0.013, 0.011, 0.009]"
"['time', 'message', 'account', 'check', 'team', 'reason', 'login', 'error', 'link', 'unlock']","[0.091, 0.077, 0.063, 0.038, 0.035, 0.035, 0.031, 0.031, 0.028, 0.024]","['update', 'feature', 'slow', 'late', 'option', 'image', 'longer', 'change', 'set', 'frustrate']","[0.425, 0.065, 0.054, 0.053, 0.043, 0.04, 0.038, 0.026, 0.013, 0.011]"
"['issue', 'update', 'watch', 'filter', 'follow', 'fuck', 'talk', 'real', 'wait', 'medium']","[0.115, 0.062, 0.053, 0.044, 0.027, 0.027, 0.027, 0.022, 0.022, 0.018]","['work', 'doe', 'map', 'properly', 'lens', 'location', 'clear', 'aps', 'press', 'sham']","[0.323, 0.259, 0.054, 0.022, 0.022, 0.02, 0.019, 0.019, 0.017, 0.016]"
"['make', 'back', 'doe', 'android', 'apple', 'video', 'screen', 'picture', 'constantly', 'face']","[0.078, 0.052, 0.045, 0.037, 0.03, 0.026, 0.022, 0.022, 0.019, 0.019]","['snap', 'time', 'wife', 'soon_possible', 'lag', 'cool', 'half', 'function', 'login', 'notify']","[0.537, 0.096, 0.03, 0.029, 0.023, 0.016, 0.015, 0.015, 0.012, 0.012]"
"['bad', 'phone', 'crash', 'fail', 'open', 'year', 'zoom', 'change', 'tweet', 'selfie']","[0.078, 0.065, 0.039, 0.039, 0.03, 0.026, 0.026, 0.022, 0.022, 0.017]","['message', 'notification', 'show', 'screen', 'bug', 'black', 'receive', 'frustrating', 'check', 'annoy']","[0.153, 0.118, 0.092, 0.069, 0.061, 0.031, 0.03, 0.03, 0.024, 0.022]"
"['friend', 'add', 'today', 'notification', 'bad', 'lose', 'feel', 'life', 'note', 'chat']","[0.099, 0.099, 0.043, 0.03, 0.026, 0.022, 0.022, 0.022, 0.017, 0.013]","['add', 'suck', 'delete', 'people', 'day', 'text', 'view', 'private_story', 'break', 'sign']","[0.102, 0.098, 0.095, 0.074, 0.073, 0.047, 0.046, 0.032, 0.025, 0.021]"
"['snapchat', 'people', 'work', 'trouble', 'photo', 'screnshot', 'form', 'limit', 'glitch', 'strong']","[0.187, 0.098, 0.072, 0.038, 0.03, 0.021, 0.017, 0.017, 0.017, 0.013]","['memory', 'time', 'load', 'anymore', 'long', 'ever_since', 'bar', 'completely', 'favorite', 'today']","[0.18, 0.117, 0.109, 0.086, 0.052, 0.041, 0.025, 0.019, 0.016, 0.016]"
"['send', 'snap', 'day', 'instagram', 'log', 'week', 'error', 'good', 'number', 'save']","[0.118, 0.084, 0.042, 0.038, 0.029, 0.029, 0.025, 0.021, 0.017, 0.017]","['story', 'save', 'account', 'log', 'watch', 'entire', 'click', 'password', 'ridiculous', 'number']","[0.319, 0.233, 0.067, 0.061, 0.032, 0.021, 0.019, 0.017, 0.014, 0.014]"
"['problem', 'story', 'ad', 'show', 'find', 'launch', 'revenue', 'audience', 'growth', 'halt']","[0.144, 0.083, 0.065, 0.04, 0.029, 0.025, 0.022, 0.018, 0.018, 0.018]","['send', 'friend', 'chat', 'streak', 'wait', 'fail', 'hour', 'person', 'ago', 'take_forever']","[0.368, 0.147, 0.086, 0.048, 0.036, 0.026, 0.025, 0.022, 0.022, 0.017]"
,,"['phone', 'filter', 'download', 'please_fix', 'call', 'restart', 'fun', 'point', 'flash', 'install']","[0.274, 0.185, 0.072, 0.07, 0.047, 0.031, 0.027, 0.017, 0.014, 0.013]"
,,"['update', 'make', 'recent', 'trash', 'button', 'sticker', 'big', 'switch', 'fine', 'year']","[0.257, 0.169, 0.038, 0.032, 0.031, 0.031, 0.027, 0.024, 0.022, 0.021]"
,,"['picture', 'back', 'change', 'trophy', 'remove', 'end', 'wrong', 'bring', 'recently', 'bitmoji']","[0.231, 0.15, 0.053, 0.036, 0.03, 0.027, 0.027, 0.027, 0.025, 0.022]"
,,"['good', 'thing', 'crash', 'close', 'pic', 'lot', 'reason', 'freeze', 'happen', 'annoying']","[0.129, 0.086, 0.073, 0.062, 0.059, 0.058, 0.055, 0.044, 0.037, 0.036]"
,,"['open', 'application', 'glitch', 'give', 'version', 'star', 'device', 'turn', 'dint', 'constantly']","[0.176, 0.16, 0.083, 0.077, 0.076, 0.044, 0.038, 0.025, 0.022, 0.022]"
,,"['update', 'bad', 'love', 'hate', 'single', 'leave', 'miss', 'april', 'longer', 'top']","[0.308, 0.163, 0.105, 0.087, 0.028, 0.018, 0.018, 0.014, 0.013, 0.011]"
,,"['snapshot', 'stop', 'user', 'even_though', 'contact', 'couple', 'bit', 'hawes', 'int', 'kiss']","[0.571, 0.065, 0.048, 0.025, 0.014, 0.012, 0.012, 0.012, 0.011, 0.011]"
,,"['fix', 'problem', 'issue', 'front_camera', 'samsung', 'support', 'month', 'minute', 'guy', 'everytime']","[0.231, 0.146, 0.115, 0.06, 0.031, 0.028, 0.022, 0.021, 0.019, 0.019]"
,,"['camera', 'android', 'quality', 'horrible', 'galaxy', 'terrible', 'phone', 'zoom', 'face', 'front']","[0.191, 0.159, 0.082, 0.049, 0.045, 0.039, 0.035, 0.033, 0.029, 0.024]"
,,"['camera_roll', 'eye', 'photo', 'put', 'multiple', 'please_fix', 'edit', 'link', 'select', 'unable']","[0.122, 0.122, 0.111, 0.063, 0.057, 0.056, 0.046, 0.041, 0.038, 0.036]"
