Keywords_reviews,weights_reviews,Keywords_tweets,weights_tweets
"['camera', 'phone', 'galaxy', 'samsung', 'normal', 'actual', 'low', 'recently', 'brand', 'close']","[0.315, 0.306, 0.061, 0.039, 0.021, 0.021, 0.013, 0.012, 0.012, 0.01]","['issue', 'phone', 'start', 'good', 'select', 'give', 'ticket', 'support', 'report', 'submit']","[0.137, 0.054, 0.033, 0.033, 0.031, 0.031, 0.024, 0.024, 0.021, 0.021]"
"['application', 'problem', 'give', 'star', 'reason', 'close', 'battery', 'lens', 'solve', 'fast']","[0.357, 0.132, 0.073, 0.052, 0.037, 0.029, 0.022, 0.019, 0.018, 0.017]","['crash', 'killed_friend', 'prison', 'pleads_guilty', 'year', 'charge_report', 'instagram', 'medium', 'news', 'aps']","[0.126, 0.105, 0.063, 0.05, 0.042, 0.037, 0.034, 0.021, 0.018, 0.016]"
"['save', 'memory', 'anymore', 'year', 'longer', 'select', 'ago', 'search', 'remove', 'option']","[0.173, 0.164, 0.107, 0.042, 0.042, 0.038, 0.034, 0.028, 0.025, 0.024]","['snap', 'send', 'video', 'fail', 'memory', 'picture', 'feel', 'hear', 'make', 'today']","[0.092, 0.079, 0.053, 0.037, 0.032, 0.024, 0.021, 0.021, 0.021, 0.021]"
"['screen', 'show', 'change', 'chat', 'text', 'make', 'read', 'put', 'big', 'font']","[0.112, 0.112, 0.086, 0.075, 0.061, 0.038, 0.03, 0.027, 0.023, 0.022]","['problem', 'show', 'find', 'ap', 'ad', 'filter', 'add', 'leave', 'answer', 'shit']","[0.154, 0.038, 0.036, 0.028, 0.028, 0.026, 0.026, 0.023, 0.021, 0.021]"
"['snap', 'open', 'crash', 'day', 'every_time', 'ever_since', 'report', 'slow', 'forever', 'scroll']","[0.328, 0.169, 0.089, 0.054, 0.042, 0.041, 0.021, 0.013, 0.011, 0.011]","['bad', 'people', 'friend', 'make', 'fuck', 'call', 'button', 'load', 'accidentally', 'open']","[0.099, 0.071, 0.064, 0.059, 0.051, 0.031, 0.02, 0.018, 0.015, 0.015]"
"['please_fix', 'version', 'add', 'camera_roll', 'late', 'pic', 'multiple', 'call', 'eye', 'screnshot']","[0.094, 0.075, 0.066, 0.055, 0.053, 0.052, 0.049, 0.043, 0.041, 0.034]","['account', 'time', 'login', 'error_message', 'team', 'reason', 'check', 'log', 'link', 'learn']","[0.097, 0.081, 0.051, 0.051, 0.046, 0.044, 0.039, 0.032, 0.032, 0.032]"
"['update', 'friend', 'suck', 'streak', 'sticker', 'break', 'bitmoji', 'completely', 'today', 'ruin']","[0.316, 0.143, 0.085, 0.04, 0.033, 0.023, 0.022, 0.022, 0.019, 0.014]","['story', 'back', 'doe', 'day', 'guy', 'post', 'watch', 'trouble', 'horrible', 'laugh']","[0.084, 0.057, 0.054, 0.052, 0.042, 0.042, 0.039, 0.037, 0.022, 0.022]"
"['android', 'bad', 'user', 'feature', 'make', 'apple', 'system', 'please_fix', 'guy', 'trophy']","[0.218, 0.209, 0.049, 0.046, 0.046, 0.029, 0.026, 0.026, 0.024, 0.022]","['fix', 'update', 'work', 'screen', 'reply', 'girl', 'message', 'receive', 'hope', 'ago']","[0.257, 0.087, 0.047, 0.032, 0.027, 0.022, 0.02, 0.017, 0.015, 0.015]"
"['send', 'snap', 'message', 'people', 'mess', 'annoying', 'wait', 'person', 'leave', 'week']","[0.279, 0.147, 0.118, 0.097, 0.047, 0.032, 0.032, 0.03, 0.02, 0.012]","['camera', 'application', 'android', 'iphone', 'quality', 'front', 'zoom', 'version', 'device', 'month']","[0.112, 0.103, 0.061, 0.047, 0.042, 0.03, 0.026, 0.021, 0.019, 0.019]"
"['story', 'view', 'black', 'post', 'watch', 'long', 'turn', 'private', 'clip', 'frustrating']","[0.397, 0.077, 0.064, 0.056, 0.042, 0.037, 0.021, 0.02, 0.02, 0.019]","['snapchat', 'break', 'game', 'play', 'stop', 'thing', 'face', 'delete', 'user', 'twitter']","[0.165, 0.069, 0.041, 0.036, 0.033, 0.031, 0.029, 0.029, 0.024, 0.022]"
"['update', 'back', 'hate', 'profile', 'bring', 'ridiculous', 'edit', 'dear', 'blank', 'password']","[0.509, 0.126, 0.087, 0.019, 0.017, 0.014, 0.013, 0.007, 0.007, 0.007]",,
"['snapshot', 'update', 'love', 'game', 'constantly', 'keep_crashing', 'team', 'snake', 'stick', 'ap']","[0.529, 0.11, 0.048, 0.048, 0.026, 0.026, 0.017, 0.012, 0.009, 0.009]",,
"['application', 'notification', 'instal', 'receive', 'uninstale', 'hope', 'support', 'restart', 'top', 'amazing']","[0.497, 0.086, 0.066, 0.035, 0.033, 0.028, 0.021, 0.016, 0.015, 0.012]",,
"['picture', 'load', 'thing', 'slow', 'delete', 'bug', 'lose', 'happen', 'minute', 'stuff']","[0.209, 0.1, 0.079, 0.062, 0.062, 0.053, 0.04, 0.036, 0.021, 0.017]",,
"['fix', 'issue', 'front_camera', 'find', 'samsung_galaxy', 'zoom', 'run', 'flash', 'super', 'even_though']","[0.272, 0.127, 0.071, 0.039, 0.035, 0.029, 0.024, 0.024, 0.024, 0.023]",,
"['filter', 'work', 'love', 'face', 'fine', 'account', 'single', 'awful', 'fun', 'arnot']","[0.227, 0.174, 0.074, 0.067, 0.034, 0.031, 0.024, 0.018, 0.016, 0.016]",,
"['video', 'post', 'play', 'unload', 'record', 'cut', 'sound', 'rest', 'audio', 'voice']","[0.399, 0.063, 0.05, 0.043, 0.039, 0.021, 0.021, 0.019, 0.019, 0.016]",,
"['doe', 'work', 'log', 'freeze', 'everytime', 'start', 'fail', 'properly', 'great', 'login']","[0.231, 0.173, 0.051, 0.047, 0.037, 0.035, 0.029, 0.026, 0.023, 0.021]",,
