Keywords_tweets,weights_tweets,Keywords_reviews,weights_reviews
"['story', 'fix', 'people', 'post', 'watch', 'view', 'start', 'annoy', 'annoying', 'amtire']","[0.217, 0.113, 0.106, 0.088, 0.082, 0.029, 0.021, 0.014, 0.014, 0.012]","['send', 'friend', 'add', 'fail', 'delete', 'wife', 'wait', 'function', 'tap', 'datum']","[0.381, 0.16, 0.067, 0.042, 0.036, 0.03, 0.026, 0.015, 0.014, 0.013]"
"['phone', 'video', 'change', 'call', 'horrible', 'number', 'play', 'break', 'turn', 'literally']","[0.123, 0.087, 0.038, 0.035, 0.035, 0.031, 0.027, 0.023, 0.023, 0.021]","['fix', 'problem', 'issue', 'guy', 'soon_possible', 'frustrating', 'hope', 'start', 'report', 'solve']","[0.346, 0.162, 0.149, 0.033, 0.029, 0.023, 0.023, 0.022, 0.015, 0.014]"
"['snap', 'send', 'yal', 'memory', 'email', 'save', 'chat', 'person', 'wrong', 'long']","[0.14, 0.136, 0.054, 0.041, 0.04, 0.035, 0.03, 0.028, 0.023, 0.022]","['doe', 'work', 'change', 'stop', 'password', 'properly', 'number', 'email', 'fix', 'reset']","[0.227, 0.175, 0.08, 0.075, 0.051, 0.023, 0.021, 0.02, 0.02, 0.016]"
"['account', 'locked_learn', 'time', 'unlock', 'unable', 'check', 'generic_login', 'link', 'reason', 'team']","[0.149, 0.098, 0.095, 0.094, 0.082, 0.081, 0.073, 0.073, 0.072, 0.066]","['bad', 'notification', 'give', 'bug', 'star', 'version', 'option', 'set', 'experience', 'start']","[0.16, 0.138, 0.075, 0.074, 0.056, 0.053, 0.047, 0.027, 0.024, 0.022]"
"['account', 'reason', 'unable', 'unlock', 'time', 'team', 'check', 'locked_learn', 'link', 'error_message']","[0.16, 0.104, 0.095, 0.079, 0.078, 0.076, 0.074, 0.07, 0.068, 0.063]","['snap', 'day', 'fix', 'find', 'week', 'clear', 'unable', 'single', 'end', 'screnshot']","[0.496, 0.08, 0.034, 0.034, 0.027, 0.018, 0.017, 0.015, 0.015, 0.015]"
"['show', 'give', 'find', 'fail', 'user', 'issue', 'datum', 'tweet', 'contact', 'stupid']","[0.052, 0.048, 0.043, 0.03, 0.027, 0.024, 0.022, 0.022, 0.021, 0.021]","['android', 'memory', 'anymore', 'device', 'year', 'android_user', 'flashback', 'run', 'pixel', 'instagram']","[0.21, 0.139, 0.077, 0.038, 0.034, 0.03, 0.022, 0.018, 0.018, 0.017]"
"['friend', 'back', 'add', 'having_trouble', 'time', 'log', 'hear', 'make_sure', 'limit', 'hope']","[0.125, 0.092, 0.081, 0.057, 0.053, 0.045, 0.041, 0.038, 0.036, 0.032]","['snapshot', 'people', 'fix', 'love', 'month', 'streak', 'lose', 'everytime', 'support', 'contact']","[0.417, 0.1, 0.072, 0.06, 0.043, 0.042, 0.034, 0.023, 0.016, 0.012]"
"['issue', 'support', 'good', 'provide', 'report', 'block', 'experience', 'submit', 'resolve', 'option']","[0.228, 0.049, 0.031, 0.03, 0.023, 0.022, 0.021, 0.019, 0.019, 0.017]","['open', 'message', 'show', 'chat', 'receive', 'person', 'bug', 'glitch', 'ago', 'leave']","[0.201, 0.187, 0.099, 0.096, 0.041, 0.031, 0.03, 0.028, 0.022, 0.02]"
"['fix', 'camera', 'android', 'iphone', 'guy', 'bug', 'thing', 'quality', 'lot', 'kiss']","[0.185, 0.064, 0.056, 0.047, 0.047, 0.047, 0.04, 0.037, 0.03, 0.021]","['camera', 'quality', 'zoom', 'galaxy', 'samsung', 'front', 'horrible', 'zoomed', 'terrible', 'normal']","[0.282, 0.1, 0.074, 0.052, 0.051, 0.039, 0.028, 0.024, 0.024, 0.016]"
"['team', 'account', 'time', 'generic_login', 'link', 'check', 'unable', 'reason', 'error_message', 'locked_learn']","[0.111, 0.106, 0.096, 0.089, 0.088, 0.085, 0.085, 0.08, 0.079, 0.059]","['time', 'load', 'photo', 'long', 'pic', 'share', 'multiple', 'turn', 'gallery', 'half']","[0.169, 0.1, 0.094, 0.061, 0.049, 0.037, 0.033, 0.027, 0.026, 0.02]"
