index,tweet-id,timestamp,text,app_name,comment,bug_report,topic_distribution
0,1113218266426695680,2019-04-02 23:14:51,i am unable to download and run snapchatsnapchat phantom aps crash on launch,snapchat,"['unable', 'download', 'run', 'phantom', 'app', 'crash', 'launch']",1,"[0.02626050420168068, 0.02626050420168068, 0.02626050420168068, 0.02626050420168068, 0.02626050420168068, 0.02626050420168068, 0.02626050420168068, 0.02626050420168068, 0.02626050420168068, 0.02626050420168068, 0.02626050420168068, 0.02626050420168068, 0.02626050420168068, 0.03816526610644258, 0.02626050420168068, 0.02626050420168068, 0.02626050420168068, 0.02626050420168068, 0.02626050420168068, 0.02626050420168068, 0.02626050420168068, 0.03816526610644258, 0.02626050420168068, 0.028244631185807664, 0.02626050420168068, 0.028244631185807664, 0.02626050420168068, 0.06594304388422034, 0.03419701213818862, 0.02626050420168068, 0.02626050420168068, 0.05403828197945846, 0.03022875816993465, 0.02626050420168068]"
1,1113205859247710208,2019-04-02 22:25:33,millennial problem that no one talk about recording a video on snapchatinsta then listening back to it to make sure no one can hear you breathing,snapchat,"['millennial', 'problem', 'talk', 'record', 'video', 'insta', 'listen', 'back', 'make_sure', 'hear', 'breathing']",1,"[0.06053787635272688, 0.024108003857280624, 0.024108003857280624, 0.03867995285545913, 0.024108003857280624, 0.024108003857280624, 0.024108003857280624, 0.024108003857280624, 0.0350369656059145, 0.024108003857280624, 0.024108003857280624, 0.024108003857280624, 0.025929497482052935, 0.024108003857280624, 0.024108003857280624, 0.024108003857280624, 0.024108003857280624, 0.02957248473159756, 0.024108003857280624, 0.024108003857280624, 0.024108003857280624, 0.024108003857280624, 0.025929497482052935, 0.024108003857280624, 0.024108003857280624, 0.04232294010500376, 0.024108003857280624, 0.02957248473159756, 0.0350369656059145, 0.0350369656059145, 0.04050144648023145, 0.024108003857280624, 0.02775099110682525, 0.06782385085181614]"
2,1113205402953449473,2019-04-02 22:23:45,snapchat about to get me in some trouble,snapchat,"['get', 'trouble']",1,"[0.028835063437139548, 0.031013712674612316, 0.028835063437139548, 0.028835063437139548, 0.04626425733692167, 0.028835063437139548, 0.028835063437139548, 0.028835063437139548, 0.028835063437139548, 0.028835063437139548, 0.028835063437139548, 0.028835063437139548, 0.028835063437139548, 0.028835063437139548, 0.028835063437139548, 0.028835063437139548, 0.028835063437139548, 0.028835063437139548, 0.028835063437139548, 0.028835063437139548, 0.028835063437139548, 0.028835063437139548, 0.028835063437139548, 0.028835063437139548, 0.028835063437139548, 0.028835063437139548, 0.028835063437139548, 0.028835063437139548, 0.028835063437139548, 0.028835063437139548, 0.028835063437139548, 0.028835063437139548, 0.028835063437139548, 0.028835063437139548]"
3,1113202456907776000,2019-04-02 22:12:02,who remembers using early foursquare checkins at sxsw to heat map which barshotelsevents to hang out at sxsw socialmedia locationdata foursnap snapchat try status location checkins via,snapchat,"['remember', 'use', 'early', 'foursquare', 'check', 'in', 'sxsw', 'heat', 'map', 'bar', 'hotel', 'event', 'hang', 'sxsw', 'socialmedia', 'locationdata', 'foursnap', 'try', 'status', 'location', 'check', 'in']",1,"[0.040339052287581695, 0.024714052287581695, 0.03686683006535947, 0.02818627450980392, 0.022977941176470586, 0.022977941176470586, 0.031658496732026135, 0.022977941176470586, 0.022977941176470586, 0.022977941176470586, 0.022977941176470586, 0.022977941176470586, 0.040339052287581695, 0.022977941176470586, 0.024714052287581695, 0.022977941176470586, 0.026450163398692807, 0.024714052287581695, 0.022977941176470586, 0.02818627450980392, 0.022977941176470586, 0.022977941176470586, 0.03513071895424836, 0.024714052287581695, 0.026450163398692807, 0.022977941176470586, 0.022977941176470586, 0.022977941176470586, 0.022977941176470586, 0.022977941176470586, 0.022977941176470586, 0.12020016339869279, 0.024714052287581695, 0.04901960784313725]"
4,1113190223574384642,2019-04-02 21:23:26,you need to fix your application on the galaxy s is insane that you have not fixed this yet the camera is super zoomed in by default so many people have tweeted the same thing,snapchat,"['need', 'fix', 'app', 'galaxy', 'insane', 'have', 'not', 'fix', 'camera', 'be', 'super_zoom', 'default', 'many', 'people', 'have', 'tweet', 'thing']",1,"[0.02371916508538899, 0.030887623866750993, 0.02371916508538899, 0.055977229601518, 0.02371916508538899, 0.02371916508538899, 0.0398481973434535, 0.02371916508538899, 0.02371916508538899, 0.0326797385620915, 0.02371916508538899, 0.02371916508538899, 0.02371916508538899, 0.02371916508538899, 0.027303394476069994, 0.0398481973434535, 0.02371916508538899, 0.025511279780729493, 0.0326797385620915, 0.030887623866750993, 0.02371916508538899, 0.02371916508538899, 0.02371916508538899, 0.02371916508538899, 0.08465106472696603, 0.02371916508538899, 0.02371916508538899, 0.02371916508538899, 0.029095509171410492, 0.048808770820156014, 0.02371916508538899, 0.02371916508538899, 0.02371916508538899, 0.02371916508538899]"
5,1113179638266777605,2019-04-02 20:41:22,not bad in case you want to update your team using short video message a la snapchat id take a look at,snapchat,"['not', 'bad', 'case', 'want', 'update', 'team', 'use', 'short', 'video', 'message', 'take', 'look']",1,"[0.043343653250774015, 0.0257997936016512, 0.0257997936016512, 0.0257997936016512, 0.027749111340442625, 0.03554638229560832, 0.043343653250774015, 0.0257997936016512, 0.0257997936016512, 0.0257997936016512, 0.0257997936016512, 0.0257997936016512, 0.0257997936016512, 0.0257997936016512, 0.0257997936016512, 0.0257997936016512, 0.0257997936016512, 0.0257997936016512, 0.0257997936016512, 0.0257997936016512, 0.0257997936016512, 0.07258341933264537, 0.0257997936016512, 0.033597064556816894, 0.0257997936016512, 0.0257997936016512, 0.0257997936016512, 0.0257997936016512, 0.0257997936016512, 0.0257997936016512, 0.0257997936016512, 0.0257997936016512, 0.02969842907923405, 0.043343653250774015]"
6,1113173666605490176,2019-04-02 20:17:38,so sorry you are having this issue we are always testing out new experience to improve snapchat to submit feedback head to the following page and select i have feedback,snapchat,"['be', 'have', 'issue', 'always', 'test', 'new', 'experience', 'improve', 'submit', 'feedback', 'head', 'follow', 'page', 'select', 'have', 'feedback']",1,"[0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.03685845923068682, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.029572484731597563, 0.024108003857280628, 0.024108003857280628, 0.062359369977499204, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.027750991106825253, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.04050144648023145, 0.024108003857280628, 0.03867995285545913, 0.024108003857280628, 0.024108003857280628, 0.027750991106825253, 0.024108003857280628, 0.04232294010500376, 0.024108003857280628, 0.0896817743490839, 0.02592949748205294, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628]"
7,1113172626212577286,2019-04-02 20:13:30,the new update make my front facing camera on my samsung s be zoomed in all the time please fix it it is awful to use,snapchat,"['new', 'update', 'make', 'front_face', 'camera', 'samsung', 'time', 'fix', 'awful', 'use']",1,"[0.024509803921568634, 0.024509803921568634, 0.024509803921568634, 0.024509803921568634, 0.024509803921568634, 0.028213507625272333, 0.024509803921568634, 0.024509803921568634, 0.024509803921568634, 0.024509803921568634, 0.024509803921568634, 0.024509803921568634, 0.026361655773420485, 0.024509803921568634, 0.024509803921568634, 0.024509803921568634, 0.024509803921568634, 0.026361655773420485, 0.026361655773420485, 0.03006535947712418, 0.041176470588235294, 0.024509803921568634, 0.024509803921568634, 0.048583877995642705, 0.08747276688453158, 0.024509803921568634, 0.024509803921568634, 0.024509803921568634, 0.024509803921568634, 0.03747276688453159, 0.059694989106753804, 0.024509803921568634, 0.024509803921568634, 0.024509803921568634]"
8,1113166445830131712,2019-04-02 19:48:56,please people do not ask me about snapchat when i finish fix log to snap without jailbreak i will upload it sil vous plat ne me poser plus de question sur le snap modifier jusqu que je fini tout merci,snapchat,"['people', 'do', 'not', 'ask', 'finish', 'fix', 'log', 'snap', 'jailbreak', 'upload', 'الاخوة', 'عدم', 'سوالي', 'السناب', 'الى', 'غاية', 'تحديث', 'وشكرا', 'sil', 'vous', 'plait', 'poser', 'question', 'snap', 'modifi', 'jusqua', 'fini', 'tout', 'merci', 'pic_twitter', 'com', 'afzmc']",1,"[0.0257703081232493, 0.022595704948646125, 0.022595704948646125, 0.05910364145658262, 0.03529411764705882, 0.02100840336134454, 0.022595704948646125, 0.03688141923436041, 0.0257703081232493, 0.02100840336134454, 0.02100840336134454, 0.02100840336134454, 0.022595704948646125, 0.0257703081232493, 0.032119514472455646, 0.02100840336134454, 0.032119514472455646, 0.024183006535947717, 0.02100840336134454, 0.024183006535947717, 0.04005602240896359, 0.04481792717086835, 0.03053221288515406, 0.04323062558356676, 0.022595704948646125, 0.024183006535947717, 0.03053221288515406, 0.024183006535947717, 0.057516339869281036, 0.03529411764705882, 0.02100840336134454, 0.028944911297852476, 0.0257703081232493, 0.033706816059757234]"
9,1113142946688368642,2019-04-02 18:15:34,i have so many people that write me ofline and want to chat all day on snapchat but do not come to my cam to just hang or contribute with ofline tip so if you expect to be my friend ofline but can not be there for me when i am online i amnot putting the effort into you ofline,snapchat,"['have', 'many', 'people', 'write', 'offline', 'want', 'chat', 'day', 'do', 'not', 'come', 'cam', 'hang', 'contribute', 'offline', 'tip', 'expect', 'friend', 'offline', 'can', 'not', 'be', 'online', 'be', 'not', 'put', 'effort', 'offline']",1,"[0.03024095210223392, 0.02194907813871817, 0.03355770168764022, 0.04848307482196858, 0.02194907813871817, 0.09989269339576623, 0.023607452931421323, 0.02194907813871817, 0.02194907813871817, 0.02194907813871817, 0.03024095210223392, 0.02194907813871817, 0.023607452931421323, 0.02194907813871817, 0.02692420251682762, 0.060091698370890616, 0.023607452931421323, 0.04682470002926542, 0.02194907813871817, 0.036874451273046525, 0.02194907813871817, 0.02194907813871817, 0.02194907813871817, 0.02194907813871817, 0.02194907813871817, 0.023607452931421323, 0.03024095210223392, 0.02194907813871817, 0.023607452931421323, 0.02194907813871817, 0.02858257730953077, 0.036874451273046525, 0.02194907813871817, 0.02194907813871817]"
