level_0,index,Unnamed: 0,Bug_report,appTitle,bug_report,comment,date,id,original_text,score,text,userName,Unnamed: 12,Unnamed: 13,topic_distribution
0,238169,220577,1,Whatsapp,,"['be', 'not', 'even', 'instal', 'phone']",2019-05-21,112336,It's not even installed in my phone,1,it is not even installed in my phone,A Google User,,,"[0.026954177897574125, 0.043725666367175814, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.04582210242587602, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.029050613956274333, 0.029050613956274337, 0.026954177897574125, 0.041629230308475595, 0.026954177897574125, 0.029050613956274333, 0.026954177897574125, 0.026954177897574125]"
1,238209,220617,1,Whatsapp,,"['sticker', 'bad', 'see', 'hike', 'ask']",2019-05-14,112476,"stickers are very bad, see hike apk",1,sticker are very bad see hike ask,Sagar,,,"[0.02597402597402598, 0.02597402597402598, 0.02597402597402598, 0.02597402597402598, 0.03607503607503608, 0.02597402597402598, 0.0380952380952381, 0.02597402597402598, 0.027994227994228002, 0.02597402597402598, 0.02597402597402598, 0.04415584415584417, 0.027994227994228002, 0.027994227994228002, 0.02597402597402598, 0.02597402597402598, 0.02597402597402598, 0.02597402597402598, 0.027994227994228, 0.02597402597402598, 0.02597402597402598, 0.02597402597402598, 0.030014430014430025, 0.027994227994228, 0.02597402597402598, 0.02597402597402598, 0.027994227994228, 0.02597402597402598, 0.027994227994228002, 0.027994227994228002, 0.02597402597402598, 0.02597402597402598, 0.02597402597402598, 0.042135642135642144, 0.040115440115440125]"
2,238214,220622,1,Whatsapp,,"['be', 'hack', 'day', 'ago', 'accord', 'global', 'news', 'outlet', 'nothing', 'be', 'issue', 'developer', 'not', 'even', 'single', 'word', 'amateurish', 'indeed', 'seriously', 'think', 'uninstale']",2019-05-14,112499,Whatsup has been hacked few days ago according to global news outlets but nothing has been issued from the developer. Not even a single word. Very amateurish indeed and I'm seriously thinking of Uninstalling it once and for all.,1,whatsit has been hacked few day ago according to global news outlet but nothing has been issued from the developer not even a single word very amateurish indeed and i am seriously thinking of uninstaling it once and for all,Koffee Mug,,,"[0.03358638141246836, 0.022314239705544046, 0.020703933747412, 0.020703933747412, 0.03197607545433631, 0.03519668737060041, 0.02231423970554405, 0.022314239705544046, 0.033586381412468364, 0.044858523119392674, 0.033586381412468364, 0.020703933747412, 0.035196687370600395, 0.030365769496204276, 0.027145157579940186, 0.03519668737060041, 0.02231423970554405, 0.022314239705544046, 0.020703933747412, 0.020703933747412, 0.020703933747412, 0.020703933747412, 0.03358638141246836, 0.020703933747412, 0.033586381412468364, 0.036806993328732454, 0.023924545663676095, 0.03036576949620427, 0.03841729928686449, 0.02714515757994018, 0.020703933747412, 0.022314239705544046, 0.04163791120312859, 0.02553485162180814, 0.048079135035656764]"
3,238220,220628,1,Whatsapp,,"['change', 'emosi', 'back', 'old', 'make', 'emosi', 'phone', 'be', 'emosi', 'be', 'really', 'ugly', 'prefer', 'old']",2019-05-14,112508,please change the emoji back to the old one or make it like iPhone's emoji it's really ugly and I prefer the old one,1,please change the emosi back to the old one or make the emosi like phone is emosi it is really ugly and i prefer the old one,Hazor LOL,,,"[0.03995621237000547, 0.03995621237000547, 0.024630541871921176, 0.024630541871921176, 0.024630541871921176, 0.024630541871921176, 0.024630541871921176, 0.024630541871921176, 0.04187192118226601, 0.024630541871921176, 0.024630541871921176, 0.024630541871921176, 0.024630541871921176, 0.024630541871921176, 0.024630541871921176, 0.024630541871921176, 0.024630541871921176, 0.026546250684181715, 0.024630541871921176, 0.024630541871921176, 0.03229337712096332, 0.024630541871921176, 0.024630541871921176, 0.024630541871921176, 0.07635467980295566, 0.02654625068418171, 0.024630541871921176, 0.024630541871921176, 0.024630541871921176, 0.024630541871921176, 0.043787629994526546, 0.02654625068418171, 0.02654625068418171, 0.026546250684181715, 0.02654625068418171]"
4,238232,220640,1,Whatsapp,,"['doe', 'want', 'post', 'status']",2019-05-14,112542,it doesnt wanna post some of my statuses,1,it doe want to post some of my status,Otsile Letlotlo,,,"[0.026954177897574122, 0.02905061395627433, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.04162923030847559, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.02905061395627433, 0.026954177897574122, 0.04582210242587602, 0.04582210242587602, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122]"
5,238236,220644,1,Whatsapp,,"['really', 'work', 'worldwide', 'call', 'update', 'large', 'many', 'new', 'update', 'doe', 'not', 'give', 'option', 'not', 'share', 'information', 'face']",2019-05-14,112549,"It really works worldwide on calls, but updates are too large and to many. The new update does not give the option to not share your information with Facebook.",4,it really work worldwide on call but update are too large and to many the new update doe not give the option to not share your information with face-on,A Google User,,,"[0.024057539682539677, 0.034474206349206345, 0.022321428571428565, 0.022321428571428565, 0.022321428571428565, 0.022321428571428565, 0.022321428571428565, 0.022321428571428565, 0.022321428571428565, 0.029265873015873006, 0.02579365079365079, 0.022321428571428565, 0.05704365079365079, 0.04315476190476189, 0.024057539682539677, 0.053571428571428575, 0.022321428571428565, 0.022321428571428565, 0.025793650793650785, 0.03794642857142857, 0.022321428571428565, 0.022321428571428565, 0.022321428571428565, 0.022321428571428565, 0.022321428571428565, 0.022321428571428565, 0.022321428571428565, 0.02579365079365079, 0.03968253968253967, 0.022321428571428565, 0.03794642857142857, 0.051835317460317464, 0.024057539682539677, 0.034474206349206345, 0.029265873015873013]"
6,238243,220651,1,Whatsapp,,"['do', 'not', 'know', 'be', 'long', 'have', 'not', 'update', 'thank']",2019-05-14,112558,i dont know what is rong my whatsapp have not be update thanks,2,i do not know what is long my whatsit have not be update thanks,A Google User,,,"[0.027011974380395435, 0.02506265664160401, 0.02506265664160401, 0.02506265664160401, 0.04260651629072682, 0.02506265664160401, 0.02701197438039543, 0.02506265664160401, 0.02506265664160401, 0.02701197438039543, 0.030910609857978277, 0.02506265664160401, 0.04455583402951823, 0.02506265664160401, 0.02506265664160401, 0.02506265664160401, 0.02506265664160401, 0.02506265664160401, 0.02506265664160401, 0.02506265664160401, 0.02506265664160401, 0.02506265664160401, 0.02506265664160401, 0.0328599275967697, 0.02506265664160401, 0.0406571985519354, 0.03480924533556113, 0.03480924533556113, 0.03675856307435255, 0.027011974380395435, 0.02506265664160401, 0.0406571985519354, 0.02701197438039543, 0.02506265664160401, 0.02506265664160401]"
7,238253,220661,1,Whatsapp,,"['great', 'application', 'do', 'change', 'delete', 'everyone', 'option', 'update', 'try', 'delete', 'post', 'post', 'let', 'delete']",2019-05-14,112575,Great app but did you change the delete for everyone option with the update? Im trying to delete a post and it only lets me delete for myself.,4,great application but did you change the delete for everyone option with the update i trying to delete a post and a post only let me delete for myself,Brandis Belser,,,"[0.023041474654377888, 0.023041474654377888, 0.026625704045058894, 0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.02483358934971839, 0.0337941628264209, 0.02483358934971839, 0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.06784434203789046, 0.02483358934971839, 0.023041474654377888, 0.0284178187403994, 0.023041474654377888, 0.030209933435739904, 0.024833589349718393, 0.023041474654377888, 0.053507424475166446, 0.0284178187403994, 0.02483358934971839, 0.023041474654377888, 0.05888376856118795, 0.023041474654377888, 0.023041474654377888, 0.039170506912442414, 0.023041474654377888, 0.023041474654377888, 0.039170506912442414, 0.030209933435739897, 0.023041474654377888, 0.02483358934971839]"
8,238258,220666,1,Whatsapp,,"['tired', 'have', 'update', 'constantly', 'application', 'seem', 'always', 'hack']",2019-05-14,112595,I'm just tired of having to update constantly because the app seems to always be hacked.,1,i am just tired of having to update constantly because the application seems to always be hacked,Ralphy Firebird,,,"[0.024630541871921173, 0.024630541871921173, 0.024630541871921173, 0.024630541871921173, 0.024630541871921173, 0.024630541871921173, 0.024630541871921173, 0.024630541871921173, 0.026546250684181708, 0.036124794745484384, 0.024630541871921173, 0.024630541871921173, 0.03995621237000547, 0.024630541871921173, 0.024630541871921173, 0.03420908593322386, 0.024630541871921173, 0.024630541871921173, 0.028461959496442247, 0.024630541871921173, 0.038040503557744916, 0.02654625068418171, 0.03804050355774493, 0.03995621237000547, 0.026546250684181708, 0.024630541871921173, 0.03420908593322386, 0.024630541871921173, 0.024630541871921173, 0.04761904761904761, 0.024630541871921173, 0.041871921182266, 0.024630541871921173, 0.024630541871921173, 0.024630541871921173]"
9,238261,220669,1,Whatsapp,,"['update', 'have', 'not', 'be', 'get', 'mesagesyet', 'delete', 'download', 'new', 'version', 'delay', 'register', 'update', 'stop', 'point', 'verify', 'mobile', 'number', 'need', 'connected', 'back', 'business', 'be', 'online']",2019-05-14,112601,after the update i havent been getting messages...Yet i deleted to download a new version same delaying in registering as it stops at the point of me verifying my mobile number...I need to b connected back because my business is online,1,after the update i havent been getting mesagesyet i deleted to download a new version same delaying in registering a the update stop at the point of me verifying my mobile number need to b connected back because my business is online,Esther Ashaolu,,,"[0.022642390289449112, 0.02100840336134454, 0.02100840336134454, 0.022642390289449116, 0.02100840336134454, 0.02100840336134454, 0.02100840336134454, 0.03571428571428572, 0.04061624649859945, 0.02100840336134454, 0.02100840336134454, 0.02100840336134454, 0.032446311858076574, 0.030812324929971997, 0.024276377217553692, 0.037348272642390296, 0.02100840336134454, 0.03571428571428572, 0.02100840336134454, 0.02100840336134454, 0.02100840336134454, 0.02100840336134454, 0.02100840336134454, 0.05695611577964521, 0.022642390289449112, 0.02100840336134454, 0.024276377217553692, 0.02100840336134454, 0.027544351073762838, 0.02100840336134454, 0.022642390289449116, 0.05205415499533149, 0.042250233426704024, 0.09126984126984128, 0.02100840336134454]"
