quadgrams_tweets,frequency,quadgrams_reviews,frequency_reviews
"('hi', 'send', 'message', 'five')",3.0,"('please', 'fix', 'this', 'problem')",7
"('send', 'message', 'five', 'contact')",3.0,"('please', 'fix', 'this', 'soon')",5
"('message', 'five', 'contact', 'number')",3.0,"('update', 'contact', 'profile', 'picture')",5
"('five', 'contact', 'number', 'think')",3.0,"('new', 'update', 'new', 'update')",5
"('contact', 'number', 'think', 'this')",3.0,"('not', 'working', 'properly', 'not')",4
"('number', 'think', 'this', 'strong')",3.0,"('whatsit', 'not', 'working', 'properly')",4
"('think', 'this', 'strong', 'disadvantage')",3.0,"('not', 'send', 'message', 'people')",4
"('this', 'strong', 'disadvantage', 'in')",3.0,"('fix', 'this', 'soon', 'possible')",4
"('strong', 'disadvantage', 'in', 'addition')",3.0,"('please', 'fix', 'this', 'bug')",4
"('disadvantage', 'in', 'addition', 'suffering')",3.0,"('people', 'in', 'contact', 'not')",4
"('in', 'addition', 'suffering', 'this')",3.0,"('update', 'please', 'fix', 'this')",4
"('addition', 'suffering', 'this', 'issue')",3.0,"('download', 'unable', 'complete', 'please')",4
"('suffering', 'this', 'issue', 'please')",3.0,"('not', 'forward', 'message', 'chat')",4
"('this', 'issue', 'please', 'try')",3.0,"('please', 'fix', 'soon', 'possible')",4
"('issue', 'please', 'try', 'make')",3.0,"('please', 'fix', 'this', 'issue')",4
"('not', 'wa', 'account', 'number')",2.0,"('latest', 'update', 'please', 'fix')",3
"('wa', 'showing', 'number', 'wa')",2.0,"('file', 'doe', 'not', 'exist')",3
"('please', 'try', 'make', 'hi')",2.0,"('doe', 'not', 'show', 'notification')",3
"('try', 'make', 'hi', 'send')",2.0,"('this', 'new', 'update', 'not')",3
"('make', 'hi', 'send', 'message')",2.0,"('please', 'solve', 'this', 'problem')",3
"('bug', 'in', 'whats', 'application')",2.0,"('last', 'update', 'not', 'able')",3
"('please', 'help', 'in', 'this')",2.0,"('not', 'able', 'see', 'profile')",3
"('help', 'in', 'this', 'problem')",2.0,"('able', 'see', 'profile', 'picture')",3
"('last', 'update', 'bad', 'not')",2.0,"('see', 'profile', 'picture', 'contact')",3
,,"('update', 'contact', 'picture', 'not')",3
,,"('unable', 'complete', 'please', 'try')",3
,,"('complete', 'please', 'try', 'later')",3
,,"('not', 'set', 'yes', 'medium')",3
,,"('set', 'yes', 'medium', 'visibility')",3
,,"('yes', 'medium', 'visibility', 'in')",3
,,"('medium', 'visibility', 'in', 'gallery')",3
,,"('this', 'issue', 'soon', 'possible')",3
,,"('please', 'fix', 'this', 'not')",3
,,"('call', 'quality', 'not', 'good')",3
,,"('video', 'call', 'quality', 'not')",3
,,"('application', 'not', 'working', 'properly')",3
,,"('video', 'call', 'not', 'working')",3
,,"('profile', 'picture', 'not', 'showing')",3
,,"('please', 'help', 'soon', 'possible')",3
,,"('status', 'video', 'not', 'playing')",3
,,"('please', 'solve', 'this', 'issue')",3
,,"('latest', 'update', 'this', 'application')",3
,,"('person', 'last', 'seen', 'yesterday')",3
,,"('new', 'update', 'not', 'good')",3
