quadgrams_tweets,frequency,quadgrams_reviews,frequency_reviews
"('please', 'fix', 'this', 'issue')",17,"('please', 'fix', 'this', 'issue')",17.0
"('please', 'fix', 'this', 'problem')",13,"('please', 'fix', 'this', 'problem')",13.0
"('please', 'fix', 'this', 'bug')",13,"('please', 'fix', 'this', 'bug')",13.0
"('download', 'unable', 'complete', 'please')",10,"('download', 'unable', 'complete', 'please')",10.0
"('unable', 'complete', 'please', 'try')",10,"('unable', 'complete', 'please', 'try')",10.0
"('fix', 'this', 'soon', 'possible')",9,"('fix', 'this', 'soon', 'possible')",9.0
"('video', 'call', 'not', 'good')",9,"('video', 'call', 'not', 'good')",9.0
"('complete', 'please', 'try', 'later')",8,"('complete', 'please', 'try', 'later')",8.0
"('not', 'see', 'friend', 'status')",8,"('not', 'see', 'friend', 'status')",8.0
"('please', 'fix', 'this', 'soon')",8,"('please', 'fix', 'this', 'soon')",8.0
"('video', 'call', 'not', 'clear')",8,"('video', 'call', 'not', 'clear')",8.0
"('please', 'solve', 'this', 'problem')",7,"('please', 'solve', 'this', 'problem')",7.0
"('please', 'fix', 'this', 'not')",7,"('please', 'fix', 'this', 'not')",7.0
"('new', 'update', 'doe', 'not')",7,"('new', 'update', 'doe', 'not')",7.0
"('whatsit', 'not', 'working', 'properly')",7,"('whatsit', 'not', 'working', 'properly')",7.0
"('this', 'application', 'doe', 'not')",7,"('this', 'application', 'doe', 'not')",7.0
"('this', 'problem', 'soon', 'possible')",7,"('this', 'problem', 'soon', 'possible')",7.0
"('new', 'update', 'new', 'update')",6,"('new', 'update', 'new', 'update')",6.0
"('this', 'issue', 'soon', 'possible')",6,"('this', 'issue', 'soon', 'possible')",6.0
"('remove', 'muted', 'status', 'update')",6,"('remove', 'muted', 'status', 'update')",6.0
"('not', 'working', 'properly', 'not')",6,"('not', 'working', 'properly', 'not')",6.0
"('please', 'solve', 'this', 'issue')",5,"('please', 'solve', 'this', 'issue')",5.0
"('latest', 'update', 'not', 'able')",5,"('latest', 'update', 'not', 'able')",5.0
"('fix', 'this', 'issue', 'soon')",5,"('fix', 'this', 'issue', 'soon')",5.0
"('whatsit', 'please', 'fix', 'this')",5,"('whatsit', 'please', 'fix', 'this')",5.0
"('last', 'update', 'not', 'send')",5,"('last', 'update', 'not', 'send')",5.0
"('update', 'not', 'send', 'image')",5,"('update', 'not', 'send', 'image')",5.0
"('please', 'fix', 'soon', 'possible')",5,"('please', 'fix', 'soon', 'possible')",5.0
"('last', 'update', 'not', 'able')",5,"('last', 'update', 'not', 'able')",5.0
"('not', 'install', 'this', 'application')",5,"('not', 'install', 'this', 'application')",5.0
"('this', 'application', 'this', 'application')",5,"('this', 'application', 'this', 'application')",5.0
"('fix', 'this', 'problem', 'soon')",5,"('fix', 'this', 'problem', 'soon')",5.0
"('not', 'get', 'verification', 'code')",5,"('not', 'get', 'verification', 'code')",5.0
"('not', 'able', 'see', 'status')",5,"('not', 'able', 'see', 'status')",5.0
"('since', 'last', 'update', 'not')",5,"('since', 'last', 'update', 'not')",5.0
"('screen', 'doe', 'not', 'turn')",5,"('screen', 'doe', 'not', 'turn')",5.0
"('not', 'see', 'profile', 'photo')",4,"('not', 'see', 'profile', 'photo')",4.0
"('solve', 'this', 'problem', 'not')",4,"('solve', 'this', 'problem', 'not')",4.0
"('not', 'clear', 'video', 'call')",4,"('not', 'clear', 'video', 'call')",4.0
"('even', 'person', 'not', 'typing')",4,"('even', 'person', 'not', 'typing')",4.0
"('update', 'please', 'fix', 'status')",4,"('update', 'please', 'fix', 'status')",4.0
"('not', 'working', 'whatsit', 'not')",4,"('not', 'working', 'whatsit', 'not')",4.0
"('unable', 'send', 'picture', 'whatsit')",4,"('unable', 'send', 'picture', 'whatsit')",4.0
"('not', 'able', 'unload', 'status')",4,"('not', 'able', 'unload', 'status')",4.0
"('not', 'able', 'send', 'audio')",4,"('not', 'able', 'send', 'audio')",4.0
"('whats', 'application', 'not', 'working')",4,"('whats', 'application', 'not', 'working')",4.0
"('application', 'not', 'working', 'properly')",4,"('application', 'not', 'working', 'properly')",4.0
"('not', 'send', 'picture', 'video')",4,"('not', 'send', 'picture', 'video')",4.0
"('not', 'send', 'receive', 'message')",4,"('not', 'send', 'receive', 'message')",4.0
"('new', 'update', 'not', 'good')",4,"('new', 'update', 'not', 'good')",4.0
"('doe', 'not', 'work', 'not')",4,"('doe', 'not', 'work', 'not')",4.0
"('since', 'last', 'update', 'unable')",4,"('since', 'last', 'update', 'unable')",4.0
