trigrams_tweets,frequency,trigrams_reviews,frequency_reviews
"('not', 'send', 'picture')",12.0,"('please', 'fix', 'this')",101
"('please', 'fix', 'this')",11.0,"('video', 'call', 'not')",50
"('not', 'able', 'send')",10.0,"('not', 'working', 'properly')",41
"('whatsap', 'not', 'working')",9.0,"('doe', 'not', 'work')",37
"('fix', 'soon', 'possible')",7.0,"('since', 'last', 'update')",33
"('not', 'send', 'image')",7.0,"('not', 'able', 'send')",30
"('not', 'send', 'photo')",6.0,"('not', 'able', 'see')",29
"('doe', 'not', 'let')",5.0,"('this', 'application', 'not')",27
"('please', 'look', 'into')",5.0,"('not', 'send', 'picture')",27
"('this', 'problem', 'not')",5.0,"('not', 'send', 'photo')",27
"('please', 'fix', 'problem')",5.0,"('whatsit', 'not', 'working')",25
"('fix', 'this', 'problem')",5.0,"('fix', 'this', 'issue')",25
"('problem', 'not', 'send')",5.0,"('not', 'see', 'status')",24
"('send', 'picture', 'video')",5.0,"('update', 'not', 'send')",24
"('problem', 'in', 'whatsap')",4.0,"('last', 'update', 'not')",23
"('request', 'request', 'request')",4.0,"('fix', 'this', 'problem')",21
"('look', 'into', 'this')",4.0,"('new', 'update', 'not')",21
"('please', 'fix', 'issue')",4.0,"('application', 'not', 'working')",20
"('student', 'account', 'banned')",4.0,"('doe', 'not', 'show')",20
"('completing', 'school', 'project')",4.0,"('solve', 'this', 'problem')",19
"('school', 'project', 'group')",4.0,"('not', 'send', 'image')",19
"('project', 'group', 'name')",4.0,"('application', 'doe', 'not')",18
"('group', 'name', 'title')",4.0,"('this', 'new', 'update')",17
"('name', 'title', 'flagged')",4.0,"('please', 'solve', 'this')",16
"('title', 'flagged', 'heavy')",4.0,"('update', 'doe', 'not')",16
"('flagged', 'heavy', 'topic')",4.0,"('fix', 'this', 'bug')",16
"('unable', 'send', 'image')",4.0,"('update', 'please', 'fix')",15
"('not', 'send', 'pic')",4.0,"('update', 'not', 'able')",15
"('whatsap', 'not', 'send')",4.0,"('please', 'fix', 'not')",15
"('not', 'let', 'send')",3.0,"('call', 'not', 'clear')",15
"('bug', 'in', 'application')",3.0,"('call', 'video', 'call')",14
"('problem', 'whatsap', 'account')",3.0,"('worst', 'application', 'ever')",14
"('issue', 'in', 'whatsap')",3.0,"('not', 'see', 'friend')",14
"('please', 'solve', 'problem')",3.0,"('video', 'call', 'quality')",13
"('bug', 'in', 'whatsap')",3.0,"('in', 'new', 'update')",13
"('please', 'help', 'fix')",3.0,"('screen', 'doe', 'not')",13
"('send', 'voice', 'note')",3.0,"('soon', 'possible', 'not')",13
"('send', 'picture', 'in')",3.0,"('voice', 'message', 'not')",13
"('fix', 'this', 'issue')",3.0,"('download', 'unable', 'complete')",12
"('this', 'issue', 'not')",3.0,"('not', 'send', 'message')",12
"('not', 'working', 'not')",3.0,"('solve', 'this', 'issue')",12
"('able', 'send', 'picture')",3.0,"('not', 'working', 'not')",12
"('fix', 'please', 'fix')",3.0,"('please', 'fix', 'problem')",12
"('issue', 'not', 'send')",3.0,"('this', 'soon', 'possible')",12
"('not', 'working', 'fix')",3.0,"('in', 'video', 'call')",11
"('problem', 'whatsap', 'not')",3.0,"('new', 'version', 'not')",11
"('sending', 'voice', 'note')",3.0,"('latest', 'update', 'not')",11
"('image', 'via', 'whatsap')",3.0,"('update', 'unable', 'send')",11
"('not', 'send', 'receive')",3.0,"('whatsit', 'doe', 'not')",11
"('soon', 'possible', 'thanks')",3.0,"('please', 'fix', 'bug')",11
"('whatap', 'creating', 'issue')",3.0,"('not', 'send', 'pic')",11
"('creating', 'issue', 'business')",3.0,"('please', 'solve', 'problem')",11
"('issue', 'business', 'run')",3.0,"('not', 'send', 'voice')",11
"('business', 'run', 'in')",3.0,"('see', 'friend', 'status')",11
"('run', 'in', 'nigeria')",3.0,"('not', 'update', 'status')",11
"('in', 'nigeria', 'college')",3.0,"('please', 'resolve', 'this')",11
"('nigeria', 'college', 'student')",3.0,"('unable', 'complete', 'please')",10
"('college', 'student', 'account')",3.0,"('complete', 'please', 'try')",10
"('account', 'banned', 'while')",3.0,"('please', 'try', 'later')",10
"('banned', 'while', 'completing')",3.0,"('phone', 'doe', 'not')",10
"('while', 'completing', 'school')",3.0,"('status', 'update', 'not')",10
"('not', 'reading', 'plea')",3.0,"('not', 'good', 'not')",10
,,"('in', 'this', 'application')",10
,,"('issue', 'soon', 'possible')",10
,,"('use', 'this', 'application')",10
,,"('not', 'work', 'properly')",10
,,"('not', 'send', 'receive')",10
,,"('send', 'picture', 'video')",10
,,"('not', 'send', 'video')",10
,,"('not', 'able', 'update')",10
,,"('fix', 'this', 'soon')",10
,,"('call', 'not', 'good')",10
,,"('picture', 'not', 'send')",10
,,"('fix', 'soon', 'possible')",9
,,"('unable', 'send', 'picture')",9
,,"('not', 'able', 'unload')",9
,,"('not', 'unload', 'status')",9
,,"('whats', 'application', 'not')",9
,,"('update', 'whatsit', 'not')",9
,,"('latest', 'version', 'whatsit')",9
,,"('whatsit', 'please', 'fix')",9
,,"('picture', 'in', 'picture')",9
,,"('muted', 'status', 'update')",9
,,"('new', 'update', 'bad')",9
,,"('not', 'like', 'this')",9
,,"('voice', 'video', 'call')",9
,,"('this', 'new', 'version')",9
,,"('this', 'problem', 'soon')",9
,,"('not', 'download', 'picture')",9
,,"('call', 'not', 'working')",9
,,"('whatsit', 'not', 'open')",8
,,"('please', 'fix', 'issue')",8
,,"('fix', 'this', 'not')",8
,,"('not', 'even', 'send')",8
,,"('not', 'able', 'use')",8
,,"('message', 'not', 'sent')",8
,,"('please', 'fix', 'soon')",8
,,"('whatsit', 'not', 'send')",8
,,"('because', 'this', 'application')",8
,,"('doe', 'not', 'allow')",8
,,"('problem', 'this', 'application')",8
,,"('this', 'application', 'doe')",8
,,"('problem', 'soon', 'possible')",8
,,"('whatsit', 'status', 'not')",8
,,"('install', 'this', 'application')",8
,,"('this', 'application', 'this')",8
,,"('doe', 'not', 'want')",8
,,"('application', 'please', 'fix')",8
,,"('whatsit', 'video', 'call')",8
,,"('not', 'working', 'please')",8
,,"('not', 'see', 'profile')",7
,,"('doe', 'not', 'send')",7
,,"('this', 'problem', 'not')",7
,,"('not', 'hear', 'voice')",7
,,"('not', 'working', 'in')",7
,,"('new', 'update', 'new')",7
,,"('update', 'bad', 'not')",7
,,"('status', 'please', 'fix')",7
,,"('not', 'work', 'in')",7
,,"('new', 'status', 'update')",7
,,"('application', 'video', 'call')",7
,,"('send', 'receive', 'message')",7
,,"('not', 'view', 'status')",7
,,"('could', 'not', 'send')",7
,,"('in', 'whats', 'application')",7
,,"('send', 'receive', 'picture')",7
,,"('new', 'update', 'doe')",7
,,"('send', 'photo', 'video')",7
,,"('hate', 'this', 'application')",7
,,"('profile', 'picture', 'not')",7
,,"('update', 'status', 'not')",7
,,"('this', 'application', 'good')",7
,,"('status', 'not', 'send')",7
,,"('like', 'this', 'application')",7
,,"('voice', 'call', 'not')",7
,,"('message', 'not', 'send')",7
,,"('this', 'update', 'not')",7
,,"('video', 'status', 'not')",7
,,"('message', 'please', 'fix')",7
,,"('not', 'good', 'application')",7
,,"('get', 'verification', 'code')",7
,,"('not', 'forward', 'message')",7
,,"('please', 'fix', 'whatsit')",6
,,"('update', 'new', 'version')",6
,,"('not', 'showing', 'in')",6
,,"('not', 'like', 'new')",6
,,"('time', 'this', 'application')",6
,,"('doe', 'not', 'let')",6
,,"('update', 'not', 'good')",6
,,"('whatsit', 'not', 'download')",6
,,"('send', 'voice', 'message')",6
,,"('new', 'version', 'whatsit')",6
,,"('update', 'new', 'update')",6
,,"('not', 'working', 'whatsit')",6
,,"('whatsit', 'not', 'opening')",6
,,"('send', 'picture', 'whatsit')",6
,,"('send', 'voice', 'note')",6
,,"('this', 'issue', 'soon')",6
,,"('application', 'not', 'send')",6
,,"('send', 'pic', 'video')",6
,,"('status', 'also', 'not')",6
,,"('update', 'not', 'working')",6
,,"('not', 'work', 'not')",6
,,"('last', 'update', 'unable')",6
,,"('doe', 'not', 'appear')",6
,,"('remove', 'muted', 'status')",6
,,"('in', 'voice', 'call')",6
,,"('not', 'open', 'in')",6
,,"('whatsit', 'not', 'responding')",6
,,"('update', 'not', 'see')",6
,,"('not', 'open', 'whatsit')",6
,,"('please', 'help', 'not')",6
,,"('still', 'not', 'working')",6
,,"('send', 'image', 'video')",6
,,"('video', 'not', 'playing')",6
,,"('message', 'not', 'sending')",6
,,"('working', 'properly', 'not')",6
,,"('update', 'this', 'update')",6
,,"('phone', 'please', 'fix')",6
,,"('this', 'not', 'working')",6
,,"('image', 'in', 'status')",6
,,"('not', 'send', 'medium')",6
,,"('not', 'install', 'this')",6
,,"('open', 'application', 'not')",6
,,"('not', 'unload', 'picture')",6
,,"('photo', 'video', 'not')",6
,,"('using', 'this', 'application')",6
,,"('not', 'get', 'message')",6
,,"('message', 'not', 'see')",6
,,"('not', 'see', 'video')",6
,,"('status', 'doe', 'not')",6
,,"('in', 'contact', 'list')",6
,,"('resolve', 'this', 'issue')",6
,,"('able', 'see', 'status')",6
,,"('message', 'not', 'working')",6
,,"('call', 'doe', 'not')",6
,,"('status', 'video', 'not')",6
,,"('unable', 'send', 'photo')",6
,,"('status', 'not', 'able')",6
,,"('doe', 'not', 'turn')",6
,,"('in', 'last', 'update')",5
,,"('please', 'look', 'into')",5
,,"('please', 'help', 'unable')",5
,,"('video', 'call', 'voice')",5
,,"('hear', 'voice', 'message')",5
,,"('doe', 'not', 'exist')",5
,,"('quality', 'not', 'good')",5
,,"('fix', 'this', 'please')",5
,,"('see', 'profile', 'picture')",5
,,"('show', 'typing', 'even')",5
,,"('even', 'person', 'not')",5
,,"('person', 'not', 'typing')",5
,,"('this', 'latest', 'update')",5
,,"('whatsit', 'call', 'not')",5
,,"('doe', 'not', 'come')",5
,,"('video', 'voice', 'call')",5
,,"('this', 'version', 'not')",5
,,"('update', 'profile', 'picture')",5
,,"('this', 'whatsit', 'not')",5
,,"('unload', 'status', 'not')",5
,,"('profile', 'picture', 'contact')",5
,,"('time', 'not', 'able')",5
,,"('whatsit', 'please', 'help')",5
,,"('having', 'problem', 'sending')",5
,,"('problem', 'sending', 'picture')",5
,,"('status', 'new', 'update')",5
,,"('while', 'video', 'call')",5
,,"('video', 'call', 'whatsit')",5
,,"('doe', 'not', 'wake')",5
,,"('video', 'please', 'fix')",5
,,"('unfortunately', 'whatsit', 'stopped')",5
,,"('not', 'make', 'call')",5
,,"('not', 'use', 'whatsit')",5
,,"('this', 'application', 'because')",5
,,"('status', 'not', 'unloading')",5
,,"('new', 'update', 'whatsit')",5
,,"('not', 'see', 'contact')",5
,,"('change', 'profile', 'picture')",5
,,"('verification', 'code', 'not')",5
,,"('open', 'this', 'application')",5
,,"('unable', 'send', 'medium')",5
,,"('new', 'update', 'status')",5
,,"('kindly', 'fix', 'this')",5
,,"('see', 'status', 'contact')",5
,,"('did', 'not', 'work')",5
,,"('horrible', 'security', 'feature')",5
,,"('whatsit', 'not', 'showing')",5
,,"('call', 'whatsit', 'not')",5
,,"('version', 'doe', 'not')",5
,,"('not', 'show', 'status')",5
,,"('not', 'get', 'notification')",5
