trigrams_tweets,frequency,trigrams_reviews,frequency_reviews
"('problem', 'whatsap', 'not')",4.0,"('please', 'fix', 'this')",100
"('whatsap', 'not', 'working')",3.0,"('not', 'send', 'message')",82
"('support', 'this', 'problem')",3.0,"('whatsit', 'not', 'working')",61
"('doe', 'not', 'work')",3.0,"('this', 'application', 'not')",56
"('not', 'use', 'whatsap')",3.0,"('not', 'working', 'properly')",51
"('problem', 'whatsap', 'account')",3.0,"('application', 'not', 'working')",47
"('please', 'solve', 'problem')",3.0,"('doe', 'not', 'work')",44
"('resolve', 'this', 'issue')",3.0,"('fix', 'this', 'issue')",36
"('not', 'working', 'in')",3.0,"('not', 'send', 'receive')",36
"('fix', 'please', 'whatsap')",3.0,"('video', 'call', 'not')",35
"('not', 'send', 'message')",3.0,"('send', 'receive', 'message')",34
,,"('not', 'working', 'not')",30
,,"('please', 'solve', 'this')",28
,,"('solve', 'this', 'problem')",27
,,"('new', 'update', 'not')",27
,,"('not', 'able', 'send')",26
,,"('fix', 'this', 'problem')",24
,,"('this', 'new', 'update')",21
,,"('application', 'doe', 'not')",21
,,"('fix', 'soon', 'possible')",21
,,"('message', 'not', 'send')",20
,,"('since', 'last', 'update')",19
,,"('this', 'application', 'this')",19
,,"('this', 'soon', 'possible')",19
,,"('message', 'please', 'fix')",17
,,"('application', 'this', 'application')",17
,,"('not', 'see', 'status')",17
,,"('in', 'new', 'update')",16
,,"('please', 'fix', 'soon')",16
,,"('whatsit', 'not', 'send')",16
,,"('update', 'this', 'application')",16
,,"('please', 'solve', 'problem')",16
,,"('not', 'use', 'whatsit')",15
,,"('fix', 'this', 'bug')",15
,,"('doe', 'not', 'show')",15
,,"('not', 'work', 'properly')",14
,,"('not', 'receive', 'message')",14
,,"('fix', 'this', 'soon')",14
,,"('whatsit', 'status', 'not')",14
,,"('not', 'get', 'message')",14
,,"('not', 'working', 'in')",14
,,"('update', 'not', 'good')",14
,,"('status', 'video', 'not')",13
,,"('issue', 'soon', 'possible')",13
,,"('receive', 'send', 'message')",13
,,"('soon', 'possible', 'not')",13
,,"('use', 'this', 'application')",13
,,"('this', 'update', 'not')",13
,,"('update', 'please', 'fix')",13
,,"('not', 'able', 'see')",13
,,"('new', 'update', 'suck')",13
,,"('whatsit', 'doe', 'not')",13
,,"('please', 'fix', 'whatsit')",13
,,"('please', 'fix', 'problem')",12
,,"('video', 'in', 'status')",12
,,"('solve', 'this', 'issue')",12
,,"('update', 'whatsit', 'not')",12
,,"('not', 'working', 'please')",12
,,"('fix', 'this', 'not')",12
,,"('whats', 'application', 'not')",12
,,"('problem', 'in', 'whatsit')",11
,,"('not', 'open', 'whatsit')",11
,,"('in', 'status', 'video')",11
,,"('status', 'video', 'sound')",11
,,"('status', 'not', 'working')",11
,,"('this', 'issue', 'soon')",11
,,"('update', 'not', 'send')",11
,,"('not', 'working', 'whatsit')",11
,,"('look', 'into', 'this')",11
,,"('please', 'help', 'not')",11
,,"('status', 'not', 'showing')",10
,,"('worst', 'application', 'ever')",10
,,"('in', 'this', 'application')",10
,,"('not', 'even', 'send')",10
,,"('love', 'this', 'application')",10
,,"('not', 'receive', 'send')",10
,,"('latest', 'update', 'not')",10
,,"('video', 'call', 'quality')",10
,,"('send', 'message', 'please')",10
