,tweet-id,timestamp,likes,replies,retweets,text
0,1097553534558572545,2019-02-18 17:48:48,0,0,0,abuser hi problem whatsapi reply anyone message get circle going round round stop use work fine i installed countless ti ames blocked any suggestion wrong
1,1097437985451192321,2019-02-18 10:09:39,0,0,0,abuser web whatsit worked day troubleshooting guideline solve problem help please
4,1091354724610170880,2019-02-01 15:16:57,0,0,0,abuser phone is banned using whatsit please help i trouble
5,1091193648144764928,2019-02-01 04:36:53,0,0,0,abuser my friend got hacked hacker locked u group asking help broken chinese i pictwitercomwzbujcsdk
8,1099011756729470977,2019-02-22 18:23:16,0,0,0,abuser whatsit working well voice call everything ok open loud speaker microphone respond hear close loud speaker problem video call
9,1098998020136329216,2019-02-22 17:28:41,0,0,0,abuser there bug application whats call declining automatically without connecting
12,1093159344051343361,2019-02-06 14:47:52,0,0,0,abuser seems like small bug status the ti are displayed status reset randomly start displaying pictwitercomvlwlqayfj
13,1093071728551608320,2019-02-06 08:59:43,0,0,0,abuser hi i problem watson
16,1091788452809658370,2019-02-02 20:00:26,0,0,0,abuser two new future added group admits perfect ability shut user see group type ability delete someone else message group someone said something bad admin delete
17,1091634438851694592,2019-02-02 09:48:26,0,0,0,abuser i view status co show application others view mine whats problem
20,1100145619920932864,2019-02-25 21:28:50,0,0,0,abuser jordan ayudarme recuperate mi cuesta phone x max la craon por error
21,1100040442853421056,2019-02-25 14:30:53,0,0,0,abuser please chat history backup soon possible bc important chat kind file whatsit please solve problem contact number
22,1100030981518573568,2019-02-25 13:53:18,0,0,0,congrats i problem
23,1099913036612157440,2019-02-25 06:04:37,0,0,0,abuser abuser this problem continuously coming within every day unable fix issue setting can please help issue backup issue whatsapictwitercomrjmfstp
28,1094243567990722560,2019-02-09 14:36:11,0,0,0,abuser i would like help reporting bug whatsit web account seems dormant how i contact
29,1094159316662345728,2019-02-09 09:01:24,0,0,0,abuser he find problem security two step verification one hack whatsit using numberafter hack enable two step verification install whatsit receive code phone number whats application asking two step verification code
30,1094126572695629824,2019-02-09 06:51:17,0,0,0,abuser solve multiple pic status unload bug i beta tester highlighted multiple ti ames pictwitercombjiolhqp
31,1094119653993996289,2019-02-09 06:23:47,0,0,0,abuser stupid move li smiting number people forward im sure next big application around corner im ready move fail justifying notbroken notify
36,1097019186679898112,2019-02-17 06:25:30,0,0,0,abuser your desktop ap cant play video totally broken past week wonder ceo left
37,1096976404489687040,2019-02-17 03:35:30,0,0,0,abuser phone number banned using whatsit resolve issue
38,1096931864177037313,2019-02-17 00:38:31,0,0,0,abuser need help whatsit open please fix bug i manually changed date august recharged phone date update automatic via network pictwitercomyekzyspugr
42,1100868192879210496,2019-02-27 21:20:04,0,0,0,abuser i hope put solution problem thank much
43,1100859213541199872,2019-02-27 20:44:24,0,0,0,abuser i need contact security problem previous account
44,1100817175584145415,2019-02-27 17:57:21,0,0,0,abuser hi bought new phone onerous t camera focusing issue whatsit when press screen focus get un focussed please help possible onerous t getting issue thanks
45,1100802672674947072,2019-02-27 16:59:43,0,0,0,abuser usually application update better i love whatsit main chat application i get share stuff contact since last update feb would fix
46,1100785227939672064,2019-02-27 15:50:24,0,0,0,abuser abuser i need clarity issue could someone dm please
47,1100711793305899014,2019-02-27 10:58:36,0,0,0,abuser hi whatsit my friend i group chat phone admin stolen backup get old message back get back group chat add new phone number is way fix
48,1100705520166481920,2019-02-27 10:33:40,0,1,0,abuser please fix bug quality video call camera android pie user got bug using nokia x also others type phone abuser abuser
49,1100446010160095233,2019-02-26 17:22:28,1,0,0,abuser i got blocked whatsit groupchat apparently enough groupchat bad name blocked permanently how my fault name creator groupchat choses please get touch unblock account
50,1100430724421873664,2019-02-26 16:21:44,0,0,0,hi problem sending archive via whatsit web get help
51,1100428016520491008,2019-02-26 16:10:58,1,0,0,abuser bad connection prefer telegram piece
52,1100392687960764416,2019-02-26 13:50:35,0,0,0,abuser hey guy could please clear contact sync issue mean super secret way get whatsit contact updated instantly mac phone added new entry contact data base thanks
53,1100342431608987649,2019-02-26 10:30:53,0,0,0,abuser please fix notification io opening one clear notification persistent
54,1100330527003820032,2019-02-26 09:43:35,0,0,0,abuser i problem number phone receive verification code
55,1100227307527069697,2019-02-26 02:53:26,0,0,0,abuser may help problem
56,1100222874844045312,2019-02-26 02:35:49,0,1,0,abuser abuser abuser abuser abuser abuser abuser abuser proof whatsit contact bug i wa account number all number using feature phone wa showing number wa account wa birthday pictwitercompadekosv
72,1092876669663232000,2019-02-05 20:04:37,0,0,0,abuser create block status option mute shit shitty i mean making lose contact i delete contact fuck phone dumb status update deserve wiped cheaply fix
73,1092872369079758848,2019-02-05 19:47:32,0,0,0,hi why i send message five contact number i think strong disadvantage addition suffering issue so please try make
74,1092872339103064064,2019-02-05 19:47:24,0,0,0,abuser hi why i send message five contact number i think strong disadvantage addition suffering issue so please try make
75,1092872114510708736,2019-02-05 19:46:31,0,0,0,hi why i send message five contact number i think strong disadvantage addition suffering issue so please try make
76,1092800731122462721,2019-02-05 15:02:52,0,0,0,abuser so dark enough prevent face would work properly able access whatsit till sun rise fail pictwitercomshslgj
77,1092695198121881600,2019-02-05 08:03:31,1,0,0,abuser bug annoying please resolve soon possible pictwitercomubpoxso
78,1092640793402126336,2019-02-05 04:27:20,0,0,0,abuser abuser abuser abuser what kind bug cause lot problem user please fix kind small bug asap pictwitercombnthlxrde
79,1092622127939743745,2019-02-05 03:13:09,0,0,0,abuser trying change number whatsit think canadian number united state number due common country term invalid proceed fan cover issue support ticket mail unanswered help nikitaganjreatuser
88,1095633873906614272,2019-02-13 10:40:46,0,0,0,abuser i problem profile i synchronize old number new number
90,1094006178244423681,2019-02-08 22:52:53,0,0,1,peace upon i would like inform problem happens spam call i ban work please help thank
91,1093997316954976256,2019-02-08 22:17:40,0,0,0,abuser blue tie even read problem application
92,1093915060441939968,2019-02-08 16:50:49,0,0,0,abuser kindly check problem i update whats pictwitercomrajrorheoy
93,1093753712361816064,2019-02-08 06:09:40,0,0,0,abuser feel like bug problem application tend freeze every yi are n also see video whatsit without freezing
94,1093646538369351680,2019-02-07 23:03:48,0,0,0,abuser possibility save medium chat seperate folder got folder k picture pure chaos please fix one pictwitercomolcobpba
95,1093610470525755393,2019-02-07 20:40:29,0,0,0,abuser sir reactivate whatsit number problem like picture please help pictwitercomvnjtdoz
96,1093601494442668033,2019-02-07 20:04:49,0,0,0,abuser status new way people communicate good bad see status silas
104,1094614078314577920,2019-02-10 15:08:27,0,0,0,abuser i problem i want play status story pause background audio get running solve issue samsung
106,1095391069636833287,2019-02-12 18:35:57,0,0,0,abuser whatsit problem it opening
107,1095385098009174016,2019-02-12 18:12:13,0,0,0,abuser crash consistently abuser whenever incoming video call bug
108,1095369878817685504,2019-02-12 17:11:44,0,0,0,abuser there another bug whats application bug sogeti ames wa showing non wa number wa number someone feature phone wa account number sogeti ames wa showing number wa number this happening every non wa number
109,1095366986182418432,2019-02-12 17:00:15,0,0,0,abuser there bug whats application a what ap group secure only admin im member admin group i posted group how possible i proof i develop application test bug different text
110,1095112336195575808,2019-02-12 00:08:21,0,0,0,abuser report bug found application
111,1095021414502023169,2019-02-11 18:07:04,0,0,0,abuser please help problem my account banned mistake i send spam one so please help problem my work stopped and i depressed pictwitercomiruatbhrw
112,1094980472826970112,2019-02-11 15:24:23,0,0,0,abuser whatsit account hacked how i fix
113,1094903350091345920,2019-02-11 10:17:55,0,0,0,abuser guy request kindly remove separation delete delete everyone state delete receiver instead everyone technology mishap bad illusion
114,1094895254845751296,2019-02-11 09:45:45,0,0,0,abuser im sugarcoating im sorry language new rolling eye emosi suck it suck bad
124,1092555259715772416,2019-02-04 22:47:27,0,0,0,abuser implement dark mode feature fix desktop notification work window
125,1092467305353629698,2019-02-04 16:57:57,1,0,1,abuser hearing audio message pri mary speaker mobile i shift ear speaker loud speaker shifting loud speaker biggest bug im facing phone poof whatsit
126,1092440188494774276,2019-02-04 15:10:12,1,0,0,abuser fix emosi bug new apple phone update pictwitercomyohdksxzu
127,1092359021632331776,2019-02-04 09:47:40,0,0,0,abuser i issue i mailed support mailed back generic response help i get actual help please pictwitercomzkmzqry
128,1092269085302419456,2019-02-04 03:50:17,0,0,0,abuser se si alien ma le sucked nome permit instalarwhatsap dice que tien un error nadalodesinstalo travel aura alien
129,1092097726630772736,2019-02-03 16:29:22,0,1,1,abuser i many people facing bad service whatsapwe biggest problem whatsit send photo document anyone whatsit then receiver receives photo document receipt original size
130,1092066865025859586,2019-02-03 14:26:44,0,0,0,abuser latest whatsapl business installed got error
131,1092049941185290242,2019-02-03 13:19:29,0,0,0,abuser sir receive sm phone call verification code purpose want know problem side sim problem
132,1092003888545386497,2019-02-03 10:16:30,1,0,0,abuser i found bug whatsit when i deleted status whatsit status seen fund account after problem i uninstaled whatsit problem solved bakwastausoption whatsnew
133,1092001442486018049,2019-02-03 10:06:46,0,0,0,abuser there bug deleted message someone reply message deleted deleted message still shown reply body
134,1091964319208820736,2019-02-03 07:39:16,0,0,0,abuser bug just noticed apparently testing team expect the ti are stamp levelled mixing emosi text pictwitercompxewjyhqt
135,1091936172111286272,2019-02-03 05:47:25,0,0,0,abuser whatsit block problem important
136,1091917242386640897,2019-02-03 04:32:12,0,0,0,abuser day counting you need address issue since clearly anomaly ill abuser daily basis provided sufficient response a explains intentionalmishap b clearly state course action you take
137,1091853952856084481,2019-02-03 00:20:42,0,0,0,my whatsit number blocked please solve problem
152,1099604246654345216,2019-02-24 09:37:36,0,0,0,abuser need make new version whatsit night mode optionmost u gat bad eye thank
153,1099321110540283904,2019-02-23 14:52:31,0,1,0,abuser hey sure i one facing issue am unable send receive message today noon device onerous t anyone facing issue whatsit
156,1096850739639443456,2019-02-16 19:16:09,0,0,0,abuser i beta tester screenshot issue if i go back ongoing video call screen stop take touch input i assume started happening last update pictwitercomfqewjkol
157,1096707798883278849,2019-02-16 09:48:09,0,0,0,abuser the last update bad i forward message person i hope restore previous system
158,1096487856292409345,2019-02-15 19:14:11,0,0,0,abuser fix application
159,1096449582618238977,2019-02-15 16:42:06,0,0,0,abuser bug report android want share picture add caption emosi last character caption press send post disappears get sent
160,1096394314182123520,2019-02-15 13:02:29,0,0,0,abuser unable make video call whtsap despite fast internet connection can fix problem please
161,1096336188783222784,2019-02-15 09:11:31,0,1,0,abuser number working since day i installed uninstaled ti ames please see account problem asap if kind big social webster work like wat done
162,1096279642229690368,2019-02-15 05:26:49,0,0,0,abuser hello problem whatsit open application say account suspended help please
170,1098334585056825346,2019-02-20 21:32:25,0,1,1,abuser this couldnt bad would
171,1098334314566160387,2019-02-20 21:31:21,0,0,0,abuser i bought new number i found whatsit account banned problem i contact whatsit support i received automatic answer problem solve pictwitercomisybhxbj
172,1098212119126913026,2019-02-20 13:25:47,0,0,0,abuser abuser number got blocked whatsit inside joke friend i group name can someone please help resolve issue i get anything automated reply whatsit support
173,1098198407779299333,2019-02-20 12:31:18,0,0,0,abuser bug aps it crashing i click emotion left chat box unable download photo kept saying internal memory full not this one major issue
174,1098194761217949696,2019-02-20 12:16:49,0,0,0,abuser issue jpeg file it used many program downloaded whatsit web i open file paint resale
175,1098160216032583680,2019-02-20 09:59:32,0,0,0,abuser phone broken new one different number use number get whatsit phone
176,1097921958551916544,2019-02-19 18:12:47,0,0,0,abuser i discovered programming error whatsit
177,1097884964060827649,2019-02-19 15:45:47,0,0,0,buenas uv un error bloquearon del whatsit por que yo tango bono mi cell sued compare otto chip
178,1097791075937329152,2019-02-19 09:32:43,0,0,0,abuser way login web application without qr code my camera broken i mean guy anything manually help
179,1097777457212678149,2019-02-19 08:38:36,0,0,0,i issue i read message chrome browser
180,1097673765939367936,2019-02-19 01:46:34,0,0,0,abuser phone broke longer access phone phone number i use whatsit account new phone
192,1098719326167855104,2019-02-21 23:01:15,0,0,0,abuser hello id like report issue i receive audio message i hear audio ear when i put phone ear audio stopped
193,1098711026038722560,2019-02-21 22:28:16,0,0,0,abuser land en la ltd ala horn una actualization que solution el bug que permit altar el bloqueo con face id touch id
