level_0,index,Unnamed: 0,Bug_report,appTitle,bug_report,comment,date,id,original_text,score,text,userName,Unnamed: 12,Unnamed: 13,topic_distribution
0,262908,245316,1,Whatsapp,,"['make', 'application', 'run', 'mobile', 'may', 'update', 'fast']",2019-02-15,7,Make this app to run in my mobile and may the update fast,1,make this application to run in my mobile and may the update fast,Umar Khan,,,"[0.02597402597402598, 0.027994227994228, 0.02597402597402598, 0.03405483405483406, 0.02597402597402598, 0.03405483405483406, 0.02597402597402598, 0.02597402597402598, 0.030014430014430025, 0.02597402597402598, 0.02597402597402598, 0.02597402597402598, 0.02597402597402598, 0.030014430014430018, 0.03405483405483406, 0.02597402597402598, 0.02597402597402598, 0.03607503607503608, 0.02597402597402598, 0.02597402597402598, 0.02597402597402598, 0.02597402597402598, 0.02597402597402598, 0.02597402597402598, 0.02597402597402598, 0.027994227994228, 0.02597402597402598, 0.030014430014430025, 0.030014430014430018, 0.02597402597402598, 0.04415584415584417, 0.04011544011544011, 0.02597402597402598, 0.02597402597402598, 0.030014430014430025]"
1,262911,245319,1,Whatsapp,,"['problem', 'need', 'install']",2019-02-13,14,WhatsApp has a problem and need to be install again,1,whatsit has a problem and need to be install again,FahimSK324 Raceez,,,"[0.02857142857142859, 0.02857142857142859, 0.02857142857142859, 0.02857142857142859, 0.02857142857142859, 0.02857142857142859, 0.02857142857142859, 0.02857142857142859, 0.02857142857142859, 0.02857142857142859, 0.02857142857142859, 0.02857142857142859, 0.02857142857142859, 0.02857142857142859, 0.02857142857142859, 0.02857142857142859, 0.02857142857142859, 0.02857142857142859, 0.02857142857142859, 0.02857142857142859, 0.02857142857142859, 0.02857142857142859, 0.02857142857142859, 0.02857142857142859, 0.02857142857142859, 0.02857142857142859, 0.02857142857142859, 0.02857142857142859, 0.02857142857142859, 0.02857142857142859, 0.02857142857142859, 0.02857142857142859, 0.02857142857142859, 0.02857142857142859, 0.02857142857142859]"
2,262919,245327,1,Whatsapp,,"['file', 'pick', 'not', 'photo']",2019-02-12,25,the file you picked was not a photo,5,the file you picked was not a photo,,,,"[0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.03743635819107517, 0.026954177897574122, 0.026954177897574122, 0.02905061395627433, 0.026954177897574122, 0.026954177897574122, 0.041629230308475595, 0.026954177897574122, 0.026954177897574122, 0.029050613956274333, 0.03953279424977538, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.04162923030847558, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122]"
3,262927,245335,1,Whatsapp,,"['last', 'day', 'update', 'mb', 'update', 'description']",2019-02-09,43,"for last 4 days i am updating 18 mb update for same discription 🙄,??",2,for last day i am updating mb update for same description,Jaikumar Kanojiya,,,"[0.04733560090702945, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.041383219954648505, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.0294784580498866, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.03939909297052152, 0.025510204081632633, 0.03543083900226754, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.0294784580498866, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.061224489795918345, 0.025510204081632633, 0.027494331065759617, 0.025510204081632633, 0.025510204081632633]"
4,262933,245341,1,Whatsapp,,"['tap', 'not', 'working_properly', 'not', 'able', 'send', 'receive', 'message', 'also', 'not', 'work', 'tap', 'web', 'show', 'error', 'connect', 'internet', 'check', 'wid', 'internet_connection', 'speed', 'test', 'also', 'good', 'application', 'work', 'fine', 'yesterday', 'do', 'tap', 'update', 'dts', 'face', 'dis', 'type', 'issue', 'older_version', 'be', 'work', 'perfectly', 'do', 'something', 'release', 'new', 'update', 'tap', 'read', 'review', 'also', 'lose', 'people', 'say', 'new', 'update', 'not', 'work', 'instal', 'deinstall', 'tap', 'application']",2019-02-15,59,my wtsapp not working properly... m not able to send or receive any msg... also not working wtsapp web showing error connect to Internet.. i check wid all Internet connection.. speed test also good all app working fine all.. yesterday i did wtsapp update dts y m facing dis type of issue.. older version is working perfectly. do something .. release new update of wtsapp.. i read other reviews also lost of people saying new update not working they uninstall nd reinstall wtsapp app :(,1,my tap not working properly m not able to send or receive any message also not working tap web showing error connect to internet i check wid all internet connection speed test also good all application working fine all yesterday i did tap update dts why m facing dis type of issue older version is working perfectly do something release new update of tap i read other review also lost of people saying new update not working they instal nd deinstall tap application,Amit Makwana,,,"[0.014727540500736377, 0.04680085092456227, 0.03992799869088529, 0.015873015873015872, 0.01930944198985436, 0.07200130911471118, 0.03763704794632631, 0.015873015873015872, 0.021600392734413356, 0.02503681885125184, 0.014727540500736377, 0.02618229422353134, 0.015873015873015872, 0.04221894943544429, 0.08574701358206513, 0.030764195712649326, 0.014727540500736377, 0.03534609720176732, 0.015873015873015872, 0.025036818851251835, 0.015873015873015872, 0.02389134347897235, 0.015873015873015872, 0.018163966617574866, 0.027327769595810836, 0.014727540500736377, 0.017018491245295368, 0.029618720340369827, 0.03190967108492882, 0.015873015873015872, 0.059401080019636725, 0.05023727704140076, 0.022745868106692855, 0.014727540500736377, 0.027327769595810836]"
5,262937,245345,1,Whatsapp,,"['have', 'love', 'year', 'use', 'give', 'star', 'late', 'update', 'not', 'happy', 'profile', 'photo', 'assign', 'user', 'go', 'user', 'doe', 'not', 'have', 'profile', 'photo', 'see', 'blank', 'circle', 'bueno', 'put', 'option', 'back']",2019-02-08,63,"2/8/19 I have loved WhatsApp for years and used to give 5 stars. Now after latest update I am not happy because the profile photos I had assigned to users are gone!! If the user does not have a profile photo, now I just see a blank circle!!! No bueno!! Please put this option back in.",3,i have loved whatsit for year and used to give star now after latest update i am not happy because the profile photo i had assigned to user are gone if the user doe not have a profile photo now i just see a blank circle no buenos please put this option back in,Marina N,,,"[0.02012072434607646, 0.07332886206125644, 0.023250614799910575, 0.021685669572993515, 0.02012072434607646, 0.02481556002682763, 0.02012072434607646, 0.023250614799910575, 0.027945450480661747, 0.02168566957299352, 0.02012072434607646, 0.02168566957299352, 0.023250614799910575, 0.02012072434607646, 0.02012072434607646, 0.03264028616141292, 0.031075340934495856, 0.04515984797674939, 0.023250614799910575, 0.024815560026827634, 0.02012072434607646, 0.02012072434607646, 0.021685669572993515, 0.04828973843058351, 0.02012072434607646, 0.031075340934495856, 0.02012072434607646, 0.04672479320366645, 0.031075340934495856, 0.029510395707578803, 0.060809300245919976, 0.02012072434607646, 0.021685669572993515, 0.04828973843058351, 0.021685669572993515]"
6,262940,245348,1,Whatsapp,,"['do', 'view', 'file', 'get', 'automatically', 'download', 'device', 'have', 'auto', 'download', 'turn', 'able', 'view', 'image', 'have', 'image', 'store', 'automatically', 'device', 'also', 'be', 'option', 'long', 'press', 'chat', 'bubble', 'place', 'emosi', 'thumb', 'heart']",2019-02-18,66,"Why do viewed files get automatically downloaded onto your device? Yes, I have auto download turned off. You should be able to view an image without having it stored automatically on your device. Also, there is no option to long press a chat bubble and place an emoji on it. ie a thumbs up or a heart etc.",2,why do viewed file get automatically downloaded onto your device yes i have auto download turned off you should be able to view an image without having an image stored automatically on your device also there is no option to long press a chat bubble and place an emosi on it ie a thumb up or a heart etc,Keith H,,,"[0.020408163265306128, 0.03151927437641725, 0.023582766439909305, 0.03310657596371884, 0.06326530612244902, 0.020408163265306128, 0.020408163265306128, 0.028344671201814074, 0.020408163265306128, 0.020408163265306128, 0.023582766439909305, 0.034693877551020415, 0.020408163265306128, 0.021995464852607716, 0.020408163265306128, 0.02199546485260772, 0.03151927437641725, 0.020408163265306128, 0.020408163265306128, 0.04580498866213155, 0.03151927437641724, 0.020408163265306128, 0.02675736961451248, 0.07755102040816331, 0.029931972789115663, 0.020408163265306128, 0.020408163265306128, 0.02199546485260772, 0.020408163265306128, 0.020408163265306128, 0.042630385487528365, 0.03151927437641725, 0.025170068027210894, 0.0235827664399093, 0.04421768707482996]"
7,262942,245350,1,Whatsapp,,"['be', 'get', 'slow', 'slow', 'update', 'guy', 'not', 'handle', 'large', 'number', 'user', 'not', 'have', 'promote', 'application', 'much', 'even', 'simple', 'text', 'message', 'be', 'not', 'send', 'speed', 'kb', 'many', 'time', 'have', 'wait', 'long', 'connect', 'come', 'onlineand', 'problem', 'be', 'get', 'bad']",2019-02-11,69,Whatsapp is getting slower and slower with each and every update.... If you guys cannot handle a large number of users then you shouldn't have promoted your app so much.... Even a simple text msg is not sent on the speed of 200 kb/s many times... I have to wait so long for it to connect and to come online...And this problem is getting worse.,1,whatsit is getting slower and slower with each and every update if you guy can not handle a large number of user then you should not have promoted your application so much even a simple text message is not sent on the speed of kb many time i have to wait so long for it to connect and to come onlineand this problem is getting worse,Shivangi Jain,,,"[0.030899470899470895, 0.024973544973544978, 0.020529100529100532, 0.02201058201058201, 0.022010582010582015, 0.022010582010582015, 0.01904761904761905, 0.01904761904761905, 0.01904761904761905, 0.01904761904761905, 0.020529100529100532, 0.020529100529100532, 0.02645502645502646, 0.01904761904761905, 0.059047619047619064, 0.022010582010582015, 0.01904761904761905, 0.03238095238095239, 0.041269841269841276, 0.01904761904761905, 0.01904761904761905, 0.01904761904761905, 0.030899470899470906, 0.060529100529100544, 0.01904761904761905, 0.02497354497354498, 0.01904761904761905, 0.024973544973544978, 0.047195767195767215, 0.01904761904761905, 0.04571428571428573, 0.060529100529100544, 0.01904761904761905, 0.030899470899470906, 0.06201058201058203]"
8,262943,245351,1,Whatsapp,,"['profile', 'image', 'contact', 'time', 'able', 'put', 'image', 'contact', 'profile', 'do', 'not', 'understand', 'taken_away', 'would', 'nice', 'put', 'image', 'contact', 'instead', 'see', 'blank', 'profile', 'sort', 'update', 'be', 'extremely', 'poor']",2019-02-08,70,"Profile or Images to contacts:- Once upon a time you were able to put images to contacts that had no profile, so I dont understand why WhatsApp has taken that away. It would be nice to put images to the contacts instead of seeing blank profiles. PLEASE SORT THAT OUT.......... Update is extremely POOR....",2,profile or image to contact once upon a time you were able to put image to contact that had no profile so i do not understand why whatsit has taken that away it would be nice to put image to the contact instead of seeing blank profile please sort that out update is extremely poor,David Mitchell,,,"[0.019841269841269833, 0.08928571428571427, 0.019841269841269833, 0.019841269841269833, 0.07076719576719576, 0.019841269841269833, 0.019841269841269833, 0.019841269841269833, 0.019841269841269833, 0.019841269841269833, 0.019841269841269833, 0.019841269841269833, 0.04916225749559083, 0.022927689594356256, 0.03218694885361551, 0.047619047619047616, 0.019841269841269833, 0.03373015873015872, 0.029100529100529092, 0.024470899470899466, 0.019841269841269833, 0.019841269841269833, 0.019841269841269833, 0.019841269841269833, 0.021384479717813046, 0.03218694885361551, 0.019841269841269833, 0.019841269841269833, 0.019841269841269833, 0.021384479717813046, 0.03373015873015872, 0.02910052910052909, 0.019841269841269833, 0.06613756613756613, 0.019841269841269833]"
9,262944,245352,1,Whatsapp,,"['crash', 'twice', 'month', 'time', 'chat', 'go', 'problem', 'be', 'do', 'not', 'do', 'anything', 'error', 'message', 'pop', 'say', 'be', 'something', 'wrong', 'chat', 'history', 'lose', 'important', 'work', 'be', 'bad', 'not', 'expect', 'do', 'backup', 'every_single', 'day']",2019-02-10,71,My WhatsApp crash twice in less than 2 months time... All my chats are gone. Problem is I didn't do anything. An error message just pop up and say there's something wrong with my chats history. I lost all my important work chats. This is bad. You can't expect me to do backup every single day.,1,my whatsit crash twice in le than month time all my chat are gone problem is i did not do anything an error message just pop up and say there is something wrong with my chat history i lost all my important work chat this is bad you can not expect me to do backup every single day,Sharleen Phang,,,"[0.043248217161260635, 0.02553485162180814, 0.020703933747412, 0.020703933747412, 0.020703933747412, 0.020703933747412, 0.020703933747412, 0.020703933747412, 0.020703933747412, 0.022314239705544046, 0.020703933747412, 0.02714515757994018, 0.022314239705544046, 0.030365769496204276, 0.10282953761214629, 0.020703933747412, 0.027145157579940186, 0.025534851621808137, 0.030365769496204276, 0.03197607545433632, 0.020703933747412, 0.02714515757994018, 0.03519668737060041, 0.02714515757994018, 0.030365769496204262, 0.0351966873706004, 0.02392454566367609, 0.02553485162180814, 0.03519668737060041, 0.036806993328732454, 0.020703933747412, 0.03358638141246836, 0.03197607545433632, 0.020703933747412, 0.020703933747412]"
