level_0,index,Unnamed: 0,Bug_report,appTitle,bug_report,comment,date,id,original_text,score,text,userName,Unnamed: 12,Unnamed: 13,topic_distribution
0,95627,78035,1,Whatsapp,,"['be', 'nd', 'mobile', 'not', 'connect', 'call', 'video', 'call', 'say', 'connect', 'doe', 'connect', 'try', 'delete', 'apa', 'case', 'conflict', 'bit', 'do', 'not', 'seem', 'find', 'could', 'help']",2019-03-08,66310,this is the 2nd mobile who just can't connect while calling or video calling. it says connecting and it doesnt connect. i tried to delete some other Appa incase of a conflict bit don't seem to find out why. could u help?,3,this is the nd mobile who just can not connect while calling or video calling this say connecting and this doe connect i tried to delete some other apa in case of a conflict bit do not seem to find out why could you help,,,,"[0.022980336413172237, 0.022980336413172237, 0.021321961620469086, 0.021321961620469086, 0.021321961620469086, 0.03293058516939114, 0.022980336413172237, 0.02298033641317224, 0.021321961620469086, 0.034588959962094296, 0.03624733475479745, 0.021321961620469086, 0.027955460791281698, 0.021321961620469086, 0.021321961620469086, 0.021321961620469086, 0.021321961620469086, 0.021321961620469086, 0.021321961620469086, 0.02298033641317224, 0.08765695332859515, 0.021321961620469086, 0.02298033641317224, 0.021321961620469086, 0.021321961620469086, 0.06112295664534473, 0.021321961620469086, 0.021321961620469086, 0.024638711205875387, 0.05117270788912582, 0.034588959962094296, 0.021321961620469086, 0.021321961620469086, 0.05117270788912582, 0.03624733475479745]"
1,95628,78036,1,Whatsapp,,"['be', 'fine', 'application', 'stop', 'sometimes', 'create', 'difficulty']",2019-03-02,66311,"it is a fine app.. but it stop sometimes, it create some difficulties.",3,it is a fine application but it stop sometimes it create some difficulty,,,,"[0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.03533992213237496, 0.026954177897574122, 0.037436358191075166, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.04582210242587602, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.04582210242587602, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122]"
2,95631,78039,1,Whatsapp,,"['compare', 'android', 'be', 'device', 'not', 'share', 'file', 'android', 'email', 'not', 'forward', 'medium', 'contact', 'do', 'not', 'make', 'secure', 'application', 'transfer', 'chat', 'back', 'io', 'android', 'be', 'reverse']",2019-03-01,66314,no compare between WhatsApp of ios and WhatsApp of android's devices 1- i can't share two files from my WhatsApp to email only one . 2- i can't forward a WhatsApp media to more than five contacts. 3- they did not make any secure app to transfer chat back up from ios to android's and reverse,2,no compare between whatsit of io and whatsit of android is device i can not share two file from whatsit of android to email only one i can not forward a whatsit medium to more than five contact they did not make any secure application to transfer chat back up from io to android is and reverse,Basheer Coo,,,"[0.023419203747072598, 0.03981264637002342, 0.02888368462138954, 0.025240697371844912, 0.037991152745251104, 0.03434816549570648, 0.023419203747072598, 0.025240697371844912, 0.023419203747072598, 0.023419203747072598, 0.023419203747072598, 0.03616965912047879, 0.03616965912047879, 0.023419203747072598, 0.023419203747072598, 0.023419203747072598, 0.03252667187093417, 0.023419203747072598, 0.023419203747072598, 0.023419203747072598, 0.023419203747072598, 0.025240697371844915, 0.023419203747072598, 0.03981264637002342, 0.023419203747072598, 0.023419203747072598, 0.023419203747072598, 0.025240697371844912, 0.023419203747072598, 0.07077803799115277, 0.023419203747072598, 0.023419203747072598, 0.025240697371844912, 0.048920114493885, 0.023419203747072598]"
3,95632,78040,1,Whatsapp,,"['message', 'ianthe', 'message', 'share', 'contact', 'fix', 'problem']",2019-03-04,66315,"The message can,t be shared up to five contacts. Please fix this problem.",1,the message ianthe message be shared up to five contact please fix this problem,,,,"[0.02695417789757413, 0.045822102425876025, 0.03533992213237497, 0.02695417789757413, 0.02695417789757413, 0.03743635819107518, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.031147050014974552, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.04162923030847561, 0.02695417789757413]"
4,95633,78041,1,Whatsapp,,"['update', 'be', 'totally', 'waste', 'message', 'send', 'delay', 'min', 'really', 'irritate', 'do', 'something']",2019-03-04,66316,update is totally waste ... now my messages are sending with a delay of. 5 min. really irritating... pls do something with this.,1,update is totally waste now my message are sending with a delay of min really irritating please do something with this,bala selvam,,,"[0.03344671201814062, 0.04336734693877555, 0.02551020408163267, 0.02551020408163267, 0.02749433106575966, 0.02551020408163267, 0.02551020408163267, 0.02749433106575966, 0.02551020408163267, 0.02551020408163267, 0.02551020408163267, 0.02551020408163267, 0.04336734693877555, 0.02551020408163267, 0.02551020408163267, 0.02551020408163267, 0.02551020408163267, 0.059240362811791444, 0.02551020408163267, 0.02551020408163267, 0.02551020408163267, 0.02551020408163267, 0.029478458049886646, 0.02551020408163267, 0.02551020408163267, 0.02551020408163267, 0.02551020408163267, 0.02551020408163267, 0.02551020408163267, 0.02551020408163267, 0.02551020408163267, 0.02749433106575966, 0.02551020408163267, 0.045351473922902535, 0.02551020408163267]"
5,95637,78045,1,Whatsapp,,"['blue_tick', 'not', 'appear', 'device', 'application', 'last', 'update', 'see', 'device', 'application']",2019-03-08,66320,the blue ticks are not appearing in my device app in last update so please see over it..,5,the blue tick are not appearing in my device application in last update so please see over my device application,Deepak Devikar,,,"[0.024213075060532687, 0.0392789884315308, 0.024213075060532687, 0.024213075060532687, 0.024213075060532687, 0.024213075060532687, 0.024213075060532687, 0.024213075060532687, 0.024213075060532687, 0.027979553403282217, 0.024213075060532687, 0.024213075060532687, 0.024213075060532687, 0.024213075060532687, 0.024213075060532687, 0.024213075060532687, 0.024213075060532687, 0.041162227602905575, 0.024213075060532687, 0.024213075060532687, 0.024213075060532687, 0.0449287059456551, 0.024213075060532687, 0.07694377185902611, 0.024213075060532687, 0.024213075060532687, 0.03739574926015604, 0.024213075060532687, 0.024213075060532687, 0.037395749260156035, 0.024213075060532687, 0.041162227602905575, 0.024213075060532687, 0.024213075060532687, 0.024213075060532687]"
6,95638,78046,1,Whatsapp,,"['phone', 'suddenly', 'not', 'download', 'voice', 'record', 'picture', 'video', 'everytime', 'download', 'everything', 'say', 'download', 'unable', 'complete', 'try', 'later', 'keep', 'click', 'retry', 'still', 'need', 'help']",2019-03-09,66321,"my phone suddenly cant download voice records pitcure and video . everytime i download everything above , it will says ""the download was unable to complete . please try again later"" i kept on clicking ""retry"" but still the same . i need help .",2,my phone suddenly can not download voice record picture and video everytime i download everything above it will say the download was unable to complete please try again later i kept on clicking retry but still the same i need help,Nurul Amira,,,"[0.021321961620469086, 0.02463871120587539, 0.021321961620469086, 0.026297085998578544, 0.021321961620469086, 0.031272210376688, 0.03624733475479746, 0.021321961620469086, 0.022980336413172243, 0.0345889599620943, 0.05780620705993843, 0.022980336413172243, 0.03293058516939114, 0.022980336413172243, 0.03293058516939115, 0.021321961620469086, 0.021321961620469086, 0.0345889599620943, 0.021321961620469086, 0.026297085998578544, 0.03624733475479746, 0.021321961620469086, 0.021321961620469086, 0.021321961620469086, 0.031272210376688, 0.021321961620469086, 0.021321961620469086, 0.021321961620469086, 0.0412224591329069, 0.06941483060886049, 0.021321961620469086, 0.0345889599620943, 0.021321961620469086, 0.03956408434020376, 0.021321961620469086]"
7,95640,78048,1,Whatsapp,,"['not', 'see', 'profile', 'photo', 'last', 'see', 'specific', 'people', 'specially', 'frequently', 'contact', 'almost', 'argue', 'maybe', 'block', 'application', 'be', 'problemplease', 'fix']",2019-03-06,66324,I cannot see profile photo and last seen of specific people specially the most frequently contacted.. i almost argued maybe i was blocked but its this App's problem...PLEASE FIX THIS,1,i can not see profile photo and last seen of specific people specially the most frequently contacted i almost argued maybe i was blocked but its this application is problemplease fix this,,,,"[0.021645021645021637, 0.0452140452140452, 0.025012025012025006, 0.021645021645021637, 0.02332852332852332, 0.041847041847041834, 0.021645021645021637, 0.021645021645021637, 0.041847041847041834, 0.02332852332852332, 0.021645021645021637, 0.021645021645021637, 0.021645021645021637, 0.023328523328523323, 0.02332852332852332, 0.036796536796536786, 0.021645021645021637, 0.051948051948051945, 0.03174603174603174, 0.021645021645021637, 0.021645021645021637, 0.03342953342953343, 0.021645021645021637, 0.048581048581048586, 0.021645021645021637, 0.04353054353054351, 0.021645021645021637, 0.021645021645021637, 0.030062530062530058, 0.03342953342953342, 0.021645021645021637, 0.02332852332852332, 0.021645021645021637, 0.051948051948051945, 0.021645021645021637]"
8,95641,78049,1,Whatsapp,,"['auto', 'delete', 'be', 'possible', 'mobile', 'mobile', 'use', 'month', 'application', 'auto', 'delete', 'not', 'give', 'star']",2019-03-04,66325,auto deleted how it is posible on my mobile we use this 6 or 7month after the app auto deleted so I will not give it star,1,auto deleted how it is possible on my mobile my mobile use this or month after the application auto deleted so i will not give it star,,,,"[0.023419203747072594, 0.025240697371844905, 0.023419203747072594, 0.023419203747072594, 0.023419203747072594, 0.023419203747072594, 0.023419203747072594, 0.023419203747072594, 0.02524069737184491, 0.03616965912047879, 0.023419203747072594, 0.023419203747072594, 0.023419203747072594, 0.023419203747072594, 0.023419203747072594, 0.023419203747072594, 0.023419203747072594, 0.023419203747072594, 0.023419203747072594, 0.023419203747072594, 0.05256310174342962, 0.028883684621389533, 0.02524069737184491, 0.0634920634920635, 0.025240697371844905, 0.023419203747072594, 0.023419203747072594, 0.023419203747072594, 0.023419203747072594, 0.034348165495706476, 0.023419203747072594, 0.023419203747072594, 0.025240697371844905, 0.09627894873796512, 0.023419203747072594]"
9,95642,78050,1,Whatsapp,,"['unload', 'picture', 'status', 'be', 'application', 'be', 'randomly', 'fault', 'browse', 'recent', 'image', 'actually', 'feature', 'big', 'application', 'unload', 'picture', 'status', 'gallery', 'file_manager', 'least', 'be', 'application', 'status', 'tab', 'take', 'gallery', 'select', 'image', 'unload', 'status']",2019-03-06,66326,in uploading a picture as status what's app is randomly faulting to browse recent images ... actually there should be a feature in such a biggest app to upload a picture as status from gallery and file manager itself ... Or at least through what's app status tab it should take us to gallery to select images to upload as status ...,2,in unloading a picture a status what is application is randomly faulting to browse recent image actually there should be a feature in such a biggest application to unload a picture a status from gallery and file manager itself or at least through what is application status tab it should take u to gallery to select image to unload a status,,,,"[0.029030910609857973, 0.02172096908939014, 0.06265664160401004, 0.027568922305764403, 0.029030910609857984, 0.018796992481203006, 0.024644945697577275, 0.018796992481203006, 0.018796992481203006, 0.018796992481203006, 0.02172096908939014, 0.018796992481203006, 0.030492898913951547, 0.052422723475355065, 0.02318295739348371, 0.020258980785296574, 0.02172096908939014, 0.018796992481203006, 0.072890559732665, 0.033416875522138685, 0.020258980785296577, 0.02172096908939014, 0.018796992481203006, 0.0597326649958229, 0.018796992481203006, 0.04072681704260653, 0.020258980785296574, 0.018796992481203006, 0.029030910609857984, 0.018796992481203006, 0.020258980785296574, 0.020258980785296577, 0.018796992481203006, 0.07142857142857144, 0.018796992481203006]"
