Keywords_tweets,weights_tweets,Keywords_reviews,weights_reviews
"['application', 'people', 'receive', 'dark', 'mode', 'check', 'resolve', 'late', 'regard', 'color']","[0.222, 0.071, 0.061, 0.051, 0.045, 0.045, 0.04, 0.035, 0.025, 0.01]","['fix', 'version', 'bug', 'soon_possible', 'security', 'space', 'latest_version', 'watson', 'request', 'find']","[0.127, 0.125, 0.089, 0.064, 0.047, 0.032, 0.03, 0.03, 0.029, 0.027]"
"['issue', 'face', 'hour', 'datum', 'wait', 'reinstall', 'turn', 'month', 'fail', 'important']","[0.255, 0.103, 0.043, 0.033, 0.027, 0.022, 0.022, 0.022, 0.022, 0.016]","['time', 'thing', 'waste', 'long', 'messenger', 'ap', 'stop', 'month', 'trouble', 'single']","[0.333, 0.047, 0.038, 0.038, 0.03, 0.024, 0.021, 0.017, 0.017, 0.017]"
"['problem', 'time', 'show', 'account', 'big', 'discover', 'address', 'lift', 'march', 'head']","[0.355, 0.145, 0.099, 0.052, 0.017, 0.012, 0.012, 0.012, 0.012, 0.012]","['issue', 'please_fix', 'happen', 'check', 'image', 'text', 'resolve', 'restart', 'important', 'frustrating']","[0.23, 0.092, 0.067, 0.053, 0.051, 0.038, 0.034, 0.024, 0.022, 0.02]"
"['fix', 'update', 'security', 'horrible', 'picture', 'block', 'profile', 'urgent', 'download', 'friend']","[0.33, 0.124, 0.057, 0.036, 0.031, 0.026, 0.026, 0.021, 0.015, 0.015]","['show', 'back', 'screen', 'feature', 'automatically', 'even_though', 'click', 'hang', 'user', 'option']","[0.165, 0.086, 0.056, 0.039, 0.034, 0.034, 0.032, 0.03, 0.03, 0.03]"
"['user', 'access', 'group', 'iphone', 'video', 'android', 'payment', 'bad', 'happen', 'damn']","[0.082, 0.065, 0.059, 0.047, 0.047, 0.047, 0.041, 0.035, 0.024, 0.024]","['message', 'receive', 'delay', 'open', 'unle', 'pop', 'mute', 'bore', 'fix', 'slow']","[0.503, 0.122, 0.053, 0.042, 0.032, 0.027, 0.019, 0.008, 0.006, 0.006]"
"['error', 'version', 'screen', 'mobile', 'urge', 'text', 'account', 'audio', 'automatically', 'trouble']","[0.203, 0.082, 0.044, 0.038, 0.032, 0.032, 0.032, 0.025, 0.025, 0.025]","['problem', 'instal', 'day', 'face', 'solve', 'load', 'start', 'write', 'solution', 'background']","[0.343, 0.133, 0.093, 0.05, 0.048, 0.037, 0.032, 0.014, 0.013, 0.011]"
"['phone', 'call', 'feature', 'make', 'spyware', 'back', 'person', 'share', 'reach', 'facebok']","[0.101, 0.091, 0.072, 0.062, 0.034, 0.034, 0.029, 0.029, 0.029, 0.024]","['application', 'give', 'stupid', 'useless', 'star', 'code', 'wrong', 'hour', 'hell', 'completely']","[0.551, 0.102, 0.03, 0.03, 0.027, 0.022, 0.017, 0.016, 0.014, 0.011]"
"['number', 'ban', 'business', 'device', 'report', 'violate', 'term', 'frustrating', 'add', 'condition']","[0.245, 0.228, 0.071, 0.033, 0.033, 0.022, 0.022, 0.016, 0.011, 0.011]","['work', 'doe', 'open', 'fine', 'suck', 'move', 'sticker', 'volume', 'tidal', 'big']","[0.259, 0.213, 0.141, 0.038, 0.025, 0.018, 0.014, 0.013, 0.011, 0.011]"
"['send', 'account', 'web', 'email', 'code', 'solution', 'request', 'reinstall', 'vivaldi', 'por']","[0.166, 0.093, 0.067, 0.067, 0.062, 0.041, 0.031, 0.026, 0.021, 0.016]","['chat', 'delete', 'datum', 'option', 'backup', 'device', 'lose', 'post', 'restore', 'faceon']","[0.133, 0.123, 0.068, 0.063, 0.039, 0.038, 0.031, 0.029, 0.029, 0.029]"
"['whatsap', 'find', 'null', 'setup', 'option', 'wrong', 'fuck', 'hack', 'medium', 'mi']","[0.099, 0.086, 0.043, 0.037, 0.037, 0.037, 0.025, 0.025, 0.025, 0.025]","['send', 'download', 'file', 'medium', 'minute', 'memory', 'screnshot', 'mb', 'pdf', 'poor']","[0.312, 0.25, 0.074, 0.056, 0.019, 0.014, 0.012, 0.012, 0.011, 0.009]"
"['problem', 'solve', 'doe', 'temporarily', 'indonesia', 'flash', 'verification', 'chat', 'friend', 'drive']","[0.181, 0.114, 0.054, 0.036, 0.036, 0.03, 0.03, 0.024, 0.024, 0.018]","['update', 'late', 'group', 'recent', 'mode', 'force', 'disable', 'add', 'updating', 'freeze']","[0.567, 0.063, 0.051, 0.026, 0.025, 0.021, 0.016, 0.016, 0.014, 0.012]"
