id,appTitle,userName,date,score,text,original_text,bug_report
97052,Snapchat,LeaLoves Workouts,"April 5, 2019",2.0,man ever since the update my story duplicate and screen go black you can hear but not see the video and i get kicked out of the application nowsuper annoyingly video quality has decreased on snap a well look gritty not clear,man ever since the update my story duplicates and screen goes black you can hear but not see the video and I get kicked out of the app now...super annoying....my video quality has decreased on snap as well looks gritty not clear.,
97053,Snapchat,Rifat Parvez,"April 9, 2019",1.0,this new update suck so bad front facing camera was working fine and the filter were running fine too until i updated the application and now the front facing camera doe not even focus properly and picture are coming out over saturated and just terrible in general fix your application pronto,"This new update sucks so bad, front facing camera was working fine and the filters were running fine too, until I updated the app and now the front facing camera doesn't even focus properly and pictures are coming out over saturated and just terrible in general, fix your app, pronto.",
97054,Snapchat,K L,"April 8, 2019",3.0,it is always been easy to use although now that i have a samsung galaxy s the front camera for snap chat is way too zoomed in at arm length i can only see my head for the entire screen i can not fit anyone else in the entire screen,"it's always been easy to use. although now that I have a Samsung galaxy s10, the front camera for snap chat is way too zoomed in. At arms length, I can only see my head for the entire screen. I cant fit anyone else in it.",
97055,Snapchat,Devin Gillim,"April 8, 2019",1.0,ever since april nd any time i try to open the application it show the loading screen then crash i can not even get in to the application to report an issue,"ever since april 2nd any time i try to open the app it shows the loading scren then crashes, i cant even get in to the app to report an issue",
97056,Snapchat,First Last,"April 8, 2019",2.0,clunky buggy and lay mess snapshot is yet another good example how most aps on android are optimized garbage this platform make me sick sometimes because of this very reason,"Clunky, buggy and laggy mess! Snapchat is yet another good example how most apps on Android are unoptimized garbage, this platform makes me sick sometimes because of this very reason.",
97057,Snapchat,Ella Films,"April 6, 2019",4.0,i like snapshot and everything but it will not let me use the filter like it doe find my face and when i click on filter that thing that cover your face so it sens it yea it doe show me that so i can not take picture with filter,I like snapchat and everything but it wont let me use the filters like it doesnt find my face and when i click on filters that thing that covers your face so it senses it yea it doesnt show me that. So i can't take pictures with filters.,
97058,Snapchat,Malia Holderbaum,"April 5, 2019",2.0,i hate that it int available on my laptop macho air it int available on my laptop macho air really inconvenient but i love it int available on my laptop macho air besides that,I hate that it isnt avaliable on my laptop- macbook air. Its really inconvienient but I love it besides that.,
97060,Snapchat,Milind Shewale,"April 6, 2019",2.0,it is crashing take too much time to send a single snap and can not send a one snap to m re than people please make the sending of snap limit at least upto people try to fix the sending of snap limit soon,"It's crashing... take too much time to send a single snap... and, cannot send a one snap to M re than 200 peoples... plz, make the sending of snap limit at least upto 500 peoples... Try to fix it soon...",
97059,Snapchat,Layla Mad,"April 8, 2019",4.0,love this application but the april update has done something to name my filter not work once they work again the april update star,"love this app but the April 2019 update has done something to naje my filters not work. Once they work again, its 5 stars.",
97061,Snapchat,Lauren Harris,"April 10, 2019",1.0,actually the worst snapshot update ever crash constantly bus continuously and will not let me save my story a story saved my story a individual memory fix please,"actually the worst snapchat update ever. crashes constantly, bugges continuously, and wont let me save my stories as stories, saved them as individual memories. fix please.",
97063,Snapchat,Adeline Bailey,"April 7, 2019",2.0,need to scale down geofilterscontent to fit nonstandard screen aspect ratio if someone put content at the edge of their phone screen when sending the content is off their phone screen when viewing on my blackberry ketone android also inability to view knapman when gps setting are set to device only location permission is granted and that should be enough to use anything more is info goole doe not need and used for marketing purpose poor camera qualityimage compression,"Need to scale down geofilters/content to fit non-standard screen aspect ratios. (If someone puts content at the edge of their iPhone screen when sending, the content is off the screen when viewing on my Blackberry KeyOne Android 7.1.1). Also, inability to view snapmap when GPS settings are set to ""Device Only"". Location permission is granted and that should be enough to use. Anything more is info Google doesn't need and used for marketing purposes. Poor camera quality/image compression.",
97062,Snapchat,Baby D510,"April 6, 2019",2.0,anyway to take off the my eye only did not know what it was so i was messing around and i actually do not even need it or want it on there please give u option to remove it thanks,anyway to take off the my eyes only ? didn't know what it was so I was messing around and I actually don't even need it or want it on there. please give us option to remove it. thanks!!,
97064,Snapchat,Rabi Ahmad,"April 11, 2019",2.0,too much lag in the android version i am currently using samsung a even get stuck for a few second when i try to open my own story,TOO MUCH LAG in the android version. I am currently using Samsung A50. Even gets stuck for a few seconds when I try to open my own story.,
97065,Snapchat,Jagroop Dhillon,"April 5, 2019",3.0,much more feature are yet to be added like the snap which you are sending to someone you can not see by opening it once you sent it nd if you sent anything wrong or sent a wrong chat you can dlt it from you are chat but it could not be dlt from the chat of another person whom you are sending,much more features are yet to be added like the snap which u are sending to someone you can't see by opening it once you sent it nd if u sent anything wrong or sent a wrong chat u can dlt it from ur chat but it couldn't be dlt from the chat of another person whom u r sending 🙁,
97066,Snapchat,Aabc Dee,"April 7, 2019",3.0,my snapshot is messing up a little but when my snapshot work my snapshot great and i use my snapshot everyday that might not be the case though if they do not fix the little problem,my Snapchat is messing up a little but qhwn it works its great and i use it everyday. thst might not be the case though if they dont fix the little problem,
97067,Snapchat,Tiff Ortega,"April 8, 2019",1.0,video are recording in super low quality can not watch my whole store without my whole store going all black just playing audio i have to keep backing out of my story to watch snap at a time,videos are recording in super low quality. cant watch my whole store without it going all black (just playing audio). I have to keep backing out of my story to watch 1 snap at a time.,
97068,Snapchat,A Google User,"April 8, 2019",5.0,it is nice and i love the update i can talk to my friend take picture and more i also love all the cute and or silly filter,"It's nice and I love the updates. I can talk to my friends, take pictures, and more! I also love all the cute and or silly filters",
97069,Snapchat,Andrea Crichton,"April 7, 2019",2.0,snapshot which was one of my favourite aps now no longer show badge us notification sound and just doe seem right i have uninstaled numerous time restarting my phone all in the hope it work properly most recently today please sort the bug out,"Snapchat, which was one of my favourite apps, now no longer shows badges, uses notification sounds and just doesnt seem right. Ive uninstalled numerous times, restarting my phone, all in the hope it works properly. Most recently today. Please sort the bugs out.",
97070,Snapchat,King Hieena,"April 6, 2019",2.0,very buggy in term of message message will say message have been opened when message havent message will also incorrectly display time of when message was sent great application i love great application but this issue is very annoying,very buggy in terms of messages. Messages will say they've been opened when they havent. messages will also incorrectly display time of when messages was sent. great app I love it but this issue is very annoying,
97071,Snapchat,Nic Conroy,"April 7, 2019",1.0,absolutely broken in pixel constantly freezing and crashing the update have made it worse completely unusable,Absolutely broken in Pixel 3. Constantly freezing and crashing. The updates have made it worse. completely unusable..,
97073,Snapchat,Yoneo Arai,"April 8, 2019",5.0,can not take a picture without my pixel reporting seems to only happen in snapshot please fix a i use this application every day a do my friend,"Cannot take a picture without my Pixel 2 rebooting. Seems to only happen in Snapchat! Please fix, as I use this app every day as do my friends.",
97074,Snapchat,Soumalya Datta,"April 9, 2019",1.0,mr evan spiegel a i am an indian i am not rich enough to use this application hence i am uninstaling this application and rating this application star a star is not possible feeling sorry for the developer disgusting ceo,Mr. Evan Spiegel as I am an Indian I'm not rich enough to use this app. Hence I'm uninstalling it and rating it 1 star as 0 stars is not possible. Feeling sorry for the Developers! Disgusting CEO.,
97075,Snapchat,Vanitia Bridgers,"April 8, 2019",2.0,another failed update why is that when i save my entire story my entire story is still saved separately this is why so many people are just sticking with instagram snap is getting worst with every update,"Another failed update. why is that when I save my entire story it's still saved separately? This is why so many people are just sticking with Instagram, snap is getting worst with every update 🤦🏾‍♀️🤦🏾‍♀️",
97076,Snapchat,Lauren Ashley,"April 10, 2019",4.0,the only thing i do not like is that it need updated quite frequently other that it is great to talk to friend etc,"The only thing I don't like is that it needs updated quite frequently. Other that it is great to talk to friends, etc.😊",
97077,Snapchat,Michal Hipner,"April 9, 2019",1.0,this update new bug with this version of snapshot we introduce chat message delivering out of order please fix this application snapshot,This update: New bugs! With this version of Snapchat we introduce chat messages delivering out of order! Please fix this app Snapchat...,
97079,Snapchat,Kaylynn Dodge,"April 8, 2019",3.0,i heard about how terrible the video quality is and i was not able to test the video quality myself but i do not like the video quality plus i liked the video quality way better when the video quality was a black background ew to white,I heard about how terrible the video quality is and I wasn't able to test it myself but I don't like it. Plus I liked it WAY better when it was a black background. Eww to white.,
97080,Snapchat,NateDoG RaPs,"April 7, 2019",5.0,its a good application but you guy are ruining its by updating its before you used to be able to add picture that you took or saved snap to your private now you agent allow and you have to go all the way to your private and record something which i think is very dumb and it should be fixed,its a good app but you guys are ruining it by updating it. Before you used to be able to add pictures that you took or saved snaps to your private now you arent allow and you have to go all the way to your private and record something which I think is very dumb and it should be fixed,
97081,Snapchat,Meggy H.,"April 7, 2019",3.0,strat matchman au dem night hindu ab bei snap foot such listens die testator nicht wen ich twas schreiber acute und ist extreme langham bite beheben samsung a,"Stürzt manchmal aus dem nichts hinaus ab, bei Snaps öffnet sich meistens die Tastatur nicht wenn ich etwas schreiben möchte und ist extrem langsam... bitte beheben!! (Samsung A3 16)",
97088,Snapchat,Shanae McIntosh,"April 7, 2019",1.0,it keep on jumping off everytime i click on the application,it keeps on jumping off everytime i click on the app,
97090,Snapchat,Abigail Badal,"April 7, 2019",5.0,love it so much,love it so much,
97091,Snapchat,A Google User,"April 7, 2019",4.0,a greater way to communicate and stay in touch with friend i am loving this application fr but coz i use an pad the filter do not work please fix this and i will rate this start thank you,"A greater way to communicate and stay in touch with friends, I'm loving this app fr, but coz I use an Ipad the filters don't work, plz fix this, and I will rate it 5 starts Thank You",
97094,Snapchat,Ariel Quinland,"April 7, 2019",5.0,look i like snapshot because i tried snapshot with my cousin snapshot was cool,Look i like snapchat because i tried it with my cousin it was cool,
97103,Snapchat,Chathurya Apuri,"April 7, 2019",5.0,very good and nice,very good and nice,
97105,Snapchat,Katie Thornton,"April 7, 2019",5.0,good amazing and please get more new this year please,"good, amazing and please get more new this year please ❤️",
97106,Snapchat,TillingTomcat88,"April 7, 2019",5.0,best social medium application eva,Best social media app eva,
97107,Snapchat,Aneeqa Rc,"April 7, 2019",5.0,i really like snapshot but i want update in snapshot like live you people should update snapshot in live thanks,i really like snapchat but i want update in snapchat like live u people should update snapchat in live thanks 😋😍,
97108,Snapchat,Strangely Cute,"April 7, 2019",3.0,i love it i use it for a lot of picture however i uninstaled it and now it not letting me re install,i love it i use it for a lot of pictures however i uninstalled it and now its not letting me re install,
97109,Snapchat,fabgirl,"April 7, 2019",5.0,it is good and i can talk to my friend really easily,it is good and I can talk to my friends really easily,
97112,Snapchat,Sk_ Sehra,"April 6, 2019",3.0,please add a feature like to see my who is friend is online,plz add a feature like to see my who's friend is online,
97114,Snapchat,Jagdish Patil,"April 6, 2019",4.0,it is all funny,it's all funny,
97115,Snapchat,Margarita Gallardo,"April 6, 2019",5.0,its the best think ever you could call your friend on this application you could how your friend are doing in there life,its the best think ever you could call your friend on this APP you could how your friend are doing in there life,
97117,Snapchat,Priya Koshy,"April 6, 2019",4.0,it is been a great application until it started crashing everytime i open a great application please do fix the same a soon a possible,"It's been a great app until it started crashing everytime I open the app. 
Please do fix the same asap!!!",
97119,Snapchat,Biodun mahmz,"April 6, 2019",1.0,application froze on me twice already and messed up the snap i was trying to save,app froze on me twice already and messed up the snaps i was trying to save,
97122,Snapchat,Favian Solano,"April 6, 2019",4.0,its good but lag sometimes,its good but lags sometimes,
