id,appTitle,userName,date,score,text,original_text,bug_report
66310,WhatsApp Messenger,,"March 8, 2019",3.0,this is the nd mobile who just can not connect while calling or video calling this say connecting and this doe connect i tried to delete some other apa in case of a conflict bit do not seem to find out why could you help,this is the 2nd mobile who just can't connect while calling or video calling. it says connecting and it doesnt connect. i tried to delete some other Appa incase of a conflict bit don't seem to find out why. could u help?,
66311,WhatsApp Messenger,,"March 2, 2019",3.0,it is a fine application but it stop sometimes it create some difficulty,"it is a fine app.. but it stop sometimes, it create some difficulties.",
66313,WhatsApp Messenger,janvi padile,"March 8, 2019",5.0,what to describe its always best i have a suggestion just to change the colour of theme of whatsit every month or every year should be junor you can change it every week or on every festival,WHAT TO DESCRIBE ...ITS ALWAYS BEST I HAVE A SUGGESTION JUST TO CHANGE THE COLOUR OF THEME OF WHATSAPP EVERY MONTH OR EVERY YEAR..IT SHOULD BE FUN....or u can change it every week or on every FESTIVAL.....😄,
66312,WhatsApp Messenger,Madhurima Gogoi,"March 2, 2019",1.0,i do not understand why what has done thinly second a file can be share in status no t ok,i don't understand why whattapp has done this......only 30 sec a file can be share in status...Its no t ok😢👎👎👎👎,
66314,WhatsApp Messenger,Basheer Coo,"March 1, 2019",2.0,no compare between whatsit of io and whatsit of android is device i can not share two file from whatsit of android to email only one i can not forward a whatsit medium to more than five contact they did not make any secure application to transfer chat back up from io to android is and reverse,no compare between WhatsApp of ios and WhatsApp of android's devices 1- i can't share two files from my WhatsApp to email only one . 2- i can't forward a WhatsApp media to more than five contacts. 3- they did not make any secure app to transfer chat back up from ios to android's and reverse,
66315,WhatsApp Messenger,,"March 4, 2019",1.0,the message ianthe message be shared up to five contact please fix this problem,"The message can,t be shared up to five contacts. Please fix this problem.",
66316,WhatsApp Messenger,bala selvam,"March 4, 2019",1.0,update is totally waste now my message are sending with a delay of min really irritating please do something with this,update is totally waste ... now my messages are sending with a delay of. 5 min. really irritating... pls do something with this.,
66317,WhatsApp Messenger,Arjit Nigam,"March 5, 2019",4.0,how to share chat summary with one groupwhat is up call remains always unclear voiced to improve voice quality in this aplicationhow to retrieve the deleted chatwin particular person,How to share chat summary with one group...??what's up call remains always unclear voice...need to Improve voice quality in this app..how to retrieve the deleted chat..with particular peeson..,
66318,WhatsApp Messenger,Yash Thumar,"March 4, 2019",5.0,please introduce this feature we can set a time and whatsit will automatically send that message if the internet connection is on,PLS INTRODUCE THIS FEATURE: We can set a time and WhatsApp will automatically send that message if the internet connection is ON.,
66319,WhatsApp Messenger,,"March 3, 2019",5.0,i do not have any word to say it is my personal favourite and no,I don't have any words to say IT'S my personal Favourite and # No 1🔥🔥🔥🔥🔥,
66320,WhatsApp Messenger,Deepak Devikar,"March 8, 2019",5.0,the blue tick are not appearing in my device application in last update so please see over my device application,the blue ticks are not appearing in my device app in last update so please see over it..,
66321,WhatsApp Messenger,Nurul Amira,"March 9, 2019",2.0,my phone suddenly can not download voice record picture and video everytime i download everything above it will say the download was unable to complete please try again later i kept on clicking retry but still the same i need help,"my phone suddenly cant download voice records pitcure and video . everytime i download everything above , it will says ""the download was unable to complete . please try again later"" i kept on clicking ""retry"" but still the same . i need help .",
66323,WhatsApp Messenger,,"March 4, 2019",5.0,voice reach too late to the other person on voice call please please and please fix this problem a soon a possible in the next update otherwise the application is awesome but do something about the delay of voice in voice call,voice reaches too late to the other person on voice call. please please and please fix this problem as soon as possible in the next update . otherwise the app is awesome but do something about the delay of voice in voice call .,
