id,appTitle,userName,date,score,text,original_text,bug_report
518240,Amazon Shopping,Chris King,"March 19, 2019",5,easy to use has everything i need and more,"Easy to use, has everything I need and more.",
518244,Amazon Shopping,Martin Oliver,"March 31, 2019",5,i love shopping amazon so far but having problem tonight shopping amazon keep freezing up,"I love shopping Amazon so far, but having problems tonight it keeps freezing up",
518247,Amazon Shopping,Nerrad Eelmulp,"March 31, 2019",5,great application love the easy accessibility,"great app, love the easy accessibility",
518248,Amazon Shopping,Mario Gutierrez Jr,"March 31, 2019",5,love amazon prime i am a member and i find of what i am looking for after i look throat other aps would not leave this site at thank you amazon,LOVE AMAZON PRIME I AM A MEMBER AND I FIND 90%OF WHAT I'M LOOKING FOR AFTER I LOOK THRU-OUT OTHER APPS..!! WOULD NOT LEAVE THIS SITE AT ALL..THANK YOU AMAZON,
518254,Amazon Shopping,Aubrey Stevens,"March 31, 2019",5,amazon is a great application,Amazon is a great app,
518255,Amazon Shopping,A Google User,"March 31, 2019",1,everytime i tried to order something when i went to my order it wasnt there and i dint even get a notification if my card was called or anything,everytime i tried to order something when i went to my orders it wasnt there and i didnt even get a notification if my card was cancled or anything,
518256,Amazon Shopping,C Sc,"March 31, 2019",1,bug report when placing an order and changing shipping to free bug report take a few minute to actually change an order the animation loop for a few minute and the animation feel a if the application hanged please fix otherwise application work great,"Bug report: when placing an order and changing shipping to free, it takes a few minutes to actually change it. The animation loops for a few minutes and it feels as if the app hanged. Please fix. Otherwise app works great.",
518257,Amazon Shopping,Cassie Cage,"March 31, 2019",5,best shopping application ever best price and come fast unlike wish wish is the worst terrible sale and a very long waiting time,"best shopping app ever! best prices and comes fast! unlike wish. wish is the worst. terrible sales, and a VERY long waiting time",
518261,Amazon Shopping,Jinu Jinesh,"March 19, 2019",5,s super super super,s super super super,
518273,Amazon Shopping,A Google User,"March 11, 2019",5,i love it,i love it .....,
518297,Amazon Shopping,alex postel,"March 28, 2019",1,i placed an order tore day ago paid for two day shipping and n the day it was suppose to ship i got a message saying insufficient fund so when i went to fix this this said this was going to take more day so instead i paid another to get my stuff tomorrow i will never buy from amazon again this is unfair i paid for two day shipping n no i haddo spend another never again they did get me a refund but because they did what they did i was overdrawn in my account thanks again,"i placed an order tgree days ago, paid for two day shipping and n the day it was suppose to ship i got a message saying insufficient funds, so when i went to fix this it said it was going to take 3 more days, so instead i paid another $30+ to get my stuff tomorrow. i will never buy from Amazon again this is unfair i paid for two day shipping n nos i hadto spend another $30. never again. they did get me a refund but because they did what they did i was overdrawn in my account. thanks again ,🙄😒",
518298,Amazon Shopping,M E,"March 23, 2019",1,this application is complete garbage now you can not click on thing like image size or color option so you have to keep going back and clicking the product again hoping one of these time this application will actually work do not use this application anymore this application is absolutely broken,"This app is complete garbage now. You can't click on things like images, sizes, or color options, so you have to keep going back and clicking the product again hoping one of these times this trash app will actually work. DO NOT USE THIS APP ANYMORE, IT IS ABSOLUTELY BROKEN",
518299,Amazon Shopping,Yuro S,"March 30, 2019",1,very intrusive even though i do not search for it in the application it know what i have searched for in my browser and text message communication and will email me deal on item like such deleting application because i do not trust application,"very intrusive... even though I dont search for it in the app, it knows what I have searched for in my browser and text message communications and will email me ""deals"" on items like such. deleting app cuz I dont trust it",
518300,Amazon Shopping,Jenna Galvez,"March 26, 2019",1,doe not work for over a month i get the weird dog photo with a sorry message everytime i click on anything and yes i have uninstaled and installed the application with no improvement,"Does not work, for over a month I get the weird dog photo with a sorry message everytime I click on anything. and Yes I have uninstalled and reinstalled the app, with no improvement.",
518301,Amazon Shopping,Hai Lam,"March 30, 2019",5,i love amazon i have nothing but good experience with threesome of the product is more expensive but the product is worth the product due to the customer service they provide thanks amazon,"I love amazon. I have nothing but good experience with them...some of the product is more expensive but it is worth it, due to the customer service they provide.... thanks Amazon",
518302,Amazon Shopping,Jan Babincak,"March 30, 2019",1,star i ordered item on friday in the morning with prime delivery now one day later when i should have item already item showing just dispatched and delivery on sunday pm why you promise something what you can not follow very disappointed with prime,0 stars. I ordered item on Friday 07:58 in the morning with prime delivery. now one day later when I should have my item already its showing just dispatched. and delivery on Sunday 9pm. Why you promise something what you can't follow. very disappointed with prime:(ï,
518303,Amazon Shopping,A Google User,"March 29, 2019",1,free same day delivery no more there is no more option of free same day delivery they raise up the fee for prime membership for this same day delivery if your order is over is one of the reason why i renewed the my prime,Free Same Day Delivery No More!!! There is no more option of Free Same Day Delivery. They raise up the fee for prime membership for this? Same Day Delivery if your order is over $35 is one of the reason why i renewed the my prime!,
518304,Amazon Shopping,Sarah B.,"March 31, 2019",2,can not set application a default application when clicking on link everything open in chrome tried changing setting on application but i do not have the option to,"Cannot set app as default app. When clicking on links, everything opens in Chrome. Tried changing settings on app, but I do not have the option to.",
518305,Amazon Shopping,Cord Parker,"March 23, 2019",3,informational purpose only dev please read i have been in long standing with this application on my phone for quick purchase however now this has come to a fault due to the fact that this has become too demanding with hyperlink and ad for item within the amazon shopping ecosystem making it hard to purchase search and or add to a list without being forced to use my desktop to add something my suggestion limit the link and ad and or add a suggested tab please and thank you in advance,"(Informational Purposes Only) (Dev Please Read) I have been in long standing with this app on my phone for quick purchases, however, now this has come to a hault due to the fact that it has become too demanding with hyperlinks and ads for items within the Amazon shopping ecosystem, making it hard to purchase, search, and or add to a list without being forced to use my desktop to add something. My suggestion, limit the links and ads and or add a ""Suggested"" tab... please and thank you in advance.",
518306,Amazon Shopping,Shirlie,"March 26, 2019",1,why this application keep telling me something went wrong within minute of using the application i have tried instal and install the application again and still have issue please help thanks,"why this app keeps telling me ""something went wrong"" within 1 minute of using the app. I have tried uninstall and install it again and still have issues. please help. thanks.",
518308,Amazon Shopping,chrismercedcm,"March 28, 2019",2,love shopping on amazon but this application have connection issue even when my ph have grin i never have this problem with other shopping aps only this amazon application amazon please fix this issue thank you,love shopping on amazon but this application have connection issues even when my ph have 4g i never have this problem with other shopping apps only this amazon app amazon please fix this issue thank you,
518307,Amazon Shopping,Michelle J,"March 23, 2019",1,has not worked properly in age doe not let me check out and pay if i change my delivery setting grin from the automatic expensive delivery option to free delivery,"Hasn't worked properly in ages. Does not let me check out and pay if I change my delivery settings, e.g. from the automatic expensive delivery option to free delivery.",
518310,Amazon Shopping,Mitch Yurkovich,"March 20, 2019",3,logged in and i keep getting a screen showing a dog weird and a message that say uh-oh something went wrong on our end tried uninstaling and installing still will not work i can get by with logging in on chrome but just frustrating that a big company like amazon can not debut a big company like amazon aps,"Logged in and I keep getting a screen showing a dog (weird) and a message that says ""Uh-oh. Something went wrong on our end."" Tried uninstalling and reinstalling, still won't work. I can get by with logging in on Chrome, but just frustrating that a big company like Amazon can't debug their apps?",
518311,Amazon Shopping,Natalia Vigule,"March 27, 2019",1,in still no option uk only selerschoise of price range load of chinese seller added constantly browsing page and page of rubbish,in 2019 still no option UK only sellers/choise of price range. Load of chinese seller added. Constantly browsing pages and pages of rubish.,
