id,appTitle,userName,date,score,text,original_text,bug_report
571039,WeChat,AP Ibrahim,"February 18, 2019",4.0,some id are not updated accurately i recovered same id but with different photo on the same device,Some id are not updated accurately. I recovered same id but with different photos on the same device,
571038,WeChat,T A,"February 17, 2019",1.0,very bad application and if you want to delete your account you will not be able to delete your account unless after very long time do not install guy,very bad application... and if you want to delete your account you will not be able to delete it unless after very long time.. Do Not install guys,
571042,WeChat,Wu Haoqing,"February 17, 2019",1.0,it is very useful for me and very convinced but it have a big size and memory forgive my poor english because it is not my native language,"It is very useful for me ,and very convinced. But it have a big size and memory .（Forgive my poor English, because it is not my native language）",
571041,WeChat,Wan Chee Chun,"February 16, 2019",3.0,i would give star but some reason my weight notification is late after a message is sent from a group a message took about hour to sent me the notification please fix this problem,"I would give 5 stars but some reason my weight notification is late, after a message is sent from a group it took about 2 hours to sent me the notification, please fix this problem",
571043,WeChat,Thisura Dodangoda,"February 17, 2019",3.0,the application has gotten significantly better message notification do not always come through sometimes on my s inclusion of a reply to a specific message would be really helpful,The app has gotten significantly better. Message notifications dont always come through sometimes on my s7. Inclusion of a reply to a specific message would be really helpful.,
571044,WeChat,Bamidele Louis,"February 17, 2019",1.0,it a very stupid application i have been trying to login for hour now it just rotating three particular event because it very stupid i hate the application,it a very stupid app i have been trying to login for hours now it just rotating three particular event because it very stupid i hate the app,
571045,WeChat,Keith Cornelio,"February 16, 2019",1.0,blocked my account when i just registered and my account asking for authorization from another person who us the application also do not get notification from group message,blocked my account when i just registered and its asking for authorization from another person who uses the app. also dont get notifications from group messages,
571046,WeChat,Yuanxuan Zhu,"February 3, 2019",1.0,feb notificationsdevice setting no response when tap what is wrong do not like new ui or ux design it is just an aplestyle design and a an android user i hate this especially the confirm box ugly,"Feb 4 Notifications--Device Settings NO response when tap!!! What's wrong??? ---------------------------- Don't like new UI or UX design, it's just an Apple-style design and as an ANDROID user I hate this (Especially the comfirm box, ugly!)",
571047,WeChat,Wai Chun Cheong,"February 16, 2019",1.0,why is it running in the background so often i rarely use it or even get message from it and the notification popping is so annoying,"why is it running in the background so often? I rarely use it or even get message from it, and the notification popping is so annoying",
571048,WeChat,Gennario Veltaine,"February 17, 2019",3.0,why doe it constantly need to run i turned off background data yet it keep going,why does it constantly need to run? i turned off background data yet it keeps going,
571049,WeChat,Shokanla Roheema,"February 17, 2019",1.0,i can not sign up for day now am tired of wasting data,i cant sign up for days now am tired of wasting data,
571050,WeChat,Sa O,"February 16, 2019",1.0,not able to login or register please help or fix,not able to login or register. please help or fix,
571051,WeChat,Jeslyn Xuan,"February 18, 2019",1.0,i think there is something problem on my search people like no response please fix no response,i think there is something problem on my search people.... like no response. Please fix it.,
571052,WeChat,Leo Fortunato,"February 17, 2019",5.0,i want to retrieve my former what,I want to retrieve my former wechat,
571053,WeChat,KEVIN CHAN,"February 11, 2019",1.0,protected account can not log in friend can not help,Protected account can't log in friend can't help,
571054,WeChat,Kc Peh,"February 16, 2019",1.0,why can not we delete the moment post by friend,why can't we delete the moments post by friends.,
571055,WeChat,Ali Alqadasi,"February 10, 2019",5.0,why i can not sent new greeting to new people by nearby,why i cant sent new greetings to new ppl by nearby,
571056,WeChat,GMay M,"February 18, 2019",3.0,do not like that the notification sound for every single message from a group chat,don't like that the notification sounds for every single message from a group chat,
571057,WeChat,,"February 17, 2019",3.0,make a dark theme,Make a dark theme,
571059,WeChat,Emerald Castillo,"February 17, 2019",5.0,this application is good,this app is good,
571069,WeChat,Chloe Hingley,"February 1, 2019",5.0,it is extremely easy to call multiple people who are a long way away from you for example my relative went to china and i called example the sound was clear and only lagged here and there a bit i recommend this chatting application especially a this chatting application is free this chatting application was superb for me,"It is extremely easy to call multiple people who are a long way away from you. For example, my relative went to China and I called them: the sound was clear and only lagged here and there a bit. I recommend this chatting app, especially as it is free. This app was superb for me!",
571070,WeChat,,"February 4, 2019",1.0,rubbish i can not even sign up because it fails a security test i removed my anti-virus a requested which is highly suspicious on my anti-virus is own right and even factory rested my phone for this check to work to no avail after a while afternoon doing this i give up,"RUBBISH. I can't even sign up because it fails a ""security test"". I removed my antivirus as requested (which is highly suspicious on it's own right) and even factory resetted my phone for this check to work, to no avail. After a while afternoon doing this, I give up",
571071,WeChat,,"February 5, 2019",1.0,same isuecanot even get an account set up a chinese client asked me to download this application both our attempt failed her qr code wasnt recognized two local chinese friend who have used the application for year can not help me in person two local chinese friend who have used the application for year do not know what this what team is or why it is so difficult now tough to evaluate an application that will not work from the start by the look at most of the recent star review this need to be fixed yesterday,"Same issue...can't even get an account set up. A Chinese client asked me to download this app. Both our attempts failed. Her QR code wasnt recognized. Two local Chinese friends who have used the app for years can't help me in person. They don't know what this ""wechat team"" is or why it is so difficult now. Tough to evaluate an app that won't work from the start. By the looks at most of the recent 1 star reviews this needs to be fixed yesterday.",
571072,WeChat,Fikri Wildan Nugraha,"February 14, 2019",1.0,after sign unable to login again and we chat just block my account because system think i amusing plug-in or something like that the problem is if you want to make the problem back activate you need to find people recommendation around me who also have we chat account really you are an application developer not a police and how can i find a person that can activate my account just few people using we chat in indonesian nobody using we chat around me,"after signup unable to login again and we chat just block my account because system think im using plugin or something like that, the problem is if you want to make it back activate . you need to find people recomendation around me who also have we chat account, really? you are an app developer not a police? and how can i find a person that can activate my account? just few people using we chat in indonesia.and nobody using we chat around me. ???",
571073,WeChat,Razip Salleh,"February 10, 2019",1.0,hello wechatmy team your application service can survive on my phone just because of my pub acc bounded to what you have banned me for almost month from message of bottle and i do not know why thanks a lot,"Hello Wechat.my team, your app service can survive on my phone just because of my PUBG acc bounded to wechat. You have banned me for almost 3 months from messages of bottle and i dont know why. thanks a lot!",
571074,WeChat,Jessica w,"February 4, 2019",1.0,i am a bit disappointed with the latest update my husband work in the basement of a hospital so my husband doe not have cell receptiononly wife since the most recent update i no longer receive notification when someone has message me my husband and i rely on this application for communication during the day so to not know when someone has message me is quite inconvenient,"I'm a bit disappointed with the latest update. my husband works in the basement of a hospital, so he does not have cell reception...only wifi. Since the most recent update, I no longer receive notifications when someone has messaged me. my husband and I rely on this app for communication during the day, so to not know when he has messaged me is quite inconvenient.",
571075,WeChat,Eliz_zzz,"February 1, 2019",3.0,really hard to load article from subscription now it feel fast but actually only load the title after a few second it start loading the body which is very annoying and it is so weird that after my what wallet get some more money my what wallet keep giving me notification to lead me to what pay without showing what exactly the notification is is my what wallet monitoring my balance and trying to make me spend money once i have some money in wallet,"Really hard to load ariticles from subscriptions now. It feels fast but actually only loads the title. After a few seconds, it starts loading the body which is very annoying. And it's so weird that aftet my wechat wallet gets some more money, it keeps giving me notifications to lead me to wechat pay without showing what exactly the notification is. Is it mornitoring my balance and trying to make me spend money once I have some money in wallet??",
571076,WeChat,,"February 1, 2019",3.0,its a very good application but recently i ve been experiencing a very big issue i don t receive any notification for message or call i went through setting for both phone and application they work for hour than it s back to no notification basic i have to enter application and refresh application for the content to opera even if the content to opera just a call i need a solution a this is the way i m keeping contact with important person and important person fail reaching out on me,"It.s a very good app. But recently i ve been experiencing a very big issue: I don t recieve any notification for messages or calls. I went through settings for both phone and app. they work for 1 hour than it s back to no notification. Basicly, i have to enter app and refresh it for the content to appera even if its just a call. I need a solution as this is the way I m keeping contact with important persons and they fail reaching out on me.",
571077,WeChat,Dennis Bruce,"February 12, 2019",1.0,what will not start and state account blocked although i have never logged in before or ever used what there is zero customer support then there is another error message about a plug-in or another application preventing me from logging in what application are you talking about so here is my question what is going on being a new customer and never logging in ever it make no sense so far one star a there is no zero star would it be possible to get some help guy reporting a spare now,"Wechat will not start and states account blocked although i have never logged in before or ever used wechat? There is zero customer support. Then there is another Error message about a plugin or another app preventing me from logging in. What app are you talking about? So, here is my question, what is going on? Being a new customer and never logging in ever, it makes no sense. So far one star as there is no zero stars.. would it be possible to get some help guys? Reporting as spyware now.",
571078,WeChat,Roberto S,"February 4, 2019",2.0,there is a network issue that i am experiencing with this application only when i open what there is a message network unavailable that pop up on top for about a second then disappears this is causing me to miss message notification also this had carried over to my phone please fix this,"there's a network issue that I am experiencing with this app only. when I open WeChat, there's a message ""Network Unavailable"" that pops up on top for about a second, then disappears. this is causing me to miss message notifications. also, it had carried over to my phone. please fix this!!!",
571079,WeChat,,"February 13, 2019",5.0,what not working like before this new what is so boring i can not get any notification even when someone send me message secondly i can not see people nearby i mostly use what for business right now my business is going down because of this new update what team please work on this issue before this issue get too late i have lose so much money because of this i started using what for the past eight year now i rate star for what thanks,"Wechat not working like before, this new wechat is so boring. i cant get any notifications even when someone send me message, secondly i cant see people nearby. i mostly use wechat for business right now my business is going down because of this new update. wechat team pls work on this issue before it gets too late. i have lose so much money because of this. i started using wechat for the past eight years now. I rate 5 star for the previous wechat Thanks...",
571080,WeChat,Anthony Bong,"February 12, 2019",1.0,i am very sad because i could not login into my old account which is few past year old hahahah i wish i can login into my old account which is few past year old because all my contact in my old account which is few past year old also did not play what anymore please do something i really want to login into my old account which is few past year old because there were sweet moment help me my id is anthonyato,"I'm very sad because i could not login into my old account which is few past years old.... Hahahah, i wish i can login into that account because all my contacts in that account also didn't play wechat anymore.... Pls do something.... I really want to login into my old account because there were sweet moments..... Help me.... My id is anthony_ato",
571081,WeChat,Mohammed Awal Amadu,"February 1, 2019",1.0,hello i just want to warn all people that what is really sick i couldnt even manage to get an account for a week an account got blocked day after registering an account they do not respond my mail they freeze account without any reason and they are getting annoying very much what is really tricky application do not waste your time downloading tricky application,"Hello, I just want to warn all people that WeChat is really sick. I couldn’t even manage to get an account for a week. My account got blocked 3 days after registering it. They don’t respond my mails, they freeze accounts without any reason and they are getting annoying, very much. WeChat is really tricky app. Don't waste your time downloading this app!!!!!!!",
571082,WeChat,,"February 4, 2019",5.0,early dude is it is bomb man if i was a application i would want to be like this one hominid and when i grow up i want to be just like this bra do you dig this one hominid suckalater i give this one hominid sex it is better than sex is always beaterdan no sex limbo it is a great application just having fun,narly dude's it's dabooooomb man. if i was a app i would want to be like this one homie.if and when i grow up i want to be just like this braaa. do you dig it suckaaa.lateeer. i give it sex 🌟 it's better than 5 🌟 sex is always beaterdan no sex. LMBO 😂😹 it's a great app just having fun.,
