id,appTitle,userName,date,score,text,original_text,bug_report
446828,Google Play Music,Ajay Das,"February 16, 2019",3,some song are missing it doe not show all the song,some songs are missing... it doesn't show all the songs,
446834,Google Play Music,,"February 16, 2019",5,good luck with your music,good luck with your music,
446835,Google Play Music,Angry Kristina,"February 16, 2019",5,it is a good application but there is some issue,it is a good app but there is some issues.,
446838,Google Play Music,,"February 16, 2019",1,i can not instal this us application,i cannot uninstall this uesless app,
446839,Google Play Music,,"February 16, 2019",5,play is music reel good,play's music reel good,
446840,Google Play Music,Iconic Crew Works,"February 16, 2019",5,i like this application very much improvement to fix dolby sound equaliserand please change the colour theme optionsfor public help smooth performance and dark screen,"I like this app very much. Improvements to fix Dolby sound, equaliser,and pls change the colour theme options.for public help smooth performance and dark screen.",
446844,Google Play Music,Melis Özkan,"February 16, 2019",2,you are saying making bug fix but when my playlist has finished bug fix is not starting againbug fix is playing another song that doe not in my playlistplease help,"You are saying making bug fixes but when my playlist has finished it isn't starting again,it's playing another song that doesn't in my playlist.Please help",
446842,Google Play Music,noel shampulla,"February 16, 2019",5,good application for music,good app for music,
446843,Google Play Music,,"February 16, 2019",5,great music application,Great music app.,
446845,Google Play Music,Mohit Sharma,"February 13, 2019",4,good application but try to improve the equalizer,good app but try to improve the equilizer,
446847,Google Play Music,Antony Williams,"February 13, 2019",5,brilliant update please do not kill this couture music is much worse,Brilliant update. Please dont kill this. YouTube music is much worse,
446858,Google Play Music,Desalegn Teshome,"February 13, 2019",5,nice and nice but but but button shall improve equalizer by including headphone sound never late,"Nice and Nice....👏 👏 👏But but but but...You shall improve equalizer... by including ""Headphone"" .... sound.... never late.....",
446861,Google Play Music,Honey Honey,"February 13, 2019",5,good application i like it,good app I like it,
446863,Google Play Music,Balkrishan Pandey,"February 13, 2019",1,not good application for music,not good app for music,
446868,Google Play Music,A Google User,"February 13, 2019",5,still waiting for a dark theme,still waiting for a dark theme,
446869,Google Play Music,Leighton Sheppard,"February 13, 2019",4,family plan doe not support grinsuite user,Family plan doesn't support G-Suite users,
446875,Google Play Music,doraemon episode and movie,"February 11, 2019",5,this is not bad application,this is not bad app,
446877,Google Play Music,Pablo Sperandio,"February 11, 2019",1,updating this review i giving just star the navigation on this application is the worst i am a a full committed goole person and the navigation on this application is aps but the navigation on this application is a lot of frustration to navigate this application hard to find my download and the back button mix with the side menu navigation is a frustration can not count how many time i closed this application accidentally please make this application more user friendly like on io,"Updating this review, im giving just 1 star... the navigation on this app is the worst. I'm a a full committed Google person and it's apps but it's a lot of frustration to navigate this app. Hard to find my downloads, and the back button mix with the side menu navigation is a frustration, can't count how many times I closed the app accidentally. Please make this app more user friendly like on iOS.",
446878,Google Play Music,,"February 11, 2019",5,the best music application,the best music app,
446880,Google Play Music,Android Gamer,"February 11, 2019",1,i do not know how to download i want to download but how i can download music,i dont know how to download i want to donwload but how i can download music?,
446883,Google Play Music,aka assumi,"February 11, 2019",4,awesome i love it,Awesome i love it,
446884,Google Play Music,Spctrl Gaming,"February 11, 2019",4,on some playlist every time i exit the playlist it re arranges all the song in it it is really anoyingplease fix this problem,"on some playlists, every time I exit the playlist, it re - arranges all the songs in it, it's really annoying,pls fix this problem",
446885,Google Play Music,,"February 11, 2019",5,it is really good,it's really good,
446886,Google Play Music,Mayank Verma,"February 11, 2019",1,not automatically added new song in music library,not automaticall added new songs in music library,
446887,Google Play Music,,"February 11, 2019",5,ye iquique offer hi of at out at it at on he by of he wi he will ye quai qt uhf he to knew qui,ye7 Iquique offer hi of at out at it at on he WY of he Wii he will ye quai 5 qty UHF he to knew qui,
446890,Google Play Music,Maria Theresa Samonte,"February 11, 2019",5,please the music store be available here in philippine,Pls The Music store Be available here in philippines,
446891,Google Play Music,jomar rivera,"February 11, 2019",5,its using up my data and my battery and i can not press the back button to relisted to the music when i turn my phone on,its using up my data and my battery and i can't press the back button to relisten to the music when i turn my phone on.,
446895,Google Play Music,VIVEK KUMAR,"February 11, 2019",1,music stored in sd card not showing in the application,Music stored in SD card not showing in the app,
446896,Google Play Music,KING KKD TECH,"February 11, 2019",4,good but not great,good but not Great,
446898,Google Play Music,SpicyMemes,"February 11, 2019",5,this bete roy be replaced,This bette rnoy be replaced,
446900,Google Play Music,,"February 11, 2019",5,play music now dr,play music nowd dr.,
446901,Google Play Music,,"February 11, 2019",1,how to put song in goole play music can someone tell me,how to put song in google play music?? can someone tell me??!!!,
446909,Google Play Music,Harold Ely,"February 13, 2019",2,mg grinrusia c,mg g.Russia. c.,
446911,Google Play Music,Muhawenimana janvier,"February 13, 2019",3,i do not have an equalizer on my android,i don't have an equalizer on my Android,
446915,Google Play Music,Akhilesh Singh,"February 13, 2019",5,kindly provide latest song section like wink,kindly provide LATEST SONG section like wynk,
446916,Google Play Music,Niel de Wet,"February 13, 2019",2,sometimes all my downloaded song seem to get deleted for no reason causing everything to be have to downloaded again very frustrating also i can not search all of my downloaded song even though all of my downloaded song are in fact on my device and i can find all of my downloaded song manually on my playlist this is very basic functionality goole please fix this nonsense,"Sometimes all my downloaded songs seem to get deleted for no reason, causing everything to be have to downloaded again. Very frustrating. Also I can't search all of my downloaded songs, even though they are in fact on my device and I can find them manually on my playlist. This is very basic functionality Google, please fix this nonsense.",
446920,Google Play Music,Paul Mcconnell,"February 13, 2019",5,very good application perfect for me,very gud app perfect for me,
446921,Google Play Music,A Google User,"February 13, 2019",4,force close star for now till it quits force closing every time i hit a song to play it force close droid kiss,FORCE CLOSE. 1 star for now till it quits force closing. Every time I hit a song to play it force closes. DROID X,
