id,appTitle,userName,date,score,text,original_text,bug_report
124535,Amazon Shopping,Chloe Cat,"May 30, 2019",1.0,good application you just do not always get what you purchased like i got titbit band that agent the size they said its super annoying because its was a giscard and amon should feel sorry for the people who bought me the gift card do not really recommend yup sorry amazon i could buy the same stuff at the store,good app u just dont always get what u purchesed like i got fitbit bands that arent the size they said its super annoying because it was a giftcard and amozn should feel sorry for the people who bought me the gift card. dont really recomend. yup sorry amozon i could buy the same stuff at the store,
124536,Amazon Shopping,Lorna Boyd,"May 30, 2019",4.0,wonderfulvery easy to use love it,"wonderful,very easy to use. love it!!!!!",
124540,Amazon Shopping,Ian Headley,"May 30, 2019",1.0,well this application has gone from good to complete white can not sort properly any more and littered with stuff i simply do not want to look at a simple men t shirt search resulted in more woman is clothing than men i hate the new result pane give me the old one back so i can scroll through what i want to look at i can see myself spending le with amazon now rather than more,"Well this app has gone from good to complete $hite. Can't sort properly any more and littered with stuff I simply dont want to look at. A simple mens t shirt search resulted in more women's clothing than mens! I hate the new results pane, give me the old one back so I can scroll through what I want to look at. I can see myself spending less with Amazon now rather than more.",
124542,Amazon Shopping,Judy T,"May 30, 2019",5.0,it is too good easy to shop,it's too good! easy to shop,
124543,Amazon Shopping,Alex Long,"May 30, 2019",1.0,it is very for forceful you can not press decline and moment bring you to there webster,It's very for forcefull you cant press decline and dosent bring you to there website,
124533,Amazon Shopping,Ustyn Miller,"May 30, 2019",1.0,terrible not like it used to be deliver with any other service is fine amazon driver put can not get into building it is a hotel i just had two other package from ups delivered that morning told me two other package from ups would have someone re deliver a soon a possible hour later no package this was all on my extra day shipping i paid for day later and hour later no packagejust cancelled the item will no longer be paying for this service waste of money,"Terrible, not like it used to be. Deliver with any other service is fine. Amazon drivers put can't get into building. It's a hotel.. I just had two other packages from ups delivered that morning. Told me they would have someone re deliver asap. 5 hours later no package. This was all on my extra 1 day shipping I paid for. 3 days later and no package 8 just canceled the items. Will no longer be paying for this service. Waste of money.",
124549,Amazon Shopping,Melissa Flatwear & Fire,"May 30, 2019",2.0,always run slow and is continuously freezing up i have cleaned the application cache restarted the application and restarted my phone to no avail i do a lot of shopping from amazon and the constant issue with the application are annoying i have found that even the webster has issue purchase a better server amazon,"Always runs SLOW, and is continuously freezing up. I've cleaned the app cache, restarted the app, and restarted my phone, to no avail. I do a lot of shopping from Amazon, and the constant issues with this app are annoying. I've found that even the website has issues! Purchase a better server, Amazon!",
124546,Amazon Shopping,Mawussi Dotse,"May 30, 2019",5.0,there stuff come fast,there stuff comes fast,
124548,Amazon Shopping,Jessica Cummings,"May 30, 2019",3.0,the application keep freezing up,The app keeps freezing up,
124552,Amazon Shopping,Janeth Garcia,"May 30, 2019",2.0,i bought something and i was scanned i then only bought item that have the prime logo but you do not have it anymore,i bought something and i was scamned. i then only bought items that have the prime logo but you dont have it anymore,
