id,appTitle,userName,date,score,text,original_text,bug_report
517332,Snapchat,kelsi smith,"February 18, 2019",5,great why is it with the new update i can not make private story,great why is it with the new update I cant make private stories,
517336,Snapchat,Bruce Mcfayden,"February 18, 2019",5,lit,LIT!!!...!!!...!!!...!!!...!!!..................!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!¡!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,
517335,Snapchat,Debbie Abiola1,"February 18, 2019",3,this application sometimes tweak and right now i am trying to download this application again but this application keep saying this application has trouble shooting or downloading this application,This app sometimes tweak and right now i'm trying to download it again but it keeps saying it has trouble shooting or downloading it,
517342,Snapchat,julie tendron,"February 18, 2019",4,jaime troop super doyen de communique en route security et facilementjuste deputy queue temp mon ali beg et se femme autaumatiquement au moment ou je lisfais un snap,J'aime trooooooop super moyen de communiquer en toute securite et facilement♥♥♥juste depuis quelques temps mon appli beug et se ferme autaumatiquement au moment ou je lis/fais un snap,
517343,Snapchat,,"February 18, 2019",5,is a good application but a good application never show me the new filter on my snapshot,is a good app but it never show me the new filter on my Snapchat,
517345,Snapchat,,"February 18, 2019",5,snapshot is so cool and i like snapshot how about you who ever is looking at snapshot right now bye,snapchat is so cool and i like it how about you who ever is looking at it right now bye,
517346,Snapchat,Dipesh Shendre,"February 18, 2019",5,good application and it is funny that me so laughter thanks for this great application,good app and it is funny that me so laughter thanks for this great app,
517347,Snapchat,,"February 18, 2019",5,i just love it,i just love it,
517350,Snapchat,Marcedia Warren,"February 18, 2019",4,i love snapshot but i do not like when i go to watch old video they take forever to load i do not feel like it is my service because i have version and i have all my bar and unlimited data so i will gladly appreciate it if you would look into that and fix it please and thank you istilovesnapchat teamsnap,I love snapchat but I dont like when i go to watch old videos they take forever to load. I dont feel like it's my service because I have Verizon and I have all my bars and unlimited data. So I will gladly appreciate it if you would look into that and fix it please and thank you. #IStillLoveSnapChat #TeamSnap!,
517361,Snapchat,,"February 18, 2019",5,i love this i can finally find morgzhudson,i love this i can finally find MORGZHUDSON,
517352,Snapchat,,"February 18, 2019",5,it is a good application to text your friend and take series,It's a good app to text your friends and take selfies,
517354,Snapchat,Fiona's Vlog's,"February 18, 2019",5,very cute and its for your profile and anything,very cute and its for your profile and anything,
517362,Snapchat,,"February 18, 2019",5,it is the amazing application,it is the amazing app,
517367,Snapchat,,"February 18, 2019",5,i just love snapping,i just love snapping,
517368,Snapchat,,"February 18, 2019",5,it is very good application,it's very good app,
517375,Snapchat,Fatima Shaikh,"February 20, 2019",3,this application is designed very efficiently and i really like the application but there are two problem i have a samsung galaxy c professional and i do not have the fast forward filterefect and i request you people to somehow add it and whenever i take picture with rear camera with the flash on it doe not take picture properly and just give me a white picture,"This app is designed very efficiently and I really like the app but there are two problems, I have a samsung galaxy c7 pro and i dont have the fast forward filter\effect and I request you people to somehow add it and whenever I take picture with rear camera with the flash on, it doesn't take the picture properly and just gives me a white picture.",
517369,Snapchat,CassandraSunshyne,"February 18, 2019",5,i have an older version of snapshot and i keep getting message saying that an older version of snapshot will not work soon so i try to update an older version of snapshot and an older version of snapshot will load the update but then always have an error after please help me fix this so i can still use snapshot,I have an older version of Snapchat and I keep getting messages saying that my version won't work soon. So I try to update it and it will load the update but then always have an error after 100%. Please help me fix this so I can still use Snapchat :),
517377,Snapchat,,"February 20, 2019",2,with this new update i do not know how to add my friend back i have no clue how to use this new update anymore i have been getting even more bug and this new update keep lagging and shutting down on me i hate this new update,"with this new update, I don't know how to add my friends back, I have no clue how to use it anymore, I've been getting even more bugs and it keeps lagging and shutting down on me, I hate this update",
517381,Snapchat,,"February 20, 2019",5,i do not know,IDK,
517383,Snapchat,Tiffany Thiel,"February 20, 2019",3,why are the filter not staying on my face fix the filter soon,why are the filters not staying on my face!? fix it soon 😤,
517385,Snapchat,Dominika Bukowska,"February 20, 2019",1,po najnowszej aktualizacji pop si znacznie jake dj oral telefon si bard zarina snap nie wysyaj sie do wybranych znajomych jack i range nie wywietla si ze je odczytuj,"Po najnowszej aktualizacji popsuła się znacznie jakość zdjęć oraz telefon się bardzo zacina. Snapy nie wysyłają sie do wybranych znajomych jak i również nie wyświetla się, ze je odczytują!",
517386,Snapchat,sai sourab,"February 20, 2019",5,i do not think i should use snapshot i am from india,I don't think i should use Snapchat I'm from India,
517387,Snapchat,neel shah,"February 20, 2019",5,indian will not follow this application a this application give the bed review for u,Indians will not follow this app as it gives the bed review for us,
517389,Snapchat,rose neeley,"February 20, 2019",3,i love snapshot but snapshot also aggravates me sometimes the good thing about it is i can talk to my friend and take cute and silly picture with the filter instead of having to add my friend in the bad thing is this new update this new update suck this new update is always kicking me out when i trying to read a message it is very glitch maybe fix that the application would be a lot better without these glitch,i love snapchat but it also aggravates me sometimes. the good thing about it is i can talk to my friends and take cute and silly pictures with the filters instead of having to add them in. the bad thing is this new update. it sucks. it is always kicking me out when im trying to read a message. it is very glitchy. maybe fix that. the app would be a lot better without these glitches,
517394,Snapchat,,"February 20, 2019",5,the best ever,the best ever!!!!!!,
517395,Snapchat,,"February 20, 2019",5,because i love how you can face time and text and i also love the filter on this application i love this application,because I love how u can face time and text and I also love the filters on this app (i love this app),
517396,Snapchat,Mani Jindal,"February 20, 2019",4,great way to connect with people a issue faced by me is not a good quality of recording video on onerous or any device of onerous kindly fix a issue faced by me soon,great way to connect with people a issue faced by me is not a good quality of recording videos on OnePlus 6 or any device of OnePlus kindly fix this issue soon,
517398,Snapchat,,"February 20, 2019",5,best social medium medium ever,Best social media media ever,
517403,Snapchat,,"February 20, 2019",3,when i am on snap its like two filter are on my face and its take so long to save,when i am on snap its like two filter are on my face and it take so long to save,
517404,Snapchat,Randhirsingh Sunny,"February 20, 2019",5,it is a nice application but it should have all pic like about movie there should be a leat application some funny and some carry application i guess my si enjoy this application it is a good application i am loving this application,it is a nice app but ti should have all pic like about movie there should be a leat app some funny and some carzy app i guess my sis enjoy this app it is a good app i am loving this app,
517408,Snapchat,,"February 19, 2019",3,i would like the video to go longer and better filter and quality,i would like the video to go longer and better filters and quality,
517409,Snapchat,Safiyyah Hussain,"February 19, 2019",5,i love this application,I love this app💖,
517413,Snapchat,m chasty,"February 19, 2019",1,it is not my cup of tea,It's not my cup of tea..,
517414,Snapchat,,"February 19, 2019",3,v good nice want to try,vv good nice want to try,
517415,Snapchat,Ejdeanvlogs X,"February 19, 2019",5,i think you should team up with instagram,I think u should team up with Instagram,
517416,Snapchat,,"February 19, 2019",1,it never want to update it broke my phone every time i try to use the application my phone turn off what is this,"it never wants to update 😐😐 it broke my phone, every time I try to use the app my phone turns off. What is this !?",
517419,Snapchat,,"February 19, 2019",4,i arnot getting the update please i want latest update,im not getting the update please i want latest update,
517420,Snapchat,Jordan whitaker,"February 19, 2019",1,when i get it it just take me straight off of it i hate it can you guy fix that if so the application would be great,"when i get it, it just takes me straight off of it i hate it can u guys fix that if so the app would be great",
517421,Snapchat,Andrew Hollington,"February 19, 2019",1,annoying shutter sound that can not be turned off even if all phone noise are set to silent which is very bad that you are taking over the phone setting to override the silent mode,Annoying shutter sound that cannot be turned off even if all phone noises are set to silent which is very bad that you're taking over the phone settings to override the silent mode.,
517424,Snapchat,,"February 19, 2019",5,ok so this is the best application i have ever used having the best camera the filter are so addictive and i love this bitmoji story too best application ever,ok so this is the best app i have ever used... having the best camera ..... the filters are so addictive and i love thise bitmoji stories too ... best app ever,
517426,Snapchat,,"February 19, 2019",5,how to open the snapshot,how to open the Snapchat 👻,
517427,Snapchat,,"February 19, 2019",5,cool i slay in pic,coolllllll i slay in pics,
517434,Snapchat,Michael Brady,"February 19, 2019",1,the whole new for you section of snap chat is awful this stuff is not for me i did not choose any of these random people why am i seeing these random people snap chat these random people are not my friend i do not know these random people i am legitimately thinking about deleting the application over this,"The whole new ""For You"" section of snap chat is awful. This stuff is not for me. I did not choose any of these random people. Why am I seeing their snap chats? They are not my friends. I do not know them. I am legitimately thinking about deleting the app over this.",
517435,Snapchat,Priyal Patel,"February 19, 2019",5,awesome nd too much interesting,awesome nd too much interesting ❤,
517436,Snapchat,,"February 19, 2019",5,really good easy to use,Really good; easy to use,
517437,Snapchat,SiMran SaNdhu,"February 19, 2019",1,i can not unload quality picture on this,i can't upload quality pictures on this,
517438,Snapchat,DANIEL VAN DAN ADKINS,"February 19, 2019",3,great application but seem to b switching all the time and voice lapsing when recording,great app but seem to b glitching all the time and voice lapsing when recording,
517440,Snapchat,rushabh patel,"February 19, 2019",1,ceo you are out of your mind a you are calling india poor the billionaire in our country can buy seven company like yours,"CEO, u are out of your mind as u are calling India poor . The billionaires in our country can buy seven companies like yours. 🖕",
517441,Snapchat,,"February 19, 2019",5,snap chat is amazing and the most part is that you can text or video chat with your friend and family that is out of state i love the funny filter and that game are also fun you can watch funny video and a lot more so if you are reading the and you like it then you should get snap chat oh and you can made your own avtar i think it is a avataryou can also see where people is well only the people that you follow you can see people on the mapthats all i can tell from my experience hope you like it,"snap chat is amazing and the most part is that u can text or video chat with your friends and family that is out of state. I love the funny filters and that game are also fun. u can watch funny videos and a lot more. so if u are reading the and u like it then u should get snap chat. oh and u can made your own avatar, I think it's a avatar.U can also see where people is well only the people that u follow, u can see them on the map.thats all I can tell from my experience hope u like it💖💖💖💗💗💙",
517442,Snapchat,,"February 19, 2019",1,i can not create account,i can't create account,
517443,Snapchat,Christopher Jalbert,"February 19, 2019",2,so lay and unresponsive same on different phone and same awful experience,So laggy and unresponsive. Same on 3 different phones and same awful experience.,
517444,Snapchat,Lilith Crystal,"February 19, 2019",5,i love this application my daughter love and my son try to run away when i take my son picture,I love this App. My daughter loves and my son tries to run away when I take his picture. :-D,
517447,Snapchat,,"February 19, 2019",5,sexy snap,sexy snap.!,
517449,Snapchat,,"February 19, 2019",5,its a very good application i like so much great application,its a very good app i like so much 😊great app,
517450,Snapchat,TigerTracks786,"February 19, 2019",5,edit they fixed story i am happy again the new update where it lump story and message into one is incredibly messy and disorganized i am not sure what shortatentionspaned ux designer came up with that but can you please separate them back for those of u who do not leave clothes on u floor until there is no pathway will certainly change the review from star passable usage to star when organisation come back or at least the option for separating story from direct snap,"EDIT: They fixed stories. I'm happy again! The new update where it lumps stories and messages into one is incredibly messy and disorganized. I'm not sure what short-attention-spanned UX designer came up with that, but can you please separate them back for those of us who don't leave clothes on our floor until there's no pathway. Will certainly change the review from 3 star, passable usage to 5 star when organisation comes back. Or, at least the option for separating stories from direct snaps.",
517453,Snapchat,,"February 19, 2019",4,really good but would be good if connection was better,really good but would be good if conection was better,
517454,Snapchat,Theresa Kwofie,"February 19, 2019",2,i have video problem when am making a video then a video will breaking please try and fix a video a soon a possible,I have video problems.. when am making a video then it will breaking.. Please try and fix it as soon as possible..,
517455,Snapchat,,"February 19, 2019",5,it is a great way to communicate,it's a great way to communicate,
517456,Snapchat,Alexandra,"February 19, 2019",2,you always talk about improvement but i see none i do not have normal filter anymore only the one where you can play game that is really annoying please fix that and give me my normal filter back,you always talk about improvements but I see none! I don't have normal filters anymore only the ones where you can play games. That's really annoying. Please fix that and give me my normal filters back!!,
517457,Snapchat,Shamsudeen Usman,"February 19, 2019",5,i just love it,I just love it😍,
517458,Snapchat,Aeryn Olson,"February 19, 2019",2,i hate the new update,I hate the new update,
517460,Snapchat,,"February 19, 2019",5,i love snapshot and,I love snapchat and..................,
517464,Snapchat,,"February 19, 2019",5,i really like this application because this application make myself good and pretty,I really like this app because it makes myself good and pretty🖤❣️😎,
517466,Snapchat,Fisnik Kurti,"February 19, 2019",1,slower with recent update,slower with recent update,
517467,Snapchat,Sophie Collier,"February 19, 2019",1,the new update is terrible doe let me add people to my private story or let me view others and my private story doe show me my flashback on my memory i hate my private story,"the new update is terrible, doesnt let me add people to my private story or let me view others and it doesnt show me my flashbacks on my memories i hate it",
517468,Snapchat,,"February 19, 2019",5,it is the best application,it's the best app,
517469,Snapchat,ADALHARD 1998,"February 19, 2019",5,india a poor country ha all those million of download are of from india i hope you take you are word back,INDIA A POOR COUNTRY... HA?  ALL THOSE MILLIONS OF DOWNLOADS ARE 40% OF FROM INDIA... I HOPE U TAKE UR WORDS BACK... 😠😠🔫,
517470,Snapchat,Vaida Nicole,"February 19, 2019",4,its great to text and call on and very fun to take photo on i do wish that custom story would not delete by its and the filter to be more natural,"Its great to text and call on and very fun to take photos on, I do wish that custom stories wouldn't delete by itself and the filters to be more natural",
517471,Snapchat,,"February 19, 2019",3,my snapshot keep turning off i do not know what to do,"My snapchat keeps turning off, I don't know what to do?",
517472,Snapchat,,"February 19, 2019",1,can not take video more than second i am sad,Can't take video more than 2 sec I'm. Sad,
517473,Snapchat,,"February 19, 2019",1,it is to close in my face,It's to close in my face,
517475,Snapchat,aqil bary,"February 19, 2019",5,no filter again so much for the update,No filters again So much for the update,
517476,Snapchat,,"February 19, 2019",2,new update is good but made new update a bit worse this new update is amazing i can send all my one sitting without the limit mark and got rid of the old nitpicks like accidently calling someone when typing is now moved to the top right but snapshot why can not i no longer save any image that was sent before new update and why can not i go back and send more older image you went into some nice direction but you messed new update up such a big disappointment,New update is good but made it a bit worse this new update is amazing I can send all my one sitting without the 10 limit mark and got rid of the old nitpicks like accendently calling someone when typing is now moved to the top right but SNAPCHAT WHY CAN'T I NO LONGER SAVE ANY IMAGES THAT WAS SENT BEFORE THIS UPDATE AND WHY CAN'T I GO BACK AND SEND MORE OLDER IMAGES YOU WENT INTO SOME NICE DIRECTIONS BUT YOU MESSED IT UP SUCH A BIG DISAPPOINTMENT,
517477,Snapchat,kapil kumar,"February 19, 2019",1,late suffering is not opening in slow network,"late suffering, isn't opening in slow network",
517479,Snapchat,Seyide Hundeyin,"February 19, 2019",4,there should be an upgrade for android because it is way better on phone the image suck,there should be an upgrade for android because it's way better on iPhone. the images suck,
517480,Snapchat,Brenda Leahy,"February 19, 2019",4,it need an update,it needs an update.,
517482,Snapchat,Abbie Poor,"February 19, 2019",5,i love using it for my photo,i love using it for my photo,
517486,Snapchat,,"February 19, 2019",5,this is a very good application,This is a very good app,
517487,Snapchat,,"February 18, 2019",5,amazing i can talk to my friend all across the world,Amazing I can talk to my friends all across the world,
517488,Snapchat,MONSTER 02,"February 18, 2019",5,that good to talk to your friend,That good to talk to your friend,
517490,Snapchat,,"February 18, 2019",5,love this application amazing for talking with friend,Love this app! Amazing for talking with friends,
517491,Snapchat,isabell baucher,"February 18, 2019",5,it has all the people i need and all the friend i have from my school awesome filter,it has all the people I need and all the friends I have from my school. awesome filters😁,
517494,Snapchat,Angela Hunnel,"February 18, 2019",1,so i had this application before and got rid of this application now this application not let me re bowled this application,so i had this app before and got rid of it now it qobt let me re dowled it 😡,
517495,Snapchat,,"February 18, 2019",5,its amazing to track friend and family,its amazing to track friends and family,
517496,Snapchat,,"February 18, 2019",3,i need my snapshot updated,i need my Snapchat updated!,
517498,Snapchat,,"February 18, 2019",5,boi it is so good for talking to you are friend,boii it's so good for talking to ur friends,
517501,Snapchat,,"February 18, 2019",5,it is so much fun to travel,It is so much fun to travel,
517503,Snapchat,FortniteMeme K1NG,"February 18, 2019",5,i think this is an amazing just when someone if is a bit far from you are on video chat this lag,I think this is an amazing just when someone if is a bit far from you are on video chat it lags,
517504,Snapchat,dijawon holder,"February 18, 2019",1,poor this application allows others to manipulate your surroundings in order to steal information,poor this app allows others to manipulate your surroundings in order to steal information,
517505,Snapchat,,"February 18, 2019",5,not bad love the application almost like sweet,not bad love the app almost like sweets,
517506,Snapchat,,"February 18, 2019",5,it is so fun,it is so fun,
517508,Snapchat,,"February 18, 2019",5,i do not know,idk😂,
517511,Snapchat,JeonJunghoe,"February 18, 2019",1,installed and everything but there is only one filter what give i see that the problem are only on android are you favouring phone user now this is why snow and b is much better shaking my head uninstaling snapshot now,installed and everything but there's only one filter what gives?! I see that the problems are only on Android. Are you favoring iPhone users now? This is why Snow and B612 is much better smh uninstalling Snapchat now,
517512,Snapchat,Wanted Wolf,"February 18, 2019",1,i do not have friend so i can not use it,i dont have friends so i cant use it,
517514,Snapchat,,"February 18, 2019",5,its honestly my favorite application to not only talk to my friend n family but to post on and this would be the application i couldnt live w out,its honestly my favorite app to not only talk to my friends n family but to post on and this would be the app i couldnt live w out,
517516,Snapchat,,"February 17, 2019",1,last update suck way to mess last update up,last update SUCKS way to mess it up,
517518,Snapchat,,"February 17, 2019",5,its a great application great application could use a little more work but great application none the le i love great application,"its a great app , great app ,could use a little more work but great app none the less i love it",
517519,Snapchat,,"February 17, 2019",5,i am not rating this application because this application is not loading can some one fix this application please,I'm not rating this app because it's not loading can some one fix it please,
517523,Snapchat,,"February 17, 2019",5,i really like everything about this application this application is amazing,I really like everything about this app it is amazing😍✨,
517524,Snapchat,,"February 18, 2019",5,awesome application and easy way to contact with friend and family love the filter,awesome app and easy way to contact with friends and family love the filters,
517526,Snapchat,,"February 18, 2019",4,it will not let me log into my account,It wont let me log into my account,
517529,Snapchat,,"February 18, 2019",1,i waited all night for it to download,I waited all night for it to downlod,
517530,Snapchat,Kaliya Wade,"February 18, 2019",4,i like it it is amazing yes,"i like it , it is amazing 99.99% yess",
517532,Snapchat,sai dikshith,"February 18, 2019",5,i can not installing the application it is saying trouble shoot it,i cant inatalling the app. it's saying trouble shoot it,
517533,Snapchat,Emily Lewis,"February 18, 2019",4,the new update will not let me see anyone is story,The new update won't let me see anyone's story,
517534,Snapchat,Naomi Roy,"February 18, 2019",1,it take a hour just to download,it takes a hour just to download,
517535,Snapchat,,"February 18, 2019",5,love its communication effect,love its communication effect,
517536,Snapchat,Betty Lewis,"February 18, 2019",5,this application is wonderful,this. app is. wonderful,
517537,Snapchat,Abdulbasit Sulaiman,"February 18, 2019",1,it keep saying can not install application on my phone,It keeps saying can't install app on my phone,
517539,Snapchat,Kyky and Charlie,"February 18, 2019",5,its a good way to connect with people without letting people find your phone number,its a good way to connect with people without letting them find your phone number,
517541,Snapchat,,"February 18, 2019",5,because you get to know people,because you get to know pleople,
517542,Snapchat,RICKY WHITE,"February 18, 2019",5,its so fun i look so cute in the filter this a good social medium application,Its so fun I look so cute in the filters this a good social media app,
517544,Snapchat,Marlene Negrete,"February 18, 2019",4,if it is not broke do not fix it is not broke this new update suck this new update suck i hate being forced to watch story of people whom i do not even follow i do not care if it is a popular story i do not follow them for a reason and the chat being combined with my friend story suck i can not see my friend should have never switched it up on u nobody like it bring back the snapshot before the update thanks,"if it's not broke, don't fix it. this new update sucks. the discover page sucks. I hate being forced to watch stories of people whom I don't even follow. I don't care if it's a ""popular story."" I don't follow them for a reason. and the chats being combined with my friends stories sucks. I can't see my friends. should have never switched it up on us. NOBODY LIKES IT. bring back the Snapchat before the update. THANKS.",
