id,appTitle,userName,date,score,text,original_text,bug_report
546903,Maps - Navigate & Explore,Karine Grison,"April 3, 2019",5,gusto quito e facility minh vida na virgin e transit alternative prefer este em compared ao traditional wave,Gosto muito e facilita minha vida nas viagens e trânsito alternativo! Prefiro este em comparação ao tradicional Waze.,
546904,Maps - Navigate & Explore,A Google User,"April 6, 2019",3,for the past month on my the application will say no gps after second which gps location etc are fine,"for the past month on my S9,the app will say no GPS after 30 seconds .. which GPS location etc are fine",
546908,Maps - Navigate & Explore,Margoobur Rahman,"April 6, 2019",1,after this update gps doe not work properly i always say to turn on gps and after on again an again,after this update gps doesn't work propperly i always says to turn on gps and after on again ans again,
546911,Maps - Navigate & Explore,Leo Knaggs,"April 5, 2019",1,after march update this application is no longer useable nil point,After March 2019 update This app is no longer useable ! Nil Point.,
546906,Maps - Navigate & Explore,A Google User,"April 2, 2019",2,please update with the ability to orientate map view while in navigation mode to north or direction of travel,please update with the ability to orientate map views while in navigation mode to North or direction of travel,
546912,Maps - Navigate & Explore,Brian Stevens,"April 5, 2019",1,bug wrong direction and wrong traffic information starting last week,"bugs, wrong directions and wrong traffic information starting last week",
546910,Maps - Navigate & Explore,Ankit Singh,"April 6, 2019",1,pathetic interface with latest update it took care that i got lost,pathetic interface with latest update. it took care that i got lost.,
546913,Maps - Navigate & Explore,Max K,"April 3, 2019",1,hang every single time on the screen with the direction button useless pile of trash on a samsung s,hangs EVERY SINGLE TIME on the screen with the Directions button. Useless pile of trash on a Samsung S4.,
546914,Maps - Navigate & Explore,Richard Wilkins,"April 2, 2019",1,it is crappy direction they do not work half of the time just update the stuff fix it,it's crappy directions they don't work half of the time just update the stuff fix it,
546915,Maps - Navigate & Explore,Jacobus Erasmusalberts,"April 8, 2019",1,application doe not work after updating application application say no root found,App does not work After updating app it says no root found,
546917,Maps - Navigate & Explore,naveen kumar,"April 1, 2019",5,please update this application for commercial vehicle if we follow car road yesterday i am facing so many problem,Please update this app for commercial vehicles if we follow car road yesterday i am facing so many problems,
546918,Maps - Navigate & Explore,Venkateshan Mohan,"April 5, 2019",3,downloaded online map not working without data it requires a high speed data network or wife for the map to work i faced this twice during roaming in the past day,Downloaded offline maps not working without data. It requires a high speed data network or Wi-Fi for the maps to work. I faced this twice during roaming in the past 30 days.,
546920,Maps - Navigate & Explore,Sunjoy Puri,"April 4, 2019",5,map is great now need comfort routing good road and fuel saving route in addition to time based routing,"Maps is great! Now, need ""Comfort Routing"" (Good road) and ""Fuel Saving routes"" in addition to ""Time based routing"".",
546919,Maps - Navigate & Explore,Nallasellan R,"April 5, 2019",3,navigation for walk confusing nowadays mostly we end up in wrong place in bangalore,"Navigation for walk confusing, nowadays mostly we end up in wrong places in Bangalore",
546921,Maps - Navigate & Explore,Sasa Kostic,"April 5, 2019",1,everytime i open application i need to exit and reopen because pop up add to shortlist and the application will not take any command worst update,everytime i open app i need to exit and reopen because pop up add to shortlist and the app wont take any command. worst update,
546922,Maps - Navigate & Explore,Jax Will,"April 6, 2019",2,get me there but very strange route that make no sense the most annoying is the time of arrival it is always wrong not by a little bit but by like minute every time i go somewhere i am not speeding going the speed limit and the time amount keep erasing time make it hard to plan for how long something is going to take to get there i have used the application a few time this week and each time this problem occured samsung note phone please fix issue thank you,"Gets me there, but very strange routes that make no sense. The most annoying is the time of arrival. It is always wrong, not by a little bit, but by like 30 minutes every time I go somewhere. I am not speeding, going the speed limit and the time amount keeps erasing time. Makes it hard to plan for how long something is going to take to get there. I've used the app a few times this week and each time this problem occured. (Samsung Note 8 phone). Please fix issue. Thank you!",
546923,Maps - Navigate & Explore,Mohamed Ahmed,"April 8, 2019",1,since the last update few week ago can not start the navigation arrives only to the direction the application crash down every timetried using the factory version even worse any solution,"since the last update few weeks ago cannot start the navigation arrives only to the directions, the app crash down every time,tried using the factory version even worse. any solution?",
546924,Maps - Navigate & Explore,Treveno Andrews,"April 8, 2019",2,not sure what is happening but it now take long time before finding position and today for example a restaurant that have been around for awhile the application did not navigate to the correct location randomly calling out direction not sure whats going on after the update,"Not sure what's happening but it now takes long time before finding positions and today for example, a restaurant that have been around for awhile, the app did not navigate to the correct location, randomly calling out directions, not sure whats going on after the updates",
546926,Maps - Navigate & Explore,Latif James,"April 9, 2019",5,still waiting on the contact tab i drive a lot going to different story to fix thing i need a contact option like the old version and what is up with no glass station option were when already on a destination i see glass station on the map without getting on the route,Still waiting on the contact tab I Drive a lot going to different stories to fix things. I need a contact options like the old versions. And what's up with no gass station options were when already on a destination I see gass station on the map without getting on the route.,
546925,Maps - Navigate & Explore,Abigail Detzler,"April 8, 2019",3,this po took me all over the country when i was running low on gas just to take me in a ming circle towards my housefurther than my car was claiming i would have gas to travesty tuned to see if i make my car home or if i have to call roadside service,"This POS took me all over the country when I was running low on gas, just to take me in a MF'ing circle towards my house...further than my car was claiming I would have gas to travel...Stay tuned to see if I make it home or if I have to call roadside service...",
546927,Maps - Navigate & Explore,Nick Holden,"April 9, 2019",4,i have a pixel on the latest version of android q and clearing the cache and uninstaling the latest update seems to have fixed my grabbing location problem do i not install the most recent update,I have a pixel 2 on the latest version of Android q and clearing the cache and uninstalling the latest update seems to have fixed my grabbing location problem. do I not install the most recent update?,
546928,Maps - Navigate & Explore,Tim Weith,"April 6, 2019",1,this application need more option to select a route like to take major road rather than directing you through neighbourhood past crack house to save a couple of minute a value my personal safety option would be really useful,"This app needs more options to select a route, like to take major roads rather than directing you through neighborhoods past crack houses to save a couple of minutes, a ""value my personal safety"" option would be really useful",
546929,Maps - Navigate & Explore,A Google User,"April 3, 2019",1,maybe goole is most bloated application every time i see traffic coming up i try to open goole map but find that it is so slow that i have missed whatever exit i need to take by the time it tell me,Maybe Google's most bloated app? Every time I see traffic coming up I try to open Google maps but find that it's so slow that I've missed whatever exit I need to take by the time it tells me.,
546930,Maps - Navigate & Explore,Eddy Garcia,"April 1, 2019",5,quito bom so quake semple que precise de album informal rapid sore qualquer sugar o map atualizado com frequency com o dad de run e local de interest como restaurant e lomas,Muito bom. Uso quase sempre que preciso de alguma informação rápida sobre qualquer lugar. O mapa é atualizado com frequencia com os dados de ruas e locais de interesse como restaurantes e lojas.,
