id,appTitle,userName,date,score,text,original_text,bug_report
610330,Maps - Navigate & Explore,Anne G,"February 9, 2019",1,what is happened to this application the public transport information is highly inaccurate even in a major city on a bus route that run every minute or so even in a major city is only giving me information for bus service several day in the future i have checked my setting even when my setting is a leave now setting the option are day away it is not an update issue i am fully up to date your user need to be able to trust that we are provided with up to date accurate information,"what is happened to this application? the public transport information is highly inaccurate. even in a major city, on a bus route that runs every  minutes or so, even in a major city is only giving me information for bus services several days in the future. I have checked my setting, even when my setting is a leave now setting, the options are days away. it is not an update issue, i am fully up to date. your users need to be able to trust that we are provided with up to date, accurate information.",
610331,Maps - Navigate & Explore,Raman Baaliah,"February 11, 2019",5,update issue has been fixed thank you great application and i use great application daily just the online mode could be tweed a bit even though i keep my downloaded map updated great application still requires me to go online to find a place then go online again other than that a fantastic application this latest update is not working a soon a i open map this latest update shuts other than that a fantastic application down and i am returned to home screen if i instal this latest update i instal the update work perfectly and i love i instal the update just this new update please fix ver,"update issue has been fixed, thank you! great application and i use great application daily. just the offline mode could be tweeked a bit even though i keep my downloaded maps updated great application still requires me to go online to find a place then go offline again. other than that, a fantastic application. this latest update is not working, as soon as i open maps this latest update shuts other than that, a fantastic application down and i am returned to home screen. if i uninstall this latest update i uninstall the update works perfectly and i love i uninstall the update. just this new update please fix ver ..",
610332,Maps - Navigate & Explore,Mitchell Ensley,"February 12, 2019",1,they removed the option to quickly orient the map north now the option to quickly orient the map north is buried in the option i use this application dozen of time a day to navigate for work and orienting north on demand was something i used nearly every time i used the application a a way to do exactly what it seemed to be intended for finding bearing when my phone was not oriented enough to know which way it was moving thus preventing the auto orientation from properly lining up this saved me dozen of minute a day and hour a week fix,"they removed the option to quickly orient the map north. now the option to quickly orient the map north is buried in the options. i use this application dozens of times a day to navigate for work, and orienting north on demand was something i used nearly every time i used the application, as a way to do exactly what it seemed to be intended for, finding bearings when my phone was not oriented enough to know which way it was moving, thus preventing the auto orientation from properly lining up. this saved me dozens of minutes a day, and hours a week. fix",
610336,Maps - Navigate & Explore,Saksham Sauhard,"February 9, 2019",3,plus point for accuracy big minus for saving favorite location and making list of place and sync across device add a feature so that i can save an existing placedroped pin a a favorite to list with a nick name and can search result include match from those nick name until the your application is just an accurate digital map viewer nothing more,plus points for accuracy. big minus for saving favorite locations and making list of places and sync across devices. add a feature so that i can save an existing place/dropped pin as a favorite/add to list with a nick name and can search results include matches from those nick names. until the your application is just an accurate digital map viewer. nothing more.,
610333,Maps - Navigate & Explore,Claire Wilkinson,"February 11, 2019",1,tideline doe not work with hawes p professional even if i use navigation and follow a route so my phone is gps definitely know where i am it just doe not get recorded i have all location sharingtimeline setting turned on also please give u the option of selecting only one method of public transport ie bus or train preferred method doe not achieve this travel via a specific agencytransport provider would be really useful too citymaper doe both of these thing,"timeline does not work with huawei p professional. even if i use navigation and follow a route, so my phone is gps definitely knows where i am, it just does not get recorded. i have all location sharing/timeline settings turned on. also please give us the option of selecting only one method of public transport ie bus or train? 'preferred method' does not achieve this. travel via a specific 'agency'/transport provider would be really useful too. citymapper does both of these things.",
610338,Maps - Navigate & Explore,A Google User,"February 9, 2019",2,i used to provide a star review for map but of late it is doing one thing that is really getting on my nerve i get that one of the feature is to identify where i have been and then ask me to review said place map get this wrong sometimes and that is cool too this wrong even give you the option to say i have not been there but what is not cool is map repeatedly asking for review of place i have repeatedly told this wrong i have not been to fix this and the rating improves again,"i used to provide a -star review for maps, but of late, it is doing one thing that is really getting on my nerves. i get that one of the features is to identify where i have been, and then ask me to review said place. maps gets this wrong sometimes, and that is cool too. this wrong even gives you the option to say ""i have not been there"". but what is not cool is maps repeatedly asking for reviews of places i have repeatedly told this wrong i have not been to. fix this, and the rating improves again.",
610335,Maps - Navigate & Explore,Alex Musa,"February 12, 2019",1,my galaxy s will go completely mute when listening to music through the samsung music application through the aux connection to my car stereo and navigating using goole map i can sometimes get sound back by holding volume up if the nav voice is speaking but usually i have to exit the samsung music application entirely nobody seems to know how to fix this,"my galaxy s+ will go completely mute when listening to music through the samsung music application through the aux connection to my car stereo, and navigating using google maps. i can sometimes get sound back by holding volume up if the nav voice is speaking, but usually i have to exit the samsung music application entirely. nobody seems to know how to fix this.",
610340,Maps - Navigate & Explore,A Google User,"February 11, 2019",1,a soon a i open the application the application show the blue dot of my location and a cone showing my heading so the application know which way i am facing if i get walking direction same it show right away which direction i am facing but in drive mode it will not show the direction i am heading until after about block this is a design choice the application is hiding my heading info at the point where i need the application most very poorly done,"as soon as i open the application, the application shows the blue dot of my location and a cone showing my heading. so the application knows which way i am facing. if i get walking directions, same it shows *right away* which direction i am facing. but in drive mode, it *will not* show the direction i am heading until after about  blocks. this is a design choice. the application is hiding my heading info at the point where i need the application most. very poorly done.",
610337,Maps - Navigate & Explore,Sumit Hegde,"February 10, 2019",3,while driving once the route is fixed the route doe not show the alternate route which is a big problem here in mumbaiwhem i am taking the alternate route the route keep asking to take you turn again and again i have to go back select the destination again and then show the correct one recently also noted that its showing the farthest road to take journey there is no way we could give feedback kn the application since the route lack function rest is ok,while driving once the route is fixed the route does not show the alternate route which is a big problem here in mumbai.whem i am taking the alternate route the route keeps asking to take you turn again and again .i have to go back select the destination again and then shows the correct one. recently also noted that its showing the farthest roads to take journey. there is no way we couls give feedback kn the application since the route lacks function . rest is ok,
610339,Maps - Navigate & Explore,Infini T,"February 13, 2019",1,i am a huge fan of goole map i liked this application and using this application for more than half decade goole map was impressively smart at sugestingindicating route accurate and effective unfortunately after updated goole map somewhere around end of my perspective on goole map was completely changed my perspective on goole map was worst update ever since i started using goole map my perspective on goole map became unreliable wrong at sugestingindicating route my perspective on goole map way more suck when walking please fix the issue thanks,"i am a huge fan of google maps. i liked this application and using this application for more than half decade. google maps was impressively smart at suggesting/indicating routes (accurate and effective)! unfortunately, after updated google maps (somewhere around end of ) my perspective on google maps was completely changed. my perspective on google maps was worst update ever since i started using google maps. my perspective on google maps became unreliably wrong at suggesting/indicating routes! my perspective on google maps way more sucks when walking! please fix the issues! thanks!",
